"ToeTip.X"	"ToeTip.Y"	"KneeElbow.X"	"KneeElbow.Y"	"HipShoulder.X"	"HipShoulder.Y"	"AnkleWrist.X"	"AnkleWrist.Y"	"MetaPhalJoint.X"	"MetaPhalJoint.Y"	"Costal1.X"	"Costal1.Y"	"Costal2.X"	"Costal2.Y"
472.113491367188	428.696923059483	341.203650850672	466.829284689347	285.977098153185	479.855815905883	389.275621771141	433.208669272075	414.644878866422	434.432744541713	251.934708731295	546.475966181877	220.785022185311	553.548171224542
472.374148275436	428.496092172166	342.241787237456	467.503127031673	287.986981851935	479.68556089174	389.511439751032	433.064655269141	415.098932475325	433.657057862767	254.180100257899	546.677105672669	223.046950407362	553.805399276269
472.453770302898	428.287726752964	343.042384121827	467.998991393524	289.885306126874	479.631640383196	389.619517418981	432.827177647629	415.368504526628	432.866475874419	256.27403850563	546.971280596563	225.131736501107	554.117919843303
472.375255299628	428.073531569418	343.634766221532	468.351568978999	291.698516170241	479.691456085649	389.616316516917	432.515175250577	415.477081463446	432.073444896425	258.24704086594	547.353694610316	227.073379508668	554.485993612246
472.161501115676	427.855211389067	344.04825825432	468.595550992196	293.453057174273	479.862409704497	389.518298786767	432.147586921026	415.448149728894	431.290411248545	260.129624730282	547.819551370685	228.90587847217	554.909881269698
471.835465972902	427.634447977829	344.312344142042	468.765824245291	295.175526938124	480.142046873038	389.342075442115	431.743454726852	415.305350711986	430.529958323123	261.952374766743	548.364104855736	230.663348123748	555.389949817524
471.42184486929	427.412261390884	344.461087790123	468.902902803676	296.896913456714	480.532053742469	389.108557697081	431.324790308026	415.076783285363	429.80861281669	263.747811057698	548.984056687014	232.383231365814	555.929624735095
470.947288366377	427.188926614791	344.53371004323	469.053636869634	298.653147968188	481.0387785766	388.843498451601	430.916948963421	414.795565329232	429.14734148102	265.550632910334	549.677738493969	234.106718531659	556.535775265808
470.438551348181	426.964678889303	344.569706850719	469.26521465621	300.480425415445	481.668818346655	388.572908892625	430.545464364431	414.495082470316	428.567347929317	267.395655885868	550.443568861279	235.875199866913	557.215454365834
469.92238869872	426.739753454172	344.608574161942	469.584824376449	302.414940741383	482.428770023859	388.322800207108	430.235870182447	414.208720335334	428.089835774785	269.317695545516	551.279966373619	237.73006561721	557.975714991344
469.423140429757	426.515305614132	344.683439762212	470.051829920238	304.486784612254	483.319473463341	388.113204715845	430.009571095401	413.963666715043	427.730525727141	271.348876385027	552.183336763224	239.708078427687	558.81935748796
468.952441910121	426.297331135782	344.793928525827	470.664431413333	306.69393309487	484.311480332455	387.932699924787	429.866249146641	413.754502585171	427.476292940873	273.507165204728	553.139496145633	241.821655137287	559.726809217199
468.517765268872	426.093411977752	344.928686612278	471.40733984837	309.023838483105	485.365417030404	387.759555774631	429.798467994791	413.565123852243	427.304560044856	275.805889408079	554.130790478774	244.075234601701	560.671166039987
468.126580220196	425.911131018734	345.076353812893	472.265258393658	311.463946966556	486.441904199277	387.57203622721	429.798787169482	413.379420224946	427.192744185065	278.258373707475	555.139563707723	246.473251049021	561.625519564642
467.786203105119	425.757988002853	345.225698710012	473.222827769473	314.001717319949	487.501834398534	387.34865302794	429.859759659153	413.181398796028	427.118399696202	280.877638206211	556.148020445435	249.02009959642	562.56293472681
467.496475719391	425.637431163051	345.371766435493	474.261645330113	316.625221646416	488.519351910862	387.079993500359	429.973619671382	412.960787297017	427.065766719933	283.661858073471	557.131575041022	251.718269314914	563.455176586166
467.246551666419	425.547115292098	345.518577244903	475.358956582403	319.32340907528	489.487550260872	386.77391238655	430.13214557449	412.715493661102	427.028645737474	286.587981031781	558.055932136404	254.567523733409	564.272151450596
467.024762565308	425.484249633443	345.670841633142	476.491672350729	322.085296184293	490.40098028035	386.439592393741	430.327080680103	412.444054926666	427.001572475885	289.63132228927	558.886049640413	257.567416770731	564.983622679138
466.819440035167	425.446043430534	345.833270095112	477.636703459477	324.899899551204	491.25419280108	386.086216229163	430.550168299845	412.14500813209	426.979082662226	292.767197054066	559.586885461883	260.717502345707	565.55935363083
466.620754676257	425.429406242179	346.011471252443	478.773450162107	327.760177391731	492.040838204277	385.723253142826	430.793582282157	411.818703326717	426.956642492905	295.97428085629	560.12345900105	264.017108780504	565.969247720781
466.43170202736	425.429157645392	346.217317205912	479.898673833368	330.686576656056	492.7482871857	385.362170716014	431.052499012059	411.478134383914	426.936207198828	299.25468389958	560.461218495336	267.463991100424	566.18418510631
466.260739073348	425.43922720724	346.465347332522	481.016529008431	333.711250256226	493.361236263489	385.015287510974	431.323373492138	411.141679496286	426.922495338936	302.620495944652	560.56579480067	271.055234348919	566.175461886291
466.116342979953	425.453541206072	346.770110865262	482.131197541306	336.866394359573	493.864372074298	384.694925234456	431.602665449662	410.827736752309	426.920235683079	306.083843628182	560.402819447786	274.787921093759	565.914375696567
466.006923817028	425.46603869298	347.146214880826	483.246848069993	340.184068688892	494.242465609352	384.41335558396	431.886871021067	410.55462855502	426.934139018911	309.656921226383	559.938189286612	278.6591301436	565.372480164123
465.934341108337	425.471905717538	347.613913715125	484.366358958458	343.683011937091	494.488523365505	384.177967872619	432.176040956207	410.333288166322	426.967160539123	313.358526638273	559.163704182009	282.665573306276	564.546321236531
465.888498885532	425.468604243463	348.203768594853	485.490253673717	347.357650401494	494.610582574659	383.987240506441	432.476713578972	410.161162824589	427.019051275788	317.219510126043	558.118439949075	286.803292571353	563.478058690775
465.858028843539	425.453838443588	348.947437634687	486.6188050681	351.19982298667	494.61828008134	383.838703567912	432.796117638922	410.034264548071	427.089221265294	321.272004597891	556.846503641012	291.068258644477	562.214706654425
