StressAxial	StressAP	StressDV	NetBendFemMag	NetBendFemAng	PeakTensStress	PeakCompStress	FemShear	
-1.035015e+06	-1.431573e+06	5.849557e+06	6.022186e+06	-7.624822e+01	4.987170e+06	-7.057201e+06	1.724496e+06	
-1.044728e+06	-1.426320e+06	5.848784e+06	6.020188e+06	-7.629503e+01	4.975460e+06	-7.064916e+06	1.684236e+06	
-1.086920e+06	-1.389045e+06	6.080550e+06	6.237189e+06	-7.713215e+01	5.150269e+06	-7.324109e+06	1.725413e+06	
-1.146933e+06	-1.324978e+06	6.443912e+06	6.578721e+06	-7.838098e+01	5.431788e+06	-7.725654e+06	1.802251e+06	
-1.209026e+06	-1.242696e+06	6.843503e+06	6.955417e+06	-7.970796e+01	5.746391e+06	-8.164443e+06	1.867478e+06	
-1.264766e+06	-1.148765e+06	7.244523e+06	7.335038e+06	-8.098965e+01	6.070272e+06	-8.599804e+06	1.877662e+06	
-1.312241e+06	-1.047842e+06	7.644240e+06	7.715723e+06	-8.219480e+01	6.403482e+06	-9.027964e+06	1.806078e+06	
-1.351871e+06	-9.445672e+05	8.027638e+06	8.083018e+06	-8.328921e+01	6.731147e+06	-9.434889e+06	1.651799e+06	
-1.382694e+06	-8.474188e+05	8.346320e+06	8.389230e+06	-8.420254e+01	7.006536e+06	-9.771923e+06	1.444611e+06	
-1.404403e+06	-7.659125e+05	8.557027e+06	8.591235e+06	-8.488530e+01	7.186832e+06	-9.995638e+06	1.218362e+06	
-1.417716e+06	-7.043933e+05	8.642865e+06	8.671522e+06	-8.534072e+01	7.253806e+06	-1.008924e+07	9.929948e+05	
-1.423664e+06	-6.825478e+05	8.628963e+06	8.655915e+06	-8.547737e+01	7.232251e+06	-1.007958e+07	7.775437e+05	
-1.425702e+06	-6.427744e+05	8.569312e+06	8.593385e+06	-8.571037e+01	7.167683e+06	-1.001909e+07	5.364064e+05	
-1.422173e+06	-6.050445e+05	8.478844e+06	8.500405e+06	-8.591836e+01	7.078232e+06	-9.922578e+06	2.813320e+05	
-1.412256e+06	-5.760763e+05	8.355959e+06	8.375794e+06	-8.605619e+01	6.963538e+06	-9.788049e+06	4.691629e+04	
-1.395822e+06	-5.661153e+05	8.204353e+06	8.223862e+06	-8.605277e+01	6.828039e+06	-9.619684e+06	-1.200638e+05	
-1.373695e+06	-5.772095e+05	8.032392e+06	8.053104e+06	-8.588981e+01	6.679409e+06	-9.426800e+06	-2.051993e+05	
-1.346245e+06	-5.926270e+05	7.835342e+06	7.857722e+06	-8.567469e+01	6.511477e+06	-9.203966e+06	-2.612013e+05	
-1.313662e+06	-5.940473e+05	7.599825e+06	7.623007e+06	-8.553054e+01	6.309345e+06	-8.936669e+06	-3.488517e+05	
-1.277349e+06	-5.719832e+05	7.328108e+06	7.350397e+06	-8.553695e+01	6.073048e+06	-8.627746e+06	-4.976016e+05	
-1.240011e+06	-5.282795e+05	7.047533e+06	7.067305e+06	-8.571318e+01	5.827294e+06	-8.307315e+06	-6.925882e+05	
-1.204714e+06	-4.674359e+05	6.790358e+06	6.806427e+06	-8.606211e+01	5.601713e+06	-8.011142e+06	-9.119450e+05	
-1.172779e+06	-3.968578e+05	6.565426e+06	6.577410e+06	-8.654090e+01	5.404631e+06	-7.750189e+06	-1.134646e+06	
-1.144104e+06	-3.287012e+05	6.358231e+06	6.366722e+06	-8.704065e+01	5.222618e+06	-7.510826e+06	-1.339052e+06	
-1.119086e+06	-2.767626e+05	6.162084e+06	6.168296e+06	-8.742839e+01	5.049210e+06	-7.287382e+06	-1.500956e+06	
-1.098005e+06	-2.477750e+05	5.971440e+06	5.976578e+06	-8.762400e+01	4.878573e+06	-7.074583e+06	-1.612147e+06	
-1.080598e+06	-2.410333e+05	5.775268e+06	5.780295e+06	-8.761015e+01	4.699697e+06	-6.860894e+06	-1.681611e+06	
-1.065402e+06	-2.542960e+05	5.551736e+06	5.557557e+06	-8.737744e+01	4.492155e+06	-6.622959e+06	-1.720216e+06	
-1.051297e+06	-2.845398e+05	5.291158e+06	5.298803e+06	-8.692183e+01	4.247506e+06	-6.350100e+06	-1.735699e+06	
-1.037761e+06	-3.272174e+05	5.000168e+06	5.010863e+06	-8.625586e+01	3.973102e+06	-6.048624e+06	-1.733475e+06	
-1.024324e+06	-3.770249e+05	4.689578e+06	4.704709e+06	-8.540355e+01	3.680386e+06	-5.729033e+06	-1.718402e+06	
-1.009869e+06	-4.304103e+05	4.364472e+06	4.385643e+06	-8.436791e+01	3.375774e+06	-5.395512e+06	-1.692984e+06	
-9.925134e+05	-4.846184e+05	4.019497e+06	4.048606e+06	-8.312524e+01	3.056093e+06	-5.041120e+06	-1.660087e+06	
-9.712487e+05	-5.381859e+05	3.651678e+06	3.691124e+06	-8.161611e+01	2.719875e+06	-4.662373e+06	-1.623110e+06	
-9.456019e+05	-5.916147e+05	3.257758e+06	3.311041e+06	-7.970718e+01	2.365439e+06	-4.256643e+06	-1.583587e+06	
-9.154217e+05	-6.467863e+05	2.836377e+06	2.909187e+06	-7.715437e+01	1.993765e+06	-3.824608e+06	-1.540642e+06	
-8.810061e+05	-7.061738e+05	2.390669e+06	2.492785e+06	-7.354354e+01	1.611779e+06	-3.373791e+06	-1.492105e+06	
-8.434149e+05	-7.716539e+05	1.930353e+06	2.078873e+06	-6.821108e+01	1.235458e+06	-2.922288e+06	-1.434796e+06	
-8.044658e+05	-8.442413e+05	1.472310e+06	1.697186e+06	-6.016951e+01	8.927198e+05	-2.501651e+06	-1.366659e+06	
-7.656307e+05	-9.227550e+05	1.032251e+06	1.384564e+06	-4.820568e+01	6.189337e+05	-2.150195e+06	-1.288685e+06	
-7.273340e+05	-1.005103e+06	6.173203e+05	1.179541e+06	-3.155767e+01	4.522071e+05	-1.906875e+06	-1.202386e+06	
-6.897973e+05	-1.089453e+06	2.296794e+05	1.113400e+06	-1.190482e+01	4.236030e+05	-1.803198e+06	-1.109008e+06	
-6.533823e+05	-1.173613e+06	-1.289673e+05	1.180677e+06	6.271024e+00	5.272951e+05	-1.834060e+06	-1.009717e+06	
-6.196752e+05	-1.254665e+06	-4.454617e+05	1.331398e+06	1.954712e+01	7.117229e+05	-1.951073e+06	-9.064551e+05	
-5.900344e+05	-1.328857e+06	-7.104135e+05	1.506834e+06	2.812918e+01	9.167999e+05	-2.096869e+06	-8.032355e+05	
-5.652173e+05	-1.393828e+06	-9.219706e+05	1.671163e+06	3.348331e+01	1.105946e+06	-2.236380e+06	-7.048742e+05	
-5.451925e+05	-1.451158e+06	-1.082665e+06	1.810531e+06	3.672553e+01	1.265339e+06	-2.355724e+06	-6.164372e+05	
-5.297798e+05	-1.503381e+06	-1.192088e+06	1.918653e+06	3.841224e+01	1.388873e+06	-2.448433e+06	-5.415683e+05	
