KneeAng	AnkAng	MPAng	DotMPAng	Yaw	  Pitch	FemTVAng	FemHZAng	FemHZAngP	TibPSAng	TibPSAngYaw	TibHZAng	TibHZAngP	
1.404681e+02	1.545351e+02	1.509935e+02	1.509935e+02	-1.637486e+01	9.554202e+01	1.387974e+02	-5.859081e+00	-6.331292e+01	-1.451125e+02	-4.151125e+02	-3.925578e+01	-2.728426e+01	
1.364022e+02	1.528012e+02	1.507649e+02	1.507649e+02	-1.569799e+01	9.555914e+01	1.406886e+02	-4.087395e+00	-6.483063e+01	-1.456347e+02	-4.156347e+02	-4.127272e+01	-2.546743e+01	
1.328557e+02	1.508662e+02	1.505538e+02	1.505538e+02	-1.519888e+01	9.571084e+01	1.419266e+02	-2.865247e+00	-6.575682e+01	-1.462740e+02	-4.162740e+02	-4.340148e+01	-2.344889e+01	
1.297351e+02	1.487659e+02	1.503563e+02	1.503563e+02	-1.486369e+01	9.596712e+01	1.426467e+02	-2.097395e+00	-6.622523e+01	-1.470059e+02	-4.170059e+02	-4.560854e+01	-2.125216e+01	
1.269472e+02	1.465392e+02	1.501681e+02	1.501681e+02	-1.467038e+01	9.629837e+01	1.429670e+02	-1.685452e+00	-6.634609e+01	-1.478023e+02	-4.178023e+02	-4.785600e+01	-1.890582e+01	
1.243912e+02	1.442321e+02	1.499839e+02	1.499839e+02	-1.459726e+01	9.666826e+01	1.429935e+02	-1.522989e+00	-6.622615e+01	-1.486276e+02	-4.186276e+02	-5.009894e+01	-1.644848e+01	
1.219540e+02	1.419010e+02	1.497970e+02	1.497970e+02	-1.462950e+01	9.702822e+01	1.428266e+02	-1.491275e+00	-6.598813e+01	-1.494364e+02	-4.194364e+02	-5.228253e+01	-1.393341e+01	
1.195311e+02	1.396041e+02	1.496008e+02	1.496008e+02	-1.475286e+01	9.732654e+01	1.425592e+02	-1.475956e+00	-6.575553e+01	-1.501813e+02	-4.201813e+02	-5.434607e+01	-1.142156e+01	
1.170315e+02	1.373965e+02	1.493891e+02	1.493891e+02	-1.495178e+01	9.751261e+01	1.422758e+02	-1.373218e+00	-6.564411e+01	-1.508166e+02	-4.208166e+02	-5.622598e+01	-8.976129e+00	
1.144550e+02	1.352870e+02	1.491643e+02	1.491643e+02	-1.517069e+01	9.758479e+01	1.420221e+02	-1.157879e+00	-6.565524e+01	-1.513308e+02	-4.213308e+02	-5.788447e+01	-6.618468e+00	
1.118611e+02	1.332436e+02	1.489365e+02	1.489365e+02	-1.532087e+01	9.758156e+01	1.418189e+02	-8.620155e-01	-6.570158e+01	-1.517404e+02	-4.217404e+02	-5.931032e+01	-4.328145e+00	
1.093002e+02	1.312252e+02	1.487173e+02	1.487173e+02	-1.530977e+01	9.754378e+01	1.416915e+02	-5.157526e-01	-6.569454e+01	-1.520649e+02	-4.220649e+02	-6.049911e+01	-2.073405e+00	
1.068118e+02	1.291881e+02	1.485194e+02	1.485194e+02	-1.505785e+01	9.751028e+01	1.416595e+02	-1.461878e-01	-6.555406e+01	-1.523259e+02	-4.223259e+02	-6.145227e+01	1.832852e-01	
1.044195e+02	1.271075e+02	1.483545e+02	1.483545e+02	-1.458323e+01	9.750339e+01	1.416825e+02	2.195392e-01	-6.524182e+01	-1.525515e+02	-4.225515e+02	-6.217930e+01	2.467471e+00	
1.021452e+02	1.249676e+02	1.482336e+02	1.482336e+02	-1.394229e+01	9.753967e+01	1.416954e+02	5.519148e-01	-6.473488e+01	-1.527711e+02	-4.227711e+02	-6.269355e+01	4.799111e+00	
1.000142e+02	1.227549e+02	1.481667e+02	1.481667e+02	-1.319821e+01	9.763578e+01	1.416278e+02	8.184605e-01	-6.401288e+01	-1.530141e+02	-4.230141e+02	-6.301075e+01	7.197718e+00	
9.804609e+01	1.204659e+02	1.481556e+02	1.481556e+02	-1.237791e+01	9.779214e+01	1.414498e+02	9.950643e-01	-6.306730e+01	-1.533088e+02	-4.233088e+02	-6.314909e+01	9.664902e+00	
9.624049e+01	1.181191e+02	1.481829e+02	1.481829e+02	-1.140808e+01	9.797038e+01	1.412378e+02	1.082504e+00	-6.191164e+01	-1.536821e+02	-4.236821e+02	-6.313031e+01	1.216050e+01	
9.459108e+01	1.157370e+02	1.482288e+02	1.482288e+02	-1.019895e+01	9.812604e+01	1.410891e+02	1.085462e+00	-6.056539e+01	-1.541589e+02	-4.241589e+02	-6.298014e+01	1.463729e+01	
9.308490e+01	1.133414e+02	1.482739e+02	1.482739e+02	-8.664353e+00	9.821432e+01	1.411046e+02	1.009970e+00	-5.905438e+01	-1.547618e+02	-4.247618e+02	-6.272586e+01	1.704777e+01	
9.168276e+01	1.109306e+02	1.483120e+02	1.483120e+02	-6.852665e+00	9.820877e+01	1.412668e+02	8.711592e-01	-5.741795e+01	-1.554909e+02	-4.254909e+02	-6.236579e+01	1.938026e+01	
9.032481e+01	1.084783e+02	1.483496e+02	1.483496e+02	-4.952090e+00	9.810282e+01	1.414291e+02	6.931315e-01	-5.570324e+01	-1.563257e+02	-4.263257e+02	-6.186331e+01	2.166108e+01	
8.895590e+01	1.059574e+02	1.483941e+02	1.483941e+02	-3.151194e+00	9.789090e+01	1.414419e+02	5.003663e-01	-5.395344e+01	-1.572476e+02	-4.272476e+02	-6.117618e+01	2.391690e+01	
8.753831e+01	1.033503e+02	1.484505e+02	1.484505e+02	-1.615393e+00	9.757186e+01	1.411689e+02	3.154770e-01	-5.219909e+01	-1.582428e+02	-4.282428e+02	-6.027010e+01	2.616708e+01	
8.611447e+01	1.007073e+02	1.485072e+02	1.485072e+02	-3.848959e-01	9.717361e+01	1.405494e+02	1.517518e-01	-5.041469e+01	-1.593187e+02	-4.293187e+02	-5.918779e+01	2.838238e+01	
8.476109e+01	9.810713e+01	1.485447e+02	1.485447e+02	5.547896e-01	9.673771e+01	1.395481e+02	1.728058e-02	-4.854324e+01	-1.604882e+02	-4.304882e+02	-5.801779e+01	3.051395e+01	
8.355116e+01	9.562353e+01	1.485441e+02	1.485441e+02	1.214377e+00	9.630527e+01	1.381153e+02	-8.079235e-02	-4.651888e+01	-1.617605e+02	-4.317605e+02	-5.685466e+01	3.251787e+01	
