KneeAng	AnkAng	MPAng	DotMPAng	Yaw	  Pitch	FemTVAng	FemHZAng	FemHZAngP	TibPSAng	TibPSAngYaw	TibHZAng	TibHZAngP	
1.452257e+02	1.353797e+02	1.655512e+02	1.655512e+02	-1.210851e+01	9.323106e+01	1.296616e+02	-1.579686e+01	-5.025893e+01	-1.560975e+02	-4.260975e+02	-5.040572e+01	-2.660014e+01	
1.398661e+02	1.313968e+02	1.659214e+02	1.659214e+02	-1.169983e+01	9.233198e+01	1.312975e+02	-1.428590e+01	-5.199018e+01	-1.561825e+02	-4.261825e+02	-5.383437e+01	-2.339745e+01	
1.359217e+02	1.279326e+02	1.662298e+02	1.662298e+02	-1.119051e+01	9.195663e+01	1.318962e+02	-1.359133e+01	-5.228425e+01	-1.563219e+02	-4.263219e+02	-5.665367e+01	-2.028012e+01	
1.330388e+02	1.248163e+02	1.664783e+02	1.664783e+02	-1.059508e+01	9.194416e+01	1.316901e+02	-1.348398e+01	-5.150841e+01	-1.565259e+02	-4.265259e+02	-5.905581e+01	-1.721060e+01	
1.307865e+02	1.218833e+02	1.666647e+02	1.666647e+02	-9.931703e+00	9.209937e+01	1.308779e+02	-1.370160e+01	-4.998294e+01	-1.568485e+02	-4.268485e+02	-6.122310e+01	-1.421121e+01	
1.286678e+02	1.189647e+02	1.667825e+02	1.667825e+02	-9.219154e+00	9.218859e+01	1.296420e+02	-1.393760e+01	-4.801924e+01	-1.573924e+02	-4.273924e+02	-6.334365e+01	-1.136158e+01	
1.262208e+02	1.159429e+02	1.668273e+02	1.668273e+02	-8.470371e+00	9.198125e+01	1.282237e+02	-1.390294e+01	-4.596865e+01	-1.582479e+02	-4.282479e+02	-6.555177e+01	-8.782015e+00	
1.233275e+02	1.129066e+02	1.668194e+02	1.668194e+02	-7.686564e+00	9.139597e+01	1.270613e+02	-1.351486e+01	-4.427364e+01	-1.593080e+02	-4.293080e+02	-6.773868e+01	-6.547168e+00	
1.200829e+02	1.100381e+02	1.667905e+02	1.667905e+02	-6.870861e+00	9.044027e+01	1.266125e+02	-1.281150e+01	-4.334735e+01	-1.603604e+02	-4.303604e+02	-6.965659e+01	-4.682783e+00	
1.166645e+02	1.074950e+02	1.667574e+02	1.667574e+02	-6.044828e+00	8.916281e+01	1.269942e+02	-1.188451e+01	-4.326958e+01	-1.612654e+02	-4.312654e+02	-7.109966e+01	-3.201985e+00	
1.134660e+02	1.053783e+02	1.667054e+02	1.667054e+02	-5.249429e+00	8.769459e+01	1.275867e+02	-1.096995e+01	-4.339375e+01	-1.620842e+02	-4.320842e+02	-7.208410e+01	-2.133600e+00	
1.108877e+02	1.037482e+02	1.665999e+02	1.665999e+02	-4.497502e+00	8.619618e+01	1.277396e+02	-1.030568e+01	-4.304608e+01	-1.629096e+02	-4.329096e+02	-7.276386e+01	-1.464986e+00	
1.089076e+02	1.024323e+02	1.663906e+02	1.663906e+02	-3.657086e+00	8.487041e+01	1.274111e+02	-9.912849e+00	-4.204524e+01	-1.637889e+02	-4.337889e+02	-7.327786e+01	-9.323429e-01	
1.070874e+02	1.010472e+02	1.660641e+02	1.660641e+02	-2.464510e+00	8.394351e+01	1.271536e+02	-9.597001e+00	-4.066976e+01	-1.647201e+02	-4.347201e+02	-7.361021e+01	-5.381488e-02	
1.050858e+02	9.928967e+01	1.656774e+02	1.656774e+02	-7.200315e-01	8.356060e+01	1.274562e+02	-9.209861e+00	-3.920758e+01	-1.656994e+02	-4.356994e+02	-7.365135e+01	1.518910e+00	
1.030278e+02	9.722441e+01	1.653295e+02	1.653295e+02	1.346733e+00	8.347758e+01	1.282856e+02	-8.896844e+00	-3.792573e+01	-1.667483e+02	-4.367483e+02	-7.339566e+01	3.478089e+00	
1.011745e+02	9.503416e+01	1.651047e+02	1.651047e+02	3.304450e+00	8.330702e+01	1.293671e+02	-8.912678e+00	-3.706448e+01	-1.679015e+02	-4.379015e+02	-7.295594e+01	5.282725e+00	
9.966865e+01	9.289948e+01	1.650072e+02	1.650072e+02	4.866748e+00	8.280850e+01	1.304262e+02	-9.371172e+00	-3.668079e+01	-1.691704e+02	-4.391704e+02	-7.245738e+01	6.573093e+00	
9.848667e+01	9.104228e+01	1.648986e+02	1.648986e+02	6.127693e+00	8.205807e+01	1.312717e+02	-1.008914e+01	-3.646385e+01	-1.705074e+02	-4.405074e+02	-7.197362e+01	7.351063e+00	
9.758651e+01	8.966958e+01	1.646261e+02	1.646261e+02	7.250038e+00	8.118951e+01	1.317614e+02	-1.084207e+01	-3.606441e+01	-1.718591e+02	-4.418591e+02	-7.157931e+01	7.691190e+00	
9.671857e+01	8.861657e+01	1.642277e+02	1.642277e+02	8.296362e+00	8.050267e+01	1.318086e+02	-1.136578e+01	-3.524426e+01	-1.732100e+02	-4.432100e+02	-7.121566e+01	8.001437e+00	
9.547540e+01	8.742263e+01	1.639181e+02	1.639181e+02	9.236481e+00	8.043829e+01	1.313541e+02	-1.136700e+01	-3.384938e+01	-1.745707e+02	-4.445707e+02	-7.068360e+01	8.963284e+00	
9.360819e+01	8.575041e+01	1.638814e+02	1.638814e+02	1.007282e+01	8.128381e+01	1.303978e+02	-1.066545e+01	-3.181090e+01	-1.759403e+02	-4.459403e+02	-6.982004e+01	1.103978e+01	
9.148893e+01	8.381738e+01	1.640481e+02	1.640481e+02	1.099392e+01	8.262990e+01	1.292670e+02	-9.603202e+00	-2.941689e+01	-1.772970e+02	-4.472970e+02	-6.874305e+01	1.370662e+01	
8.962440e+01	8.198177e+01	1.642699e+02	1.642699e+02	1.224257e+01	8.391402e+01	1.283958e+02	-8.667232e+00	-2.701763e+01	-1.786216e+02	-4.486216e+02	-6.765703e+01	1.621179e+01	
8.827030e+01	8.045764e+01	1.644491e+02	1.644491e+02	1.386551e+01	8.475318e+01	1.280038e+02	-8.114446e+00	-2.484307e+01	-1.798744e+02	-4.498744e+02	-6.669345e+01	1.805936e+01	
8.734363e+01	7.925286e+01	1.645699e+02	1.645699e+02	1.556861e+01	8.495793e+01	1.279362e+02	-7.841868e+00	-2.302074e+01	9.709350e-01	-5.351158e+00	-6.588018e+01	1.905652e+01	
8.673885e+01	7.834465e+01	1.646265e+02	1.646265e+02	1.701527e+01	8.436563e+01	1.279746e+02	-7.730589e+00	-2.166523e+01	1.836823e+00	-5.254383e+00	-6.523355e+01	1.905798e+01	
8.640904e+01	7.758838e+01	1.646360e+02	1.646360e+02	1.802388e+01	8.325237e+01	1.277924e+02	-7.786956e+00	-2.059723e+01	2.531395e+00	-5.146336e+00	-6.466392e+01	1.845131e+01	
8.635268e+01	7.676642e+01	1.646290e+02	1.646290e+02	1.853217e+01	8.219154e+01	1.270123e+02	-8.089272e+00	-1.946029e+01	3.195470e+00	-4.895162e+00	-6.400293e+01	1.797610e+01	
8.651324e+01	7.573038e+01	1.646183e+02	1.646183e+02	1.858552e+01	8.161370e+01	1.254768e+02	-8.633931e+00	-1.801962e+01	3.933731e+00	-4.441742e+00	-6.311239e+01	1.818876e+01	
8.660394e+01	7.458223e+01	1.645571e+02	1.645571e+02	1.853401e+01	8.137264e+01	1.237487e+02	-9.139848e+00	-1.645686e+01	4.715877e+00	-3.951688e+00	-6.201160e+01	1.892583e+01	
8.630284e+01	7.349453e+01	1.643861e+02	1.643861e+02	1.876935e+01	8.119338e+01	1.225200e+02	-9.274294e+00	-1.504442e+01	5.470521e+00	-3.658029e+00	-6.077637e+01	1.985024e+01	
8.565032e+01	7.262920e+01	1.640940e+02	1.640940e+02	1.941237e+01	8.090783e+01	1.219384e+02	-8.954944e+00	-1.381309e+01	6.112142e+00	-3.681761e+00	-5.955820e+01	2.066393e+01	
