KneeAng	AnkAng	MPAng	DotMPAng	Yaw	  Pitch	FemTVAng	FemHZAng	FemHZAngP	TibPSAng	TibPSAngYaw	TibHZAng	TibHZAngP	
7.878173e+01	9.072030e+01	1.530018e+02	1.530018e+02	-9.677012e+00	9.605917e+01	1.289086e+02	-1.727824e+00	-4.795097e+01	-1.633904e+02	-4.333904e+02	-5.214421e+01	3.856083e+01	
7.769656e+01	8.801835e+01	1.529089e+02	1.529089e+02	-9.113269e+00	9.557556e+01	1.270125e+02	-2.081300e+00	-4.555504e+01	-1.652831e+02	-4.352831e+02	-5.081070e+01	4.062717e+01	
7.675936e+01	8.551520e+01	1.528395e+02	1.528395e+02	-8.412415e+00	9.526731e+01	1.252213e+02	-2.330886e+00	-4.310968e+01	-1.671637e+02	-4.371637e+02	-4.955882e+01	4.258864e+01	
7.598295e+01	8.315668e+01	1.527902e+02	1.527902e+02	-7.568839e+00	9.513902e+01	1.235126e+02	-2.547883e+00	-4.057985e+01	-1.690561e+02	-4.390561e+02	-4.837484e+01	4.450282e+01	
7.534514e+01	8.083632e+01	1.527524e+02	1.527524e+02	-6.643984e+00	9.513859e+01	1.218021e+02	-2.836949e+00	-3.794063e+01	-1.710324e+02	-4.410324e+02	-4.720513e+01	4.641202e+01	
7.481401e+01	7.845018e+01	1.527176e+02	1.527176e+02	-5.694613e+00	9.521212e+01	1.200218e+02	-3.297722e+00	-3.517908e+01	-1.731666e+02	-4.431666e+02	-4.597976e+01	4.834362e+01	
7.440253e+01	7.596429e+01	1.526995e+02	1.526995e+02	-4.701061e+00	9.529735e+01	1.181746e+02	-3.982639e+00	-3.228198e+01	-1.754716e+02	-4.454716e+02	-4.465152e+01	5.025208e+01	
7.416272e+01	7.341459e+01	1.527315e+02	1.527315e+02	-3.570857e+00	9.532525e+01	1.163349e+02	-4.896283e+00	-2.924210e+01	-1.779016e+02	-4.479016e+02	-4.320937e+01	5.203047e+01	
7.412721e+01	7.084697e+01	1.528434e+02	1.528434e+02	-2.205291e+00	9.522852e+01	1.146049e+02	-6.031369e+00	-2.607730e+01	4.098895e-01	2.057317e+00	-4.165228e+01	5.357295e+01	
7.429384e+01	6.838402e+01	1.530103e+02	1.530103e+02	-5.869961e-01	9.500826e+01	1.130395e+02	-7.304507e+00	-2.283900e+01	2.915831e+00	3.364958e+00	-4.000905e+01	5.483129e+01	
7.466414e+01	6.627045e+01	1.531148e+02	1.531148e+02	1.156369e+00	9.478435e+01	1.115582e+02	-8.528889e+00	-1.957355e+01	5.274320e+00	4.369649e+00	-3.836314e+01	5.586705e+01	
7.529941e+01	6.474995e+01	1.530238e+02	1.530238e+02	2.890081e+00	9.468955e+01	1.100323e+02	-9.533679e+00	-1.627306e+01	7.331625e+00	5.025755e+00	-3.681996e+01	5.678669e+01	
7.627461e+01	6.396579e+01	1.526180e+02	1.526180e+02	4.504754e+00	9.479144e+01	1.083305e+02	-1.021282e+01	-1.290435e+01	8.984376e+00	5.330177e+00	-3.545926e+01	5.768062e+01	
7.754164e+01	6.379428e+01	1.518427e+02	1.518427e+02	5.960101e+00	9.493377e+01	1.064356e+02	-1.060811e+01	-9.515145e+00	1.029159e+01	5.387111e+00	-3.424343e+01	5.848708e+01	
7.899798e+01	6.405086e+01	1.506900e+02	1.506900e+02	7.230509e+00	9.491062e+01	1.043815e+02	-1.078327e+01	-6.200664e+00	1.134329e+01	5.315268e+00	-3.310178e+01	5.909772e+01	
8.053449e+01	6.456006e+01	1.491927e+02	1.491927e+02	8.296551e+00	9.455979e+01	1.022247e+02	-1.079837e+01	-3.060668e+00	1.221629e+01	5.211724e+00	-3.196240e+01	5.943661e+01	
8.277338e+01	6.554358e+01	1.480828e+02	1.480828e+02	9.179733e+00	9.401584e+01	1.000083e+02	-1.070088e+01	-8.135537e-02	1.228357e+01	4.436804e+00	-3.086501e+01	5.993770e+01	
8.449585e+01	6.628392e+01	1.461855e+02	1.461855e+02	9.898207e+00	9.353129e+01	9.775088e+01	-1.053306e+01	2.789034e+00	1.280348e+01	4.231123e+00	-2.959970e+01	6.041334e+01	
8.635639e+01	6.702722e+01	1.442814e+02	1.442814e+02	1.045113e+01	9.333822e+01	9.546022e+01	-1.033335e+01	5.583486e+00	1.311971e+01	3.943459e+00	-2.821518e+01	6.134543e+01	
8.832156e+01	6.773778e+01	1.424612e+02	1.424612e+02	1.081735e+01	9.343820e+01	9.314435e+01	-1.008364e+01	8.266645e+00	1.323376e+01	3.602323e+00	-2.672823e+01	6.271440e+01	
9.032116e+01	6.841190e+01	1.407909e+02	1.407909e+02	1.098179e+01	9.366550e+01	9.082059e+01	-9.725154e+00	1.076947e+01	1.316198e+01	3.251191e+00	-2.519870e+01	6.430894e+01	
9.229440e+01	6.907580e+01	1.392981e+02	1.392981e+02	1.094475e+01	9.385436e+01	8.850869e+01	-9.201080e+00	1.303890e+01	1.292288e+01	2.921823e+00	-2.369028e+01	6.592363e+01	
9.421263e+01	6.978746e+01	1.379324e+02	1.379324e+02	1.076869e+01	9.391373e+01	8.626456e+01	-8.529513e+00	1.506948e+01	1.255749e+01	2.606304e+00	-2.223082e+01	6.744270e+01	
9.607497e+01	7.059909e+01	1.366030e+02	1.366030e+02	1.059248e+01	9.385084e+01	8.419767e+01	-7.827091e+00	1.690371e+01	1.213523e+01	2.246124e+00	-2.079589e+01	6.885906e+01	
9.787015e+01	7.151746e+01	1.352708e+02	1.352708e+02	1.055710e+01	9.367977e+01	8.242192e+01	-7.214467e+00	1.858308e+01	1.172752e+01	1.777462e+00	-1.935708e+01	7.016774e+01	
9.958360e+01	7.251359e+01	1.339470e+02	1.339470e+02	1.074776e+01	9.342414e+01	8.100179e+01	-6.765421e+00	2.013813e+01	1.137884e+01	1.159790e+00	-1.790887e+01	7.136488e+01	
1.012147e+02	7.356397e+01	1.326590e+02	1.326590e+02	1.110983e+01	9.313091e+01	7.987484e+01	-6.440762e+00	2.157883e+01	1.106697e+01	4.209757e-01	-1.650347e+01	7.245947e+01	
1.027664e+02	7.466230e+01	1.314177e+02	1.314177e+02	1.156641e+01	9.284903e+01	7.896273e+01	-6.185464e+00	2.290698e+01	1.075996e+01	-3.969936e-01	-1.520159e+01	7.346391e+01	
1.042434e+02	7.580827e+01	1.302216e+02	1.302216e+02	1.204568e+01	9.261444e+01	7.819647e+01	-5.955084e+00	2.411966e+01	1.042905e+01	-1.252698e+00	-1.404815e+01	7.439390e+01	
1.056519e+02	7.689992e+01	1.281401e+02	1.281401e+02	1.250985e+01	9.240639e+01	7.754213e+01	-5.751574e+00	2.521044e+01	1.005964e+01	-2.126115e+00	-1.301297e+01	7.527180e+01	
1.070016e+02	7.803025e+01	1.270365e+02	1.270365e+02	1.293437e+01	9.218817e+01	7.697558e+01	-5.590044e+00	2.617572e+01	9.641182e+00	-3.006278e+00	-1.204462e+01	7.612077e+01	
1.083089e+02	7.910624e+01	1.259729e+02	1.259729e+02	1.329961e+01	9.192943e+01	7.646815e+01	-5.484239e+00	2.702186e+01	9.164923e+00	-3.884297e+00	-1.109896e+01	7.696079e+01	
1.096369e+02	8.013768e+01	1.250127e+02	1.250127e+02	1.360829e+01	9.165072e+01	7.594814e+01	-5.440405e+00	2.782455e+01	8.638379e+00	-4.754051e+00	-1.018915e+01	7.779389e+01	
1.110745e+02	8.114515e+01	1.242647e+02	1.242647e+02	1.387455e+01	9.140104e+01	7.532095e+01	-5.460619e+00	2.869621e+01	8.078192e+00	-5.610656e+00	-9.360015e+00	7.861196e+01	
1.127066e+02	8.213498e+01	1.238449e+02	1.238449e+02	1.411155e+01	9.122823e+01	7.449773e+01	-5.547046e+00	2.974304e+01	7.500596e+00	-6.449485e+00	-8.653724e+00	7.940763e+01	
1.145325e+02	8.307889e+01	1.237691e+02	1.237691e+02	1.432083e+01	9.117838e+01	7.347007e+01	-5.716651e+00	3.098038e+01	6.919263e+00	-7.259108e+00	-8.067519e+00	8.020582e+01	
1.164611e+02	8.392139e+01	1.239425e+02	1.239425e+02	1.449024e+01	9.129561e+01	7.230966e+01	-6.002306e+00	3.233161e+01	6.345779e+00	-8.018058e+00	-7.552674e+00	8.106438e+01	
1.183941e+02	8.460829e+01	1.242662e+02	1.242662e+02	1.460488e+01	9.162394e+01	7.108988e+01	-6.436818e+00	3.371839e+01	5.791885e+00	-8.701635e+00	-7.058623e+00	8.203905e+01	
1.202604e+02	8.511559e+01	1.246823e+02	1.246823e+02	1.464313e+01	9.214386e+01	6.985080e+01	-7.018448e+00	3.508395e+01	5.261291e+00	-9.285653e+00	-6.548904e+00	8.312422e+01	
1.220469e+02	8.547302e+01	1.252087e+02	1.252087e+02	1.457362e+01	9.270852e+01	6.857080e+01	-7.681581e+00	3.640475e+01	4.741920e+00	-9.750909e+00	-6.013736e+00	8.421014e+01	
