StressDVtot	StressDVm	StressDVexternal	StressDVFax	StressAPtot	StressAPm	StressAPexternal	StressAPFax	
5.197478e+06	1.374390e+07	-8.614681e+06	6.825992e+04	-7.253413e+05	2.158694e+05	-9.401993e+05	-1.011392e+03	
5.274773e+06	1.388655e+07	-8.669688e+06	5.790729e+04	-6.856339e+05	1.982844e+05	-8.830603e+05	-8.579993e+02	
5.327619e+06	1.402358e+07	-8.742818e+06	4.685888e+04	-6.500124e+05	1.818328e+05	-8.311509e+05	-6.942974e+02	
5.360434e+06	1.415649e+07	-8.831560e+06	3.550253e+04	-6.191345e+05	1.669542e+05	-7.855626e+05	-5.260330e+02	
5.375248e+06	1.428503e+07	-8.934022e+06	2.423864e+04	-5.935879e+05	1.539665e+05	-7.471952e+05	-3.591385e+02	
5.369490e+06	1.440478e+07	-9.048864e+06	1.357685e+04	-5.743346e+05	1.432127e+05	-7.173462e+05	-2.011651e+02	
5.338771e+06	1.451056e+07	-9.175829e+06	4.039935e+03	-5.621798e+05	1.349218e+05	-6.970417e+05	-5.985880e+01	
5.283671e+06	1.460323e+07	-9.315504e+06	-4.053973e+03	-5.566700e+05	1.289632e+05	-6.856932e+05	6.006680e+01	
5.221462e+06	1.470125e+07	-9.468781e+06	-1.101046e+04	-5.548209e+05	1.245939e+05	-6.795779e+05	1.631395e+02	
5.173058e+06	1.482496e+07	-9.634617e+06	-1.728711e+04	-5.534470e+05	1.211174e+05	-6.748205e+05	2.561393e+02	
5.147562e+06	1.498090e+07	-9.810204e+06	-2.313070e+04	-5.506455e+05	1.181423e+05	-6.691305e+05	3.427224e+02	
5.124532e+06	1.514458e+07	-9.991938e+06	-2.810541e+04	-5.465790e+05	1.156068e+05	-6.626022e+05	4.164315e+02	
5.079435e+06	1.528752e+07	-1.017647e+07	-3.161407e+04	-5.411655e+05	1.133208e+05	-6.549547e+05	4.684186e+02	
4.996489e+06	1.538942e+07	-1.035947e+07	-3.345916e+04	-5.342715e+05	1.110380e+05	-6.458052e+05	4.957568e+02	
4.877708e+06	1.544602e+07	-1.053389e+07	-3.441641e+04	-5.267474e+05	1.087438e+05	-6.360011e+05	5.099401e+02	
4.727712e+06	1.545568e+07	-1.069253e+07	-3.543830e+04	-5.197844e+05	1.065902e+05	-6.268997e+05	5.250813e+02	
4.548196e+06	1.541506e+07	-1.082989e+07	-3.697391e+04	-5.139519e+05	1.047341e+05	-6.192338e+05	5.478341e+02	
4.335440e+06	1.531696e+07	-1.094301e+07	-3.851234e+04	-5.090325e+05	1.032115e+05	-6.128147e+05	5.706287e+02	
4.085760e+06	1.515435e+07	-1.102913e+07	-3.945957e+04	-5.058433e+05	1.021391e+05	-6.085670e+05	5.846636e+02	
3.797634e+06	1.492247e+07	-1.108557e+07	-3.927043e+04	-5.069552e+05	1.017847e+05	-6.093217e+05	5.818611e+02	
3.473158e+06	1.462074e+07	-1.111014e+07	-3.744656e+04	-5.160520e+05	1.024435e+05	-6.190503e+05	5.548373e+02	
3.118799e+06	1.425318e+07	-1.110080e+07	-3.358126e+04	-5.365204e+05	1.042702e+05	-6.412882e+05	4.975660e+02	
2.747477e+06	1.382921e+07	-1.105354e+07	-2.819148e+04	-5.708387e+05	1.074442e+05	-6.787005e+05	4.177069e+02	
2.376018e+06	1.336243e+07	-1.096359e+07	-2.281720e+04	-6.200173e+05	1.123058e+05	-7.326612e+05	3.380773e+02	
2.017900e+06	1.286545e+07	-1.082872e+07	-1.882990e+04	-6.834413e+05	1.190983e+05	-8.028186e+05	2.789984e+02	
1.681068e+06	1.234769e+07	-1.065030e+07	-1.632485e+04	-7.589000e+05	1.275572e+05	-8.866991e+05	2.418817e+02	
1.369360e+06	1.181512e+07	-1.043148e+07	-1.428679e+04	-8.434742e+05	1.370178e+05	-9.807036e+05	2.116841e+02	
1.083879e+06	1.127084e+07	-1.017514e+07	-1.182477e+04	-9.343232e+05	1.468880e+05	-1.081386e+06	1.752050e+02	
8.185275e+05	1.071273e+07	-9.885755e+06	-8.445201e+03	-1.027040e+06	1.564365e+05	-1.183602e+06	1.251306e+02	
5.660240e+05	1.013961e+07	-9.569679e+06	-3.902262e+03	-1.116762e+06	1.649293e+05	-1.281749e+06	5.781894e+01	
3.260761e+05	9.557076e+06	-9.233041e+06	2.041855e+03	-1.200240e+06	1.719447e+05	-1.372154e+06	-3.025370e+01	
1.104208e+05	8.980948e+06	-8.879511e+06	8.983759e+03	-1.276352e+06	1.776452e+05	-1.453864e+06	-1.331103e+02	
-6.905171e+04	8.427326e+06	-8.512446e+06	1.606771e+04	-1.344468e+06	1.824132e+05	-1.526643e+06	-2.380716e+02	
-2.100108e+05	7.904697e+06	-8.137250e+06	2.254177e+04	-1.403602e+06	1.864713e+05	-1.589739e+06	-3.339963e+02	
-3.193220e+05	7.413574e+06	-7.760599e+06	2.770341e+04	-1.453486e+06	1.898691e+05	-1.642944e+06	-4.104753e+02	
-4.052364e+05	6.953668e+06	-7.389749e+06	3.084472e+04	-1.494727e+06	1.926008e+05	-1.686870e+06	-4.570192e+02	
