Pct	FAxFem(N)	FAP(N)	FDV(N)	HipTorqAP(Nm)	HipTorqDV(Nm)	FemTorsion(Nm)	TKFlex(Nm)	FAxTib(N)	FMLTib(N)	TAnkFlex(Nm)	TibTorsion(Nm)	Rhip(m)	Rknee(m)	Rankle(m)	Fem-GRFang(deg)	Tib-GRFang(deg)	
0.000000e+00	1.661667e-02	-2.350401e-02	-5.568494e-03	-5.628327e-04	2.312531e-04	-1.384902e-04	-1.900923e-04	1.087533e-02	-1.374224e-02	1.295356e-04	9.658230e-05	7.887682e-03	-6.483752e-03	4.418258e-03	5.547482e+01	6.822640e+01	
1.000000e+00	9.550642e-03	-2.558040e-02	-1.741975e-02	-6.273280e-04	5.025026e-04	-2.016953e-04	-3.722361e-04	-2.335538e-03	-1.972835e-02	1.635148e-04	8.888801e-05	1.551481e-02	-1.149282e-02	5.048535e-03	7.284987e+01	9.413522e+01	
2.000000e+00	2.720226e-03	-2.713400e-02	-3.001694e-02	-6.804797e-04	7.796625e-04	-2.681560e-04	-5.526180e-04	-1.620797e-02	-2.541098e-02	1.953359e-04	7.853886e-05	1.922504e-02	-1.362654e-02	4.816624e-03	8.615399e+01	1.135569e+02	
3.000000e+00	-3.695238e-03	-2.799231e-02	-4.303225e-02	-7.170872e-04	1.058199e-03	-3.346066e-04	-7.290203e-04	-3.038141e-02	-3.069852e-02	2.223708e-04	6.481790e-05	2.056015e-02	-1.416442e-02	4.320529e-03	9.411720e+01	1.261778e+02	
4.000000e+00	-9.512392e-03	-2.806820e-02	-5.619641e-02	-7.342521e-04	1.334960e-03	-3.986817e-04	-9.002109e-04	-4.451856e-02	-3.558960e-02	2.428756e-04	4.692396e-05	2.101232e-02	-1.416936e-02	3.822871e-03	9.861105e+01	1.344852e+02	
5.000000e+00	-1.459440e-02	-2.737511e-02	-6.929752e-02	-7.317580e-04	1.607536e-03	-4.592547e-04	-1.065197e-03	-5.835729e-02	-4.011944e-02	2.561991e-04	2.429984e-05	2.117280e-02	-1.402967e-02	3.374390e-03	1.010825e+02	1.402304e+02	
6.000000e+00	-1.886820e-02	-2.600107e-02	-8.225608e-02	-7.114451e-04	1.875733e-03	-5.167221e-04	-1.223979e-03	-7.178300e-02	-4.437648e-02	2.626364e-04	-3.492716e-06	2.124104e-02	-1.386050e-02	2.974129e-03	1.023373e+02	1.443783e+02	
7.000000e+00	-2.231361e-02	-2.406892e-02	-9.512427e-02	-6.761876e-04	2.141491e-03	-5.726768e-04	-1.377420e-03	-8.482816e-02	-4.848410e-02	2.630473e-04	-3.679541e-05	2.128143e-02	-1.368834e-02	2.614077e-03	1.028116e+02	1.474577e+02	
8.000000e+00	-2.495379e-02	-2.170953e-02	-1.079820e-01	-6.291883e-04	2.406419e-03	-6.291151e-04	-1.525649e-03	-9.759232e-02	-5.252189e-02	2.585315e-04	-7.556549e-05	2.130817e-02	-1.350919e-02	2.289224e-03	1.027654e+02	1.497861e+02	
9.000000e+00	-2.685733e-02	-1.891569e-02	-1.209335e-01	-5.703528e-04	2.672264e-03	-6.861086e-04	-1.669330e-03	-1.102171e-01	-5.655470e-02	2.491887e-04	-1.199192e-04	2.132425e-02	-1.332099e-02	1.988487e-03	1.023755e+02	1.515839e+02	
1.000000e+01	-2.810943e-02	-1.562119e-02	-1.340622e-01	-4.982761e-04	2.939791e-03	-7.427034e-04	-1.808819e-03	-1.228375e-01	-6.061157e-02	2.347016e-04	-1.699389e-04	2.132365e-02	-1.312019e-02	1.702398e-03	1.017646e+02	1.529988e+02	
