StressDVtot	StressDVm	StressDVexternal	StressDVFax	StressAPtot	StressAPm	StressAPexternal	StressAPFax	
-9.219706e+05	6.868222e+06	-7.852666e+06	6.247427e+04	-1.393828e+06	1.501292e+05	-1.543032e+06	-9.256671e+02	
-1.082665e+06	6.530954e+06	-7.686957e+06	7.333704e+04	-1.451158e+06	1.507473e+05	-1.600819e+06	-1.086618e+03	
-1.192088e+06	6.258907e+06	-7.534374e+06	8.337935e+04	-1.503381e+06	1.522009e+05	-1.654347e+06	-1.235413e+03	
-1.248948e+06	6.051199e+06	-7.392611e+06	9.246349e+04	-1.553633e+06	1.549643e+05	-1.707228e+06	-1.370011e+03	
-1.267227e+06	5.893353e+06	-7.260660e+06	1.000807e+05	-1.604740e+06	1.593163e+05	-1.762573e+06	-1.482873e+03	
-1.265865e+06	5.766967e+06	-7.138547e+06	1.057147e+05	-1.659848e+06	1.654992e+05	-1.823780e+06	-1.566350e+03	
-1.260761e+06	5.654797e+06	-7.024877e+06	1.093198e+05	-1.720484e+06	1.734199e+05	-1.892284e+06	-1.619767e+03	
-1.255078e+06	5.550233e+06	-6.917467e+06	1.121559e+05	-1.783293e+06	1.821408e+05	-1.963772e+06	-1.661788e+03	
-1.249921e+06	5.446862e+06	-6.812477e+06	1.156941e+05	-1.844925e+06	1.906766e+05	-2.033887e+06	-1.714214e+03	
-1.247107e+06	5.334525e+06	-6.702640e+06	1.210088e+05	-1.902899e+06	1.982564e+05	-2.099362e+06	-1.792960e+03	
-1.240679e+06	5.214274e+06	-6.582719e+06	1.277659e+05	-1.958578e+06	2.054158e+05	-2.162100e+06	-1.893079e+03	
-1.222026e+06	5.091767e+06	-6.449081e+06	1.352871e+05	-2.013040e+06	2.129264e+05	-2.223962e+06	-2.004519e+03	
-1.187025e+06	4.969932e+06	-6.299956e+06	1.429989e+05	-2.066785e+06	2.213122e+05	-2.285978e+06	-2.118783e+03	
-1.145639e+06	4.835032e+06	-6.131491e+06	1.508206e+05	-2.119943e+06	2.302176e+05	-2.347926e+06	-2.234675e+03	
-1.110322e+06	4.666670e+06	-5.935762e+06	1.587699e+05	-2.172175e+06	2.389989e+05	-2.408821e+06	-2.352458e+03	
