StressAxial	StressAP	StressDV	NetBendFemMag	NetBendFemAng	PeakTensStress	PeakCompStress	FemShear	
-3.691623e+04	-7.173479e+04	2.172961e+06	2.174144e+06	-8.810924e+01	2.137228e+06	-2.211061e+06	-9.300961e+04	
-3.543087e+04	-7.673635e+04	1.984515e+06	1.985998e+06	-8.778565e+01	1.950568e+06	-2.021429e+06	-2.528899e+04	
-3.359480e+04	-7.405807e+04	1.812769e+06	1.814281e+06	-8.766060e+01	1.780687e+06	-1.847876e+06	2.689006e+04	
-3.160639e+04	-6.909784e+04	1.659971e+06	1.661409e+06	-8.761642e+01	1.629803e+06	-1.693015e+06	6.812593e+04	
-2.978378e+04	-6.812399e+04	1.527942e+06	1.529460e+06	-8.744716e+01	1.499676e+06	-1.559244e+06	1.060870e+05	
-2.840696e+04	-7.466015e+04	1.417833e+06	1.419798e+06	-8.698574e+01	1.391391e+06	-1.448204e+06	1.474644e+05	
-2.760031e+04	-8.793705e+04	1.326413e+06	1.329325e+06	-8.620705e+01	1.301725e+06	-1.356925e+06	1.953584e+05	
-2.745332e+04	-1.067579e+05	1.246860e+06	1.251422e+06	-8.510622e+01	1.223969e+06	-1.278876e+06	2.518385e+05	
-2.806681e+04	-1.307554e+05	1.169676e+06	1.176961e+06	-8.362155e+01	1.148895e+06	-1.205028e+06	3.196306e+05	
-2.955417e+04	-1.603165e+05	1.081687e+06	1.093502e+06	-8.156961e+01	1.063948e+06	-1.123057e+06	4.029794e+05	
-3.192203e+04	-1.950629e+05	9.658002e+05	9.853018e+05	-7.858159e+01	9.533798e+05	-1.017224e+06	5.071862e+05	
