StressDVtot	StressDVm	StressDVexternal	StressDVFax	StressAPtot	StressAPm	StressAPexternal	StressAPFax	
3.796848e+07	6.449245e+07	-2.659708e+07	7.311482e+04	-1.294226e+06	3.218045e+05	-1.605524e+06	-1.050690e+04	
3.668741e+07	6.354098e+07	-2.692474e+07	7.116563e+04	-1.201304e+06	2.706593e+05	-1.461736e+06	-1.022680e+04	
3.552061e+07	6.269361e+07	-2.724211e+07	6.910913e+04	-1.123264e+06	2.278990e+05	-1.341232e+06	-9.931269e+03	
3.446730e+07	6.193495e+07	-2.753447e+07	6.682542e+04	-1.060829e+06	1.935103e+05	-1.244736e+06	-9.603091e+03	
3.353547e+07	6.126186e+07	-2.779060e+07	6.421005e+04	-1.013384e+06	1.671557e+05	-1.171312e+06	-9.227251e+03	
3.273305e+07	6.067307e+07	-2.800125e+07	6.122673e+04	-9.798612e+05	1.483452e+05	-1.119408e+06	-8.798536e+03	
3.206591e+07	6.016961e+07	-2.816165e+07	5.794616e+04	-9.592573e+05	1.364586e+05	-1.087389e+06	-8.327103e+03	
3.154064e+07	5.976356e+07	-2.827742e+07	5.449566e+04	-9.512754e+05	1.308953e+05	-1.074339e+06	-7.831252e+03	
3.115517e+07	5.946309e+07	-2.835896e+07	5.104104e+04	-9.565989e+05	1.311525e+05	-1.080417e+06	-7.334810e+03	
3.089022e+07	5.926131e+07	-2.841880e+07	4.771357e+04	-9.759802e+05	1.366505e+05	-1.105774e+06	-6.856638e+03	
3.071831e+07	5.914799e+07	-2.847422e+07	4.453339e+04	-1.010441e+06	1.469881e+05	-1.151030e+06	-6.399633e+03	
3.060806e+07	5.910613e+07	-2.853958e+07	4.151200e+04	-1.062418e+06	1.622093e+05	-1.218662e+06	-5.965446e+03	
3.051953e+07	5.910219e+07	-2.862132e+07	3.867034e+04	-1.134702e+06	1.824588e+05	-1.311603e+06	-5.557088e+03	
3.043177e+07	5.911941e+07	-2.872363e+07	3.598287e+04	-1.225112e+06	2.068968e+05	-1.426838e+06	-5.170888e+03	
3.034858e+07	5.916539e+07	-2.885017e+07	3.335992e+04	-1.325372e+06	2.335281e+05	-1.554106e+06	-4.793959e+03	
3.027088e+07	5.923750e+07	-2.899731e+07	3.069297e+04	-1.425883e+06	2.601850e+05	-1.681657e+06	-4.410708e+03	
3.019890e+07	5.932891e+07	-2.915788e+07	2.786649e+04	-1.516665e+06	2.847375e+05	-1.797398e+06	-4.004530e+03	
3.010147e+07	5.939738e+07	-2.932087e+07	2.496048e+04	-1.593804e+06	3.059458e+05	-1.896163e+06	-3.586925e+03	
2.991651e+07	5.936562e+07	-2.947132e+07	2.221116e+04	-1.658363e+06	3.232078e+05	-1.978379e+06	-3.191835e+03	
2.957847e+07	5.915436e+07	-2.959574e+07	1.985577e+04	-1.712367e+06	3.360692e+05	-2.045583e+06	-2.853356e+03	
2.903570e+07	5.870494e+07	-2.968733e+07	1.809354e+04	-1.759136e+06	3.444635e+05	-2.100999e+06	-2.600116e+03	
2.829987e+07	5.802530e+07	-2.974240e+07	1.697205e+04	-1.803971e+06	3.495813e+05	-2.151114e+06	-2.438955e+03	
2.741126e+07	5.714952e+07	-2.975474e+07	1.648003e+04	-1.852858e+06	3.530845e+05	-2.203574e+06	-2.368249e+03	
2.641793e+07	5.612113e+07	-2.971979e+07	1.659025e+04	-1.911553e+06	3.565856e+05	-2.265754e+06	-2.384088e+03	
2.536864e+07	5.498847e+07	-2.963706e+07	1.723683e+04	-1.983773e+06	3.612777e+05	-2.342573e+06	-2.477004e+03	
2.427316e+07	5.376432e+07	-2.950945e+07	1.827907e+04	-2.068262e+06	3.670991e+05	-2.432735e+06	-2.626778e+03	
2.312970e+07	5.245305e+07	-2.934291e+07	1.955803e+04	-2.162847e+06	3.737584e+05	-2.533795e+06	-2.810570e+03	
2.193940e+07	5.106545e+07	-2.914696e+07	2.091614e+04	-2.265237e+06	3.809655e+05	-2.643197e+06	-3.005737e+03	
2.069696e+07	4.960302e+07	-2.892829e+07	2.223252e+04	-2.373476e+06	3.883629e+05	-2.758644e+06	-3.194906e+03	
1.938676e+07	4.805207e+07	-2.868877e+07	2.346158e+04	-2.488945e+06	3.959214e+05	-2.881495e+06	-3.371526e+03	
1.799676e+07	4.640391e+07	-2.843172e+07	2.456301e+04	-2.614352e+06	4.037633e+05	-3.014585e+06	-3.529807e+03	
1.651595e+07	4.464948e+07	-2.815903e+07	2.550183e+04	-2.752897e+06	4.119800e+05	-3.161213e+06	-3.664719e+03	
1.494900e+07	4.279382e+07	-2.787112e+07	2.629902e+04	-2.907037e+06	4.205346e+05	-3.323793e+06	-3.779278e+03	
1.333464e+07	4.088000e+07	-2.757243e+07	2.706851e+04	-3.076027e+06	4.291250e+05	-3.501262e+06	-3.889857e+03	
1.171128e+07	3.895175e+07	-2.726841e+07	2.793878e+04	-3.257913e+06	4.373641e+05	-3.691262e+06	-4.014918e+03	
1.021348e+07	3.712468e+07	-2.694024e+07	2.904684e+04	-3.467491e+06	4.491109e+05	-3.912428e+06	-4.174152e+03	
8.658209e+06	3.526581e+07	-2.663806e+07	3.045352e+04	-3.664393e+06	4.552373e+05	-4.115254e+06	-4.376297e+03	
7.163609e+06	3.347816e+07	-2.634669e+07	3.213162e+04	-3.865300e+06	4.602847e+05	-4.320967e+06	-4.617448e+03	
