FQuads	FAdd	FRet	Faext	QuadsBMom	AddBMom	RetBMom	
0.000000e+00	-2.404957e-01	2.358512e-01	0.000000e+00	0.000000e+00	-4.681181e-04	1.075329e-04	
0.000000e+00	-2.171619e-01	2.395028e-01	0.000000e+00	0.000000e+00	-4.226995e-04	1.091978e-04	
0.000000e+00	-1.948248e-01	2.404630e-01	0.000000e+00	0.000000e+00	-3.792210e-04	1.096356e-04	
0.000000e+00	-1.741878e-01	2.392389e-01	0.000000e+00	0.000000e+00	-3.390517e-04	1.090774e-04	
0.000000e+00	-1.546438e-01	2.370532e-01	0.000000e+00	0.000000e+00	-3.010097e-04	1.080809e-04	
0.000000e+00	-1.356482e-01	2.354248e-01	0.000000e+00	0.000000e+00	-2.640353e-04	1.073385e-04	
0.000000e+00	-1.168743e-01	2.356139e-01	0.000000e+00	0.000000e+00	-2.274925e-04	1.074247e-04	
0.000000e+00	-9.934615e-02	2.378147e-01	0.000000e+00	0.000000e+00	-1.933745e-04	1.084281e-04	
0.000000e+00	-8.421372e-02	2.416203e-01	0.000000e+00	0.000000e+00	-1.639197e-04	1.101632e-04	
0.000000e+00	-7.178952e-02	2.461840e-01	0.000000e+00	0.000000e+00	-1.397363e-04	1.122440e-04	
0.000000e+00	-6.096274e-02	2.507810e-01	0.000000e+00	0.000000e+00	-1.186623e-04	1.143399e-04	
0.000000e+00	-4.946260e-02	2.547401e-01	0.000000e+00	0.000000e+00	-9.627756e-05	1.161450e-04	
0.000000e+00	-3.459432e-02	2.573473e-01	0.000000e+00	0.000000e+00	-6.733688e-05	1.173337e-04	
0.000000e+00	-1.647996e-02	2.581338e-01	0.000000e+00	0.000000e+00	-3.207778e-05	1.176923e-04	
0.000000e+00	0.000000e+00	2.539606e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.157896e-04	
0.000000e+00	0.000000e+00	2.445329e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.114912e-04	
0.000000e+00	0.000000e+00	2.305961e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.051369e-04	
0.000000e+00	0.000000e+00	2.148123e-01	0.000000e+00	0.000000e+00	0.000000e+00	9.794049e-05	
0.000000e+00	0.000000e+00	1.997328e-01	0.000000e+00	0.000000e+00	0.000000e+00	9.106522e-05	
0.000000e+00	0.000000e+00	1.868801e-01	0.000000e+00	0.000000e+00	0.000000e+00	8.520522e-05	
0.000000e+00	0.000000e+00	1.753776e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.996081e-05	
0.000000e+00	0.000000e+00	1.644273e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.496820e-05	
0.000000e+00	0.000000e+00	1.535515e-01	0.000000e+00	0.000000e+00	0.000000e+00	7.000955e-05	
0.000000e+00	0.000000e+00	1.430246e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.520997e-05	
0.000000e+00	0.000000e+00	1.334010e-01	0.000000e+00	0.000000e+00	0.000000e+00	6.082220e-05	
0.000000e+00	0.000000e+00	1.248104e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.690544e-05	
0.000000e+00	0.000000e+00	1.186824e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.411149e-05	
0.000000e+00	0.000000e+00	1.134416e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.172200e-05	
0.000000e+00	0.000000e+00	1.088605e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.963332e-05	
0.000000e+00	0.000000e+00	1.045635e-01	0.000000e+00	0.000000e+00	0.000000e+00	4.767419e-05	
0.000000e+00	0.000000e+00	9.994265e-02	0.000000e+00	0.000000e+00	0.000000e+00	4.556738e-05	
0.000000e+00	0.000000e+00	9.451993e-02	0.000000e+00	0.000000e+00	0.000000e+00	4.309496e-05	
0.000000e+00	0.000000e+00	8.848540e-02	0.000000e+00	0.000000e+00	0.000000e+00	4.034361e-05	
0.000000e+00	0.000000e+00	8.242309e-02	0.000000e+00	0.000000e+00	0.000000e+00	3.757959e-05	
0.000000e+00	0.000000e+00	7.694781e-02	0.000000e+00	0.000000e+00	0.000000e+00	3.508322e-05	
0.000000e+00	0.000000e+00	7.241757e-02	0.000000e+00	0.000000e+00	0.000000e+00	3.301772e-05	
0.000000e+00	0.000000e+00	6.781684e-02	0.000000e+00	0.000000e+00	0.000000e+00	3.092008e-05	
0.000000e+00	0.000000e+00	6.219389e-02	0.000000e+00	0.000000e+00	0.000000e+00	2.835638e-05	
0.000000e+00	0.000000e+00	5.493291e-02	0.000000e+00	0.000000e+00	0.000000e+00	2.504585e-05	
0.000000e+00	0.000000e+00	4.634616e-02	0.000000e+00	0.000000e+00	0.000000e+00	2.113085e-05	
0.000000e+00	0.000000e+00	3.751632e-02	0.000000e+00	0.000000e+00	0.000000e+00	1.710501e-05	
0.000000e+00	0.000000e+00	2.413522e-02	0.000000e+00	0.000000e+00	0.000000e+00	1.100410e-05	
0.000000e+00	0.000000e+00	1.768162e-02	0.000000e+00	0.000000e+00	0.000000e+00	8.061673e-06	
0.000000e+00	0.000000e+00	1.229227e-02	0.000000e+00	0.000000e+00	0.000000e+00	5.604478e-06	
0.000000e+00	0.000000e+00	8.080379e-03	0.000000e+00	0.000000e+00	0.000000e+00	3.684129e-06	
0.000000e+00	0.000000e+00	5.317314e-03	0.000000e+00	0.000000e+00	0.000000e+00	2.424351e-06	
0.000000e+00	0.000000e+00	4.274261e-03	0.000000e+00	0.000000e+00	0.000000e+00	1.948786e-06	
0.000000e+00	0.000000e+00	5.016966e-03	0.000000e+00	0.000000e+00	0.000000e+00	2.287412e-06	
