StressDVtot	StressDVm	StressDVexternal	StressDVFax	StressAPtot	StressAPm	StressAPexternal	StressAPFax	
1.700931e+07	3.247802e+07	-1.556169e+07	9.297935e+04	-2.848060e+06	1.761390e+06	-4.596691e+06	-1.275917e+04	
1.596925e+07	3.173551e+07	-1.586432e+07	9.805097e+04	-2.829274e+06	1.656200e+06	-4.472019e+06	-1.345513e+04	
1.524744e+07	3.142886e+07	-1.628395e+07	1.025233e+05	-2.775012e+06	1.528954e+06	-4.289897e+06	-1.406884e+04	
1.466725e+07	3.132406e+07	-1.676278e+07	1.059693e+05	-2.721969e+06	1.399304e+06	-4.106731e+06	-1.454173e+04	
1.411669e+07	3.127094e+07	-1.726222e+07	1.079762e+05	-2.697928e+06	1.283544e+06	-3.966655e+06	-1.481712e+04	
1.354425e+07	3.119234e+07	-1.775630e+07	1.082068e+05	-2.719019e+06	1.194146e+06	-3.898316e+06	-1.484877e+04	
1.293722e+07	3.105559e+07	-1.822488e+07	1.065097e+05	-2.787165e+06	1.137200e+06	-3.909749e+06	-1.461588e+04	
1.230878e+07	3.086041e+07	-1.865460e+07	1.029784e+05	-2.890011e+06	1.109655e+06	-3.985534e+06	-1.413129e+04	
1.166719e+07	3.060992e+07	-1.904058e+07	9.784961e+04	-3.008577e+06	1.102368e+06	-4.097518e+06	-1.342749e+04	
1.106972e+07	3.037164e+07	-1.939344e+07	9.151453e+04	-3.113125e+06	1.097909e+06	-4.198475e+06	-1.255816e+04	
1.060229e+07	3.024752e+07	-1.972973e+07	8.450151e+04	-3.174162e+06	1.080354e+06	-4.242920e+06	-1.159579e+04	
1.032643e+07	3.031252e+07	-2.006355e+07	7.747104e+04	-3.169713e+06	1.040606e+06	-4.199688e+06	-1.063103e+04	
1.025726e+07	3.059256e+07	-2.040642e+07	7.111869e+04	-3.083692e+06	9.735328e+05	-4.047466e+06	-9.759320e+03	
1.030932e+07	3.100618e+07	-2.076225e+07	6.539235e+04	-2.925463e+06	8.845553e+05	-3.801045e+06	-8.973519e+03	
1.038292e+07	3.144768e+07	-2.112465e+07	5.989139e+04	-2.719926e+06	7.847897e+05	-3.496497e+06	-8.218645e+03	
1.041421e+07	3.183971e+07	-2.147963e+07	5.412789e+04	-2.499893e+06	6.885970e+05	-3.181062e+06	-7.427744e+03	
1.038807e+07	3.215223e+07	-2.181203e+07	4.786470e+04	-2.294626e+06	6.079754e+05	-2.896033e+06	-6.568272e+03	
1.031563e+07	3.238694e+07	-2.211290e+07	4.158263e+04	-2.112396e+06	5.437049e+05	-2.650395e+06	-5.706210e+03	
1.019937e+07	3.254176e+07	-2.237819e+07	3.578756e+04	-1.953119e+06	4.923877e+05	-2.440596e+06	-4.910977e+03	
1.003001e+07	3.260360e+07	-2.260452e+07	3.092950e+04	-1.813842e+06	4.496505e+05	-2.259248e+06	-4.244326e+03	
9.800786e+06	3.256395e+07	-2.279039e+07	2.722848e+04	-1.692904e+06	4.125248e+05	-2.101692e+06	-3.736450e+03	
9.511625e+06	3.242055e+07	-2.293364e+07	2.471175e+04	-1.590684e+06	3.797094e+05	-1.967003e+06	-3.391090e+03	
9.164121e+06	3.217139e+07	-2.303069e+07	2.342486e+04	-1.508055e+06	3.503063e+05	-1.855146e+06	-3.214496e+03	
8.759982e+06	3.181706e+07	-2.308042e+07	2.334513e+04	-1.446770e+06	3.239708e+05	-1.767537e+06	-3.203555e+03	
8.264475e+06	3.132767e+07	-2.308727e+07	2.407300e+04	-1.404625e+06	2.997962e+05	-1.701117e+06	-3.303437e+03	
7.622038e+06	3.065445e+07	-2.305747e+07	2.506599e+04	-1.377670e+06	2.768017e+05	-1.651032e+06	-3.439701e+03	
6.778139e+06	2.975074e+07	-2.299838e+07	2.578379e+04	-1.363792e+06	2.549079e+05	-1.615162e+06	-3.538201e+03	
5.711082e+06	2.859940e+07	-2.291416e+07	2.584495e+04	-1.366820e+06	2.361410e+05	-1.599414e+06	-3.546594e+03	
4.504199e+06	2.727737e+07	-2.279856e+07	2.538656e+04	-1.402725e+06	2.257451e+05	-1.624987e+06	-3.483691e+03	
3.268674e+06	2.588918e+07	-2.264512e+07	2.461009e+04	-1.485082e+06	2.273207e+05	-1.709025e+06	-3.377140e+03	
2.110376e+06	2.453597e+07	-2.244931e+07	2.371872e+04	-1.620488e+06	2.417866e+05	-1.859020e+06	-3.254820e+03	
1.093298e+06	2.327807e+07	-2.220767e+07	2.289393e+04	-1.806003e+06	2.671773e+05	-2.070039e+06	-3.141639e+03	
2.389387e+05	2.213591e+07	-2.191920e+07	2.223616e+04	-2.033312e+06	3.005509e+05	-2.330811e+06	-3.051375e+03	
-4.360581e+05	2.112613e+07	-2.158404e+07	2.185143e+04	-2.294489e+06	3.400308e+05	-2.631521e+06	-2.998581e+03	
-9.244248e+05	2.025528e+07	-2.120157e+07	2.185895e+04	-2.581429e+06	3.844825e+05	-2.962912e+06	-2.999613e+03	
-1.274654e+06	1.947967e+07	-2.077649e+07	2.216322e+04	-2.882508e+06	4.319560e+05	-3.311423e+06	-3.041366e+03	
-1.567027e+06	1.873115e+07	-2.032072e+07	2.254142e+04	-3.185255e+06	4.793133e+05	-3.661475e+06	-3.093264e+03	
-1.877810e+06	1.794819e+07	-1.984882e+07	2.282251e+04	-3.479013e+06	5.225877e+05	-3.998468e+06	-3.131838e+03	
-2.255898e+06	1.709599e+07	-1.937481e+07	2.292271e+04	-3.756199e+06	5.581086e+05	-4.311162e+06	-3.145587e+03	
-2.659430e+06	1.622129e+07	-1.890374e+07	2.301872e+04	-4.015419e+06	5.862514e+05	-4.598511e+06	-3.158762e+03	
-3.025089e+06	1.538670e+07	-1.843512e+07	2.333318e+04	-4.255387e+06	6.092543e+05	-4.861440e+06	-3.201915e+03	
-3.292617e+06	1.464941e+07	-1.796605e+07	2.403191e+04	-4.473927e+06	6.302319e+05	-5.100861e+06	-3.297799e+03	
-3.386541e+06	1.407473e+07	-1.748638e+07	2.511183e+04	-4.674064e+06	6.549239e+05	-5.325542e+06	-3.445991e+03	
-3.439337e+06	1.354126e+07	-1.700700e+07	2.640521e+04	-4.849768e+06	6.771819e+05	-5.523326e+06	-3.623477e+03	
-3.439090e+06	1.304782e+07	-1.651469e+07	2.777808e+04	-5.008607e+06	6.994058e+05	-5.704201e+06	-3.811870e+03	
-3.417646e+06	1.255681e+07	-1.600359e+07	2.913590e+04	-5.154204e+06	7.207146e+05	-5.870920e+06	-3.998198e+03	
-3.388535e+06	1.205450e+07	-1.547341e+07	3.037706e+04	-5.284704e+06	7.401310e+05	-6.020666e+06	-4.168516e+03	
-3.352913e+06	1.154566e+07	-1.492995e+07	3.137846e+04	-5.393324e+06	7.565530e+05	-6.145571e+06	-4.305935e+03	
-3.311721e+06	1.103901e+07	-1.438275e+07	3.201126e+04	-5.473819e+06	7.688829e+05	-6.238309e+06	-4.392772e+03	
-3.266472e+06	1.054270e+07	-1.384135e+07	3.217925e+04	-5.521922e+06	7.761706e+05	-6.293677e+06	-4.415823e+03	
