StressDVtot	StressDVm	StressDVexternal	StressDVFax	StressAPtot	StressAPm	StressAPexternal	StressAPFax	
2.775864e+07	4.809375e+07	-2.039107e+07	5.595927e+04	-7.338466e+04	0.000000e+00	-6.534308e+04	-8.041580e+03	
2.684117e+07	4.757753e+07	-2.078988e+07	5.352139e+04	-6.696162e+03	0.000000e+00	9.950835e+02	-7.691246e+03	
2.613229e+07	4.731435e+07	-2.123306e+07	5.100403e+04	1.411502e+04	0.000000e+00	2.144451e+04	-7.329491e+03	
2.562356e+07	4.727541e+07	-2.170021e+07	4.836071e+04	1.630602e+03	0.000000e+00	8.580237e+03	-6.949635e+03	
2.529273e+07	4.741205e+07	-2.216492e+07	4.559629e+04	-3.298537e+04	0.000000e+00	-2.643300e+04	-6.552376e+03	
2.511202e+07	4.767337e+07	-2.260412e+07	4.276205e+04	-8.186711e+04	0.000000e+00	-7.572203e+04	-6.145084e+03	
2.505162e+07	4.801538e+07	-2.300370e+07	3.994179e+04	-1.399255e+05	0.000000e+00	-1.341857e+05	-5.739802e+03	
2.507144e+07	4.838663e+07	-2.335243e+07	3.724854e+04	-2.050606e+05	0.000000e+00	-1.997078e+05	-5.352770e+03	
2.512906e+07	4.873896e+07	-2.364469e+07	3.479526e+04	-2.785921e+05	0.000000e+00	-2.735919e+05	-5.000223e+03	
2.519807e+07	4.904993e+07	-2.388451e+07	3.264498e+04	-3.655724e+05	0.000000e+00	-3.608812e+05	-4.691220e+03	
2.526132e+07	4.930713e+07	-2.407663e+07	3.081648e+04	-4.702138e+05	1.115102e+03	-4.669004e+05	-4.428456e+03	
2.529831e+07	4.949297e+07	-2.422398e+07	2.931394e+04	-5.697634e+05	2.813764e+04	-5.936885e+05	-4.212535e+03	
2.529647e+07	4.960132e+07	-2.433295e+07	2.810442e+04	-6.857419e+05	5.856541e+04	-7.402686e+05	-4.038721e+03	
2.525531e+07	4.963680e+07	-2.440860e+07	2.711592e+04	-8.142919e+05	9.153348e+04	-9.019287e+05	-3.896671e+03	
2.518324e+07	4.960894e+07	-2.445196e+07	2.626036e+04	-9.502520e+05	1.259930e+05	-1.072471e+06	-3.773723e+03	
2.509746e+07	4.953905e+07	-2.446702e+07	2.543399e+04	-1.088530e+06	1.610630e+05	-1.245938e+06	-3.654970e+03	
2.501876e+07	4.945355e+07	-2.445932e+07	2.452552e+04	-1.224039e+06	1.959540e+05	-1.416468e+06	-3.524420e+03	
2.494002e+07	4.934560e+07	-2.442907e+07	2.349067e+04	-1.355035e+06	2.303300e+05	-1.581990e+06	-3.375706e+03	
2.483888e+07	4.919301e+07	-2.437646e+07	2.233170e+04	-1.483314e+06	2.643976e+05	-1.744503e+06	-3.209158e+03	
2.469342e+07	4.897383e+07	-2.430146e+07	2.105504e+04	-1.611306e+06	2.984390e+05	-1.906720e+06	-3.025697e+03	
2.447763e+07	4.865658e+07	-2.419863e+07	1.968390e+04	-1.740755e+06	3.324668e+05	-2.070393e+06	-2.828659e+03	
2.419245e+07	4.823986e+07	-2.406566e+07	1.824468e+04	-1.869383e+06	3.656806e+05	-2.232442e+06	-2.621836e+03	
2.385692e+07	4.774480e+07	-2.390464e+07	1.675848e+04	-1.993258e+06	3.970894e+05	-2.387939e+06	-2.408263e+03	
2.348790e+07	4.718838e+07	-2.371573e+07	1.525495e+04	-2.108325e+06	4.257659e+05	-2.531898e+06	-2.192200e+03	
2.310123e+07	4.658793e+07	-2.350045e+07	1.376012e+04	-2.211401e+06	4.510918e+05	-2.660515e+06	-1.977387e+03	
2.269825e+07	4.594786e+07	-2.326191e+07	1.229441e+04	-2.303022e+06	4.732324e+05	-2.774487e+06	-1.766758e+03	
2.227180e+07	4.526254e+07	-2.300162e+07	1.088759e+04	-2.384599e+06	4.924416e+05	-2.875476e+06	-1.564592e+03	
2.181559e+07	4.452844e+07	-2.272243e+07	9.573526e+03	-2.457886e+06	5.089986e+05	-2.965509e+06	-1.375755e+03	
2.133162e+07	4.375392e+07	-2.243067e+07	8.366587e+03	-2.525134e+06	5.233815e+05	-3.047313e+06	-1.202313e+03	
2.082547e+07	4.294876e+07	-2.213056e+07	7.267590e+03	-2.587397e+06	5.359134e+05	-3.122266e+06	-1.044383e+03	
2.029869e+07	4.211837e+07	-2.182597e+07	6.283981e+03	-2.644839e+06	5.466176e+05	-3.190554e+06	-9.030342e+02	
1.975483e+07	4.127501e+07	-2.152560e+07	5.417942e+03	-2.698216e+06	5.555861e+05	-3.253024e+06	-7.785807e+02	
1.919612e+07	4.043084e+07	-2.123941e+07	4.696661e+03	-2.747412e+06	5.625942e+05	-3.309331e+06	-6.749297e+02	
1.862775e+07	3.960234e+07	-2.097877e+07	4.188841e+03	-2.789609e+06	5.667729e+05	-3.355779e+06	-6.019539e+02	
1.806090e+07	3.881530e+07	-2.075836e+07	3.957151e+03	-2.822301e+06	5.674427e+05	-3.389175e+06	-5.686591e+02	
1.750598e+07	3.809360e+07	-2.059169e+07	4.067946e+03	-2.843479e+06	5.640868e+05	-3.406981e+06	-5.845807e+02	
1.696726e+07	3.744905e+07	-2.048639e+07	4.597906e+03	-2.852186e+06	5.564046e+05	-3.407930e+06	-6.607382e+02	
