"PercentStance"	"InterpV.N"	"InterpML.N"	"InterpHz.N"	"SquaredV.N"	"SquaredML.N"	"SquaredHz.N"	"NetGRF.N"	"APAngle"	"APAngle.Convert"	"MLAngle"	"MLAngle.Convert"	"InterpV.BW"	"InterpML.BW"	"InterpHz.BW"	"NetGRF.BW"
0	0.293245965702676	-0.0529701820412355	-0.0320504424162869	0.085993196400895	0.00280584018548163	0.00102723085907972	0.29971030587128	96.2374088880892	-6.23740888808918	100.239153501405	-10.2391535014053	0.46754777694942	-0.0844550096320719	-0.0511008329341309	0.477854441759057
1	0.298348632405389	-0.0568202760233892	-0.032014172066709	0.0890119064581659	0.00322854376737414	0.00102490721311685	0.305393774394071	96.1246637845687	-6.12466378456874	100.782808835021	-10.7828088350206	0.475683406258592	-0.0905935523332098	-0.0510430039328906	0.486916094378302
2	0.302911773611027	-0.0603887283122539	-0.0314092398949729	0.0917555425921781	0.00364679850717122	0.000986540350779957	0.310465588189946	95.9199034293274	-5.91990342932739	101.274712334884	-11.2747123348844	0.482958822721663	-0.0962830489672415	-0.0500785074856073	0.495002532190603
3	0.306665689632685	-0.0633751613187263	-0.0298891221465883	0.0940438451978903	0.00401641107217458	0.000893359622693675	0.314568936630365	95.5667414797815	-5.56674147978154	101.676305189341	-11.6763051893406	0.488944020460276	-0.101044581184194	-0.0476548503612696	0.501544860698924
4	0.309517102128695	-0.0654994870449833	-0.0272187955302314	0.095800836510145	0.00429018280315594	0.000740862830116545	0.317540363014558	95.0256368056973	-5.02563680569729	101.948556315598	-11.9485563155982	0.493490277628659	-0.104431580109986	-0.0433973143020271	0.506282466541069
5	0.31151898409664	-0.0665920717250782	-0.0233377340222779	0.0970440774526026	0.00443450401663796	0.000544649829294587	0.319410756391414	94.2843633156455	-4.28436331564545	102.066267129756	-12.0662671297561	0.49668205372551	-0.106173583745341	-0.0372093973569482	0.509264598838351
6	0.312871978236276	-0.0665491585778906	-0.0183339988329003	0.0978888747654808	0.00442879050742523	0.00033613551320479	0.320396318309232	93.353642782795	-3.35364278279496	102.008088723595	-12.0080887235946	0.498839251014471	-0.106105163548933	-0.0292315032412313	0.510835966692015
7	0.313783697953089	-0.065378701154131	-0.0123768520784914	0.0984602091011154	0.00427437456460117	0.000153186467372857	0.320761235396501	92.2587979222673	-2.25879792226728	101.769530980188	-11.7695309801884	0.500292885767042	-0.104239000564622	-0.0197335014006559	0.511417786027584
8	0.314423769954503	-0.0631790812120621	-0.00563258226176864	0.0988623071124022	0.00399159630280034	3.17259829355907e-05	0.320757898418945	91.0262858824733	-1.02628588247329	101.361494035667	-11.3614940356674	0.501313408728481	-0.100731953463109	-0.00898052018776888	0.51141246559143
9	0.314937190579379	-0.0600710968287463	0.00176032840773805	0.0991854340100321	0.00360853667420861	3.09875610308958e-06	0.320619820722836	89.6797509439796	0.320249056020444	100.798879115603	-10.7988791156032	0.502132000286	-0.0957766212193021	0.00280664605825582	0.511192316203502
10	0.315353349859866	-0.0562550295816341	0.00966399030075085	0.0994477352678391	0.00316462835323053	9.33927085330065e-05	0.320477388172087	88.2447225486665	1.75527745133346	100.114447016662	-10.1144470166623	0.50279551954698	-0.0896923303278605	0.015408147800942	0.510965223488659
11	0.315624593545463	-0.0519295287850659	0.017921983253206	0.0996188840507387	0.00269667595983899	0.000321197483728196	0.320369720002228	86.7500868557139	3.24991314428614	99.343135011728	-9.34313501172801	0.503227987157945	-0.082795804823128	0.0285745906460555	0.510793558677021
12	0.315686348293345	-0.0472643609157296	0.0263659256893185	0.0996578704987871	0.00223391981277235	0.000695162037454665	0.320291979838731	85.2257727302899	4.77422726971012	98.5150398154474	-8.51503981544741	0.503326448171787	-0.0753577182967627	0.0420375090709797	0.510669610712263
13	0.315465341101855	-0.0424601908679907	0.0348566837922024	0.0995183814365097	0.0018028678085462	0.00121498840498959	0.320212800571816	83.6947989386025	6.30520106139745	97.6656808708285	-7.66568087082851	0.502974077011886	-0.0676980083992199	0.0555750698217513	0.510543368258635
14	0.314951515630902	-0.0376861262747841	0.0432515702415092	0.0991944571982023	0.00142024411359897	0.0018706983283562	0.320133409128378	82.1806120639278	7.81938793607219	96.823394268972	-6.823394268972	0.502154839972739	-0.060086298269745	0.0689597739819981	0.510416787513358
15	0.314162941723587	-0.0331175213833974	0.0514049555336364	0.0986983539524179	0.00109677022257978	0.00264246945341514	0.320058734654146	80.7073176609262	9.29268233907382	96.0176166833466	-6.01761668334662	0.500897547390923	-0.0528021705730188	0.0819594316543948	0.510297727446023
16	0.313136007696545	-0.0289534291404674	0.0591857965716545	0.0980541593161307	0.000838301058992067	0.00350295851582127	0.319992841937041	79.2967964192202	10.7032035807798	95.282707236104	-5.28270723610405	0.49926021635291	-0.0461629928897758	0.0943651093298063	0.510192668904721
17	0.311963012445329	-0.0253479163688301	0.0664603819761627	0.0973209211339645	0.000642516864241205	0.00441698237241745	0.319969405366549	77.9735393166974	12.0264606833026	94.6452465801589	-4.64524658015887	0.497390007087578	-0.0404144074758133	0.105963619222198	0.510155301923707
18	0.310701925127093	-0.0224558561860366	0.0731269678386665	0.0965356862776817	0.000504265477047958	0.00534755342527736	0.319980476248172	76.7558749424158	13.2441250575842	94.1338414604163	-4.13384146041635	0.495379344909268	-0.0358033421333492	0.116592742089711	0.510172953201805
19	0.309413645563352	-0.0203724612560492	0.0791388394496047	0.0957368040608036	0.000415037177629226	0.00626295590943031	0.320023119708347	75.6530123023558	14.3469876976442	93.7670402718454	-3.76704027184545	0.493325327747691	-0.0324816027679356	0.126177996571436	0.510240943412543
