StressAxial	StressAP	StressDV	NetBendFemMag	NetBendFemAng	PeakTensStress	PeakCompStress	FemShear	
-6.900556e+03	1.982262e+05	2.663806e+05	3.320425e+05	5.334537e+01	3.251419e+05	-3.389431e+05	-2.374279e+05	
-1.253060e+04	2.047484e+05	2.666180e+05	3.361652e+05	5.247767e+01	3.236346e+05	-3.486958e+05	-2.528648e+05	
-1.933807e+04	2.159836e+05	2.545943e+05	3.338670e+05	4.969061e+01	3.145289e+05	-3.532051e+05	-2.714186e+05	
-2.719455e+04	2.326352e+05	2.300030e+05	3.271400e+05	4.467403e+01	2.999454e+05	-3.543345e+05	-2.931689e+05	
-3.651290e+04	2.573884e+05	1.909806e+05	3.205033e+05	3.657519e+01	2.839904e+05	-3.570162e+05	-3.205942e+05	
-4.542223e+04	2.917518e+05	1.487697e+05	3.274928e+05	2.701789e+01	2.820706e+05	-3.729150e+05	-3.542502e+05	
-5.435743e+04	3.342908e+05	1.012542e+05	3.492889e+05	1.685117e+01	2.949315e+05	-4.036463e+05	-3.929911e+05	
-6.260319e+04	3.867051e+05	5.354308e+04	3.903943e+05	7.883040e+00	3.277911e+05	-4.529975e+05	-4.381967e+05	
-7.014784e+04	4.477963e+05	5.877427e+03	4.478349e+05	7.519771e-01	3.776871e+05	-5.179827e+05	-4.888078e+05	
-7.724565e+04	5.183886e+05	-4.305045e+04	5.201731e+05	-4.747332e+00	4.429275e+05	-5.974188e+05	-5.455627e+05	
-8.418734e+04	6.005578e+05	-9.397736e+04	6.078663e+05	-8.893719e+00	5.236789e+05	-6.920536e+05	-6.104052e+05	
-9.182729e+04	6.917409e+05	-1.509076e+05	7.080103e+05	-1.230662e+01	6.161830e+05	-7.998376e+05	-6.809927e+05	
-1.004395e+05	7.933731e+05	-2.136790e+05	8.216445e+05	-1.507378e+01	7.212050e+05	-9.220840e+05	-7.585698e+05	
-1.102888e+05	9.046342e+05	-2.821879e+05	9.476249e+05	-1.732458e+01	8.373361e+05	-1.057914e+06	-8.427936e+05	
-1.215732e+05	1.022450e+06	-3.558667e+05	1.082611e+06	-1.919060e+01	9.610375e+05	-1.204184e+06	-9.316977e+05	
-1.338915e+05	1.147218e+06	-4.294862e+05	1.224976e+06	-2.052450e+01	1.091085e+06	-1.358868e+06	-1.026533e+06	
-1.472795e+05	1.274899e+06	-5.002818e+05	1.369543e+06	-2.142550e+01	1.222264e+06	-1.516823e+06	-1.124742e+06	
-1.619857e+05	1.403609e+06	-5.664330e+05	1.513593e+06	-2.197678e+01	1.351607e+06	-1.675579e+06	-1.225725e+06	
-1.783314e+05	1.533203e+06	-6.274775e+05	1.656635e+06	-2.225730e+01	1.478304e+06	-1.834966e+06	-1.330346e+06	
-1.968762e+05	1.658764e+06	-6.854848e+05	1.794822e+06	-2.245289e+01	1.597946e+06	-1.991698e+06	-1.435378e+06	
-2.175347e+05	1.778247e+06	-7.389128e+05	1.925657e+06	-2.256430e+01	1.708122e+06	-2.143191e+06	-1.539963e+06	
-2.393686e+05	1.887663e+06	-7.819670e+05	2.043219e+06	-2.250186e+01	1.803850e+06	-2.282588e+06	-1.641427e+06	
-2.614285e+05	1.983173e+06	-8.087750e+05	2.141750e+06	-2.218656e+01	1.880322e+06	-2.403179e+06	-1.737398e+06	
-2.833794e+05	2.064584e+06	-8.167334e+05	2.220261e+06	-2.158338e+01	1.936882e+06	-2.503641e+06	-1.828715e+06	
-3.069784e+05	2.127172e+06	-8.173913e+05	2.278813e+06	-2.101987e+01	1.971835e+06	-2.585792e+06	-1.912000e+06	
-3.346939e+05	2.168583e+06	-8.268940e+05	2.320884e+06	-2.087217e+01	1.986190e+06	-2.655578e+06	-1.985257e+06	
-3.686792e+05	2.188234e+06	-8.605816e+05	2.351376e+06	-2.146857e+01	1.982697e+06	-2.720055e+06	-2.047146e+06	
-4.084116e+05	2.185624e+06	-9.203988e+05	2.371515e+06	-2.283669e+01	1.963104e+06	-2.779927e+06	-2.096096e+06	
-4.524943e+05	2.165816e+06	-1.002240e+06	2.386471e+06	-2.483254e+01	1.933977e+06	-2.838965e+06	-2.134942e+06	
-4.994743e+05	2.132909e+06	-1.101644e+06	2.400608e+06	-2.731630e+01	1.901134e+06	-2.900083e+06	-2.165305e+06	
-5.482558e+05	2.089054e+06	-1.213821e+06	2.416093e+06	-3.015825e+01	1.867837e+06	-2.964349e+06	-2.187233e+06	
-6.004958e+05	2.037623e+06	-1.347968e+06	2.443138e+06	-3.348621e+01	1.842643e+06	-3.043634e+06	-2.201989e+06	
-6.563570e+05	1.977765e+06	-1.505979e+06	2.485866e+06	-3.728765e+01	1.829509e+06	-3.142223e+06	-2.207696e+06	
-7.147771e+05	1.911208e+06	-1.681327e+06	2.545501e+06	-4.133872e+01	1.830724e+06	-3.260279e+06	-2.205881e+06	
-7.728006e+05	1.840017e+06	-1.857654e+06	2.614677e+06	-4.527330e+01	1.841877e+06	-3.387478e+06	-2.198533e+06	
-8.260300e+05	1.763573e+06	-2.011938e+06	2.675459e+06	-4.876369e+01	1.849429e+06	-3.501489e+06	-2.185443e+06	
-8.743767e+05	1.685790e+06	-2.144002e+06	2.727385e+06	-5.182268e+01	1.853009e+06	-3.601762e+06	-2.170071e+06	
-9.169021e+05	1.607942e+06	-2.249796e+06	2.765331e+06	-5.444641e+01	1.848429e+06	-3.682233e+06	-2.153659e+06	
-9.526498e+05	1.530411e+06	-2.324821e+06	2.783334e+06	-5.664343e+01	1.830684e+06	-3.735984e+06	-2.136956e+06	
-9.824948e+05	1.457045e+06	-2.374101e+06	2.785558e+06	-5.846155e+01	1.803063e+06	-3.768053e+06	-2.121953e+06	
-1.008614e+06	1.388897e+06	-2.411024e+06	2.782458e+06	-6.005546e+01	1.773844e+06	-3.791073e+06	-2.107147e+06	
-1.033761e+06	1.328553e+06	-2.450534e+06	2.787503e+06	-6.153577e+01	1.753742e+06	-3.821264e+06	-2.092512e+06	
-1.058957e+06	1.276898e+06	-2.497884e+06	2.805333e+06	-6.292427e+01	1.746376e+06	-3.864290e+06	-2.077906e+06	
-1.082283e+06	1.229431e+06	-2.541785e+06	2.823503e+06	-6.418752e+01	1.741220e+06	-3.905786e+06	-2.061572e+06	
-1.102095e+06	1.184052e+06	-2.571024e+06	2.830573e+06	-6.527220e+01	1.728478e+06	-3.932667e+06	-2.044085e+06	
-1.117093e+06	1.140423e+06	-2.578627e+06	2.819553e+06	-6.614214e+01	1.702460e+06	-3.936646e+06	-2.025796e+06	
-1.127535e+06	1.103854e+06	-2.566329e+06	2.793661e+06	-6.672605e+01	1.666126e+06	-3.921196e+06	-2.009592e+06	
-1.133410e+06	1.081767e+06	-2.533312e+06	2.754612e+06	-6.687672e+01	1.621203e+06	-3.888022e+06	-1.999736e+06	
-1.130377e+06	1.075921e+06	-2.454998e+06	2.680414e+06	-6.633423e+01	1.550037e+06	-3.810792e+06	-1.996880e+06	
-1.126761e+06	1.082537e+06	-2.375848e+06	2.610850e+06	-6.550401e+01	1.484089e+06	-3.737611e+06	-1.999490e+06	
-1.124854e+06	1.095924e+06	-2.306748e+06	2.553847e+06	-6.458787e+01	1.428993e+06	-3.678701e+06	-2.004620e+06	
-1.126474e+06	1.108994e+06	-2.255793e+06	2.513656e+06	-6.382034e+01	1.387182e+06	-3.640131e+06	-2.008590e+06	
-1.132115e+06	1.116468e+06	-2.222668e+06	2.487319e+06	-6.332920e+01	1.355204e+06	-3.619433e+06	-2.009482e+06	
-1.141351e+06	1.111274e+06	-2.204397e+06	2.468663e+06	-6.324659e+01	1.327312e+06	-3.610014e+06	-2.003742e+06	
-1.153171e+06	1.087655e+06	-2.194570e+06	2.449312e+06	-6.363646e+01	1.296141e+06	-3.602484e+06	-1.988797e+06	
-1.166223e+06	1.043630e+06	-2.185504e+06	2.421899e+06	-6.447444e+01	1.255676e+06	-3.588122e+06	-1.963359e+06	
-1.178592e+06	9.776514e+05	-2.168275e+06	2.378491e+06	-6.572993e+01	1.199899e+06	-3.557083e+06	-1.925461e+06	
-1.188037e+06	8.917685e+05	-2.131504e+06	2.310533e+06	-6.729680e+01	1.122495e+06	-3.498570e+06	-1.875656e+06	
-1.192402e+06	7.924468e+05	-2.065348e+06	2.212156e+06	-6.900887e+01	1.019753e+06	-3.404558e+06	-1.818834e+06	
-1.184758e+06	6.883223e+05	-1.932714e+06	2.051626e+06	-7.039703e+01	8.668678e+05	-3.236384e+06	-1.762305e+06	
-1.166319e+06	5.890184e+05	-1.741520e+06	1.838433e+06	-7.131341e+01	6.721137e+05	-3.004752e+06	-1.713958e+06	
-1.140678e+06	4.980296e+05	-1.513449e+06	1.593286e+06	-7.178523e+01	4.526080e+05	-2.733964e+06	-1.674906e+06	
-1.109833e+06	4.153242e+05	-1.258999e+06	1.325735e+06	-7.174311e+01	2.159019e+05	-2.435569e+06	-1.642693e+06	
-1.075725e+06	3.403604e+05	-9.886173e+05	1.045567e+06	-7.100251e+01	-3.015802e+04	-2.121291e+06	-1.614416e+06	
-1.039079e+06	2.719882e+05	-7.073037e+05	7.577969e+05	-6.896616e+01	-2.812826e+05	-1.796876e+06	-1.587828e+06	
-9.996441e+05	2.096590e+05	-4.137118e+05	4.638042e+05	-6.312525e+01	-5.358399e+05	-1.463448e+06	-1.562859e+06	
-9.569995e+05	1.506579e+05	-1.070216e+05	1.848010e+05	-3.538854e+01	-7.721985e+05	-1.141801e+06	-1.537854e+06	
-9.096152e+05	9.073702e+04	2.207293e+05	2.386517e+05	6.765353e+01	-6.709635e+05	-1.148267e+06	-1.511378e+06	
-8.538736e+05	2.209475e+04	5.894141e+05	5.898281e+05	8.785325e+01	-2.640455e+05	-1.443702e+06	-1.481254e+06	
-7.855110e+05	-6.581333e+04	1.020424e+06	1.022544e+06	-8.630979e+01	2.370328e+05	-1.808055e+06	-1.443442e+06	
-7.076953e+05	-8.917736e+04	1.495206e+06	1.497863e+06	-8.658683e+01	7.901679e+05	-2.205558e+06	-1.410193e+06	
-6.107261e+05	-2.145365e+05	2.065889e+06	2.076998e+06	-8.407128e+01	1.466272e+06	-2.687724e+06	-1.360045e+06	
-5.024195e+05	-3.515462e+05	2.685855e+06	2.708764e+06	-8.254309e+01	2.206344e+06	-3.211183e+06	-1.306986e+06	
-3.864972e+05	-4.945485e+05	3.333625e+06	3.370109e+06	-8.156166e+01	2.983612e+06	-3.756606e+06	-1.252607e+06	
-2.638288e+05	-6.419033e+05	4.003455e+06	4.054589e+06	-8.089091e+01	3.790761e+06	-4.318418e+06	-1.207212e+06	
-1.689703e+05	-5.383957e+05	4.607862e+06	4.639209e+06	-8.333565e+01	4.470238e+06	-4.808179e+06	-1.143934e+06	
-8.573760e+04	-4.269034e+05	5.152337e+06	5.169992e+06	-8.526354e+01	5.084255e+06	-5.255730e+06	-1.075868e+06	
-4.911309e+04	-3.763294e+05	5.398720e+06	5.411821e+06	-8.601256e+01	5.362708e+06	-5.460934e+06	-1.002077e+06	
-5.936703e+04	-3.905783e+05	5.343987e+06	5.358241e+06	-8.581986e+01	5.298874e+06	-5.417608e+06	-9.222884e+05	
-6.889389e+04	-4.075966e+05	5.274405e+06	5.290130e+06	-8.558110e+01	5.221236e+06	-5.359024e+06	-8.358906e+05	
-7.740257e+04	-4.238296e+05	5.188517e+06	5.205799e+06	-8.533013e+01	5.128396e+06	-5.283201e+06	-7.449099e+05	
