Pct	FAxFem(N)	FAP(N)	FDV(N)	HipTorqAP(Nm)	HipTorqDV(Nm)	FemTorsion(Nm)	TKFlex(Nm)	FAxTib(N)	FMLTib(N)	TAnkFlex(Nm)	TibTorsion(Nm)	Rhip(m)	Rknee(m)	Rankle(m)	Fem-GRFang(deg)	Tib-GRFang(deg)	
0.000000e+00	-1.699151e-02	-2.197131e-02	-2.232447e-02	-4.479155e-04	9.765399e-05	-4.622242e-04	1.783450e-04	-2.572281e-02	1.119958e-02	1.116284e-04	6.138988e-05	2.740418e-03	5.004812e-03	3.132576e-03	1.184783e+02	1.362072e+02	
1.000000e+00	-1.964391e-02	-2.535462e-02	-2.715321e-02	-4.995815e-04	1.098708e-04	-5.487456e-04	2.231560e-04	-3.057569e-02	1.372251e-02	1.245440e-04	7.328600e-05	2.614463e-03	5.310172e-03	2.963623e-03	1.178684e+02	1.366833e+02	
2.000000e+00	-2.240439e-02	-2.872110e-02	-3.243634e-02	-5.467900e-04	1.197692e-04	-6.380877e-04	2.764615e-04	-3.568627e-02	1.675003e-02	1.367498e-04	8.806079e-05	2.455558e-03	5.668129e-03	2.803701e-03	1.173448e+02	1.370253e+02	
3.000000e+00	-2.527529e-02	-3.198947e-02	-3.812711e-02	-5.886760e-04	1.263561e-04	-7.280809e-04	3.390643e-04	-4.097057e-02	2.034524e-02	1.483501e-04	1.062352e-04	2.263645e-03	6.074272e-03	2.657665e-03	1.169236e+02	1.372212e+02	
4.000000e+00	-2.828349e-02	-3.506228e-02	-4.417121e-02	-6.245418e-04	1.283356e-04	-8.162724e-04	4.119149e-04	-4.633555e-02	2.457781e-02	1.596430e-04	1.283156e-04	2.034151e-03	6.528949e-03	2.530380e-03	1.166347e+02	1.372591e+02	
5.000000e+00	-3.145567e-02	-3.783693e-02	-5.051311e-02	-6.539221e-04	1.246070e-04	-9.002160e-04	4.956551e-04	-5.168130e-02	2.949706e-02	1.710303e-04	1.546813e-04	1.767046e-03	7.028861e-03	2.425372e-03	1.164919e+02	1.371293e+02	
6.000000e+00	-3.478559e-02	-4.022300e-02	-5.711939e-02	-6.765818e-04	1.150300e-04	-9.779651e-04	5.900747e-04	-5.692594e-02	3.510127e-02	1.828678e-04	1.854642e-04	1.473951e-03	7.560990e-03	2.343198e-03	1.164700e+02	1.368384e+02	
7.000000e+00	-3.824498e-02	-4.213030e-02	-6.397286e-02	-6.922948e-04	9.996910e-05	-1.047885e-03	6.944581e-04	-6.200786e-02	4.135494e-02	1.954580e-04	2.206114e-04	1.167640e-03	8.111275e-03	2.282950e-03	1.165323e+02	1.364067e+02	
8.000000e+00	-4.180081e-02	-4.345959e-02	-7.105735e-02	-7.008201e-04	7.974481e-05	-1.108417e-03	8.079689e-04	-6.687690e-02	4.820720e-02	2.090851e-04	2.599430e-04	8.556827e-04	8.669718e-03	2.243537e-03	1.166497e+02	1.358573e+02	
9.000000e+00	-4.539104e-02	-4.412043e-02	-7.836772e-02	-7.019958e-04	5.510224e-05	-1.158437e-03	9.293069e-04	-7.151007e-02	5.557118e-02	2.238821e-04	3.030699e-04	5.469772e-04	9.224846e-03	2.222385e-03	1.167808e+02	1.352228e+02	
1.000000e+01	-4.892547e-02	-4.405765e-02	-8.590573e-02	-6.960198e-04	2.718008e-05	-1.197630e-03	1.056773e-03	-7.591784e-02	6.332438e-02	2.397537e-04	3.493561e-04	2.511236e-04	9.763790e-03	2.215145e-03	1.168743e+02	1.345414e+02	
1.100000e+01	-5.237765e-02	-4.328015e-02	-9.361555e-02	-6.843064e-04	-3.991660e-06	-1.226372e-03	1.189350e-03	-8.009129e-02	7.136298e-02	2.566527e-04	3.979849e-04	-3.450786e-05	1.028192e-02	2.218760e-03	1.169238e+02	1.338195e+02	
1.200000e+01	-5.576311e-02	-4.183302e-02	-1.014200e-01	-6.687632e-04	-3.879588e-05	-1.245428e-03	1.326285e-03	-8.402712e-02	7.959263e-02	2.746003e-04	4.481051e-04	-3.152414e-04	1.077691e-02	2.231303e-03	1.169435e+02	1.330608e+02	
1.300000e+01	-5.909076e-02	-3.979629e-02	-1.092628e-01	-6.513040e-04	-7.695858e-05	-1.256135e-03	1.466433e-03	-8.776943e-02	8.790114e-02	2.935021e-04	4.988008e-04	-5.900055e-04	1.124246e-02	2.250143e-03	1.169377e+02	1.322903e+02	
1.400000e+01	-6.235407e-02	-3.728823e-02	-1.171089e-01	-6.336840e-04	-1.174847e-04	-1.260396e-03	1.608201e-03	-9.141076e-02	9.615923e-02	3.130908e-04	5.490893e-04	-8.524821e-04	1.166928e-02	2.271821e-03	1.169009e+02	1.315511e+02	
1.500000e+01	-6.554089e-02	-3.440002e-02	-1.249419e-01	-6.167500e-04	-1.597899e-04	-1.259591e-03	1.750650e-03	-9.503876e-02	1.042772e-01	3.330443e-04	5.982504e-04	-1.100314e-03	1.205498e-02	2.293345e-03	1.168281e+02	1.308770e+02	
1.600000e+01	-6.861970e-02	-3.115090e-02	-1.327658e-01	-6.001867e-04	-2.040218e-04	-1.253864e-03	1.893901e-03	-9.870733e-02	1.122154e-01	3.529984e-04	6.458602e-04	-1.336425e-03	1.240581e-02	2.312281e-03	1.167108e+02	1.302837e+02	
1.700000e+01	-7.152772e-02	-2.754340e-02	-1.405874e-01	-5.833857e-04	-2.499070e-04	-1.242875e-03	2.037842e-03	-1.024767e-01	1.199148e-01	3.724500e-04	6.913076e-04	-1.560710e-03	1.272665e-02	2.326011e-03	1.165323e+02	1.297906e+02	
1.800000e+01	-7.417405e-02	-2.358362e-02	-1.484027e-01	-5.656169e-04	-2.967665e-04	-1.226007e-03	2.182047e-03	-1.064038e-01	1.272926e-01	3.907439e-04	7.337299e-04	-1.770948e-03	1.302132e-02	2.331757e-03	1.162720e+02	1.294173e+02	
1.900000e+01	-7.647563e-02	-1.927106e-02	-1.561767e-01	-5.462512e-04	-3.437975e-04	-1.202175e-03	2.325823e-03	-1.105135e-01	1.342626e-01	4.073939e-04	7.722415e-04	-1.965004e-03	1.329344e-02	2.328495e-03	1.159192e+02	1.291720e+02	
2.000000e+01	-7.836069e-02	-1.461903e-02	-1.638377e-01	-5.253490e-04	-3.884401e-04	-1.170875e-03	2.465950e-03	-1.148365e-01	1.406974e-01	4.225477e-04	8.064387e-04	-2.131941e-03	1.353429e-02	2.319140e-03	1.154727e+02	1.290706e+02	
2.100000e+01	-7.974672e-02	-9.679413e-03	-1.712974e-01	-5.031419e-04	-4.272917e-04	-1.132621e-03	2.597719e-03	-1.194141e-01	1.464329e-01	4.363972e-04	8.361043e-04	-2.258432e-03	1.373013e-02	2.306559e-03	1.149292e+02	1.291357e+02	
2.200000e+01	-8.055782e-02	-4.549636e-03	-1.784539e-01	-4.798644e-04	-4.572956e-04	-1.088835e-03	2.716180e-03	-1.242756e-01	1.512975e-01	4.489519e-04	8.610631e-04	-2.334963e-03	1.386888e-02	2.292360e-03	1.142885e+02	1.293870e+02	
2.300000e+01	-8.076400e-02	6.668780e-04	-1.851964e-01	-4.558377e-04	-4.763417e-04	-1.041329e-03	2.816692e-03	-1.294245e-01	1.551446e-01	4.603226e-04	8.814209e-04	-2.357636e-03	1.394112e-02	2.278351e-03	1.135619e+02	1.298353e+02	
2.400000e+01	-8.033829e-02	5.907942e-03	-1.914389e-01	-4.309508e-04	-4.834639e-04	-9.913639e-04	2.896271e-03	-1.348408e-01	1.578640e-01	4.704289e-04	8.973248e-04	-2.327738e-03	1.394470e-02	2.264978e-03	1.127559e+02	1.304828e+02	
2.500000e+01	-7.919470e-02	1.115792e-02	-1.971499e-01	-4.043241e-04	-4.784906e-04	-9.391222e-04	2.954644e-03	-1.404902e-01	1.593813e-01	4.786324e-04	9.085768e-04	-2.249029e-03	1.388759e-02	2.249696e-03	1.118536e+02	1.313259e+02	
2.600000e+01	-7.724907e-02	1.640094e-02	-2.023198e-01	-3.752046e-04	-4.613885e-04	-8.847239e-04	2.992333e-03	-1.463343e-01	1.596464e-01	4.843210e-04	9.150265e-04	-2.124395e-03	1.377775e-02	2.229984e-03	1.108353e+02	1.323591e+02	
2.700000e+01	-7.445056e-02	2.163346e-02	-2.069470e-01	-3.431172e-04	-4.325159e-04	-8.280699e-04	3.010596e-03	-1.523156e-01	1.586503e-01	4.871677e-04	9.167599e-04	-1.957147e-03	1.362303e-02	2.204447e-03	1.096876e+02	1.335694e+02	
