KneeAng	AnkAng	MPAng	DotMPAng	Yaw	  Pitch	FemTVAng	FemHZAng	FemHZAngP	TibPSAng	TibPSAngYaw	TibHZAng	TibHZAngP	
1.178153e+02	1.108232e+02	1.219504e+02	1.219504e+02	2.074757e+01	1.103534e+02	5.340235e+01	1.275456e+01	4.544555e+01	-1.770579e+02	-4.470579e+02	-4.471849e+01	6.539437e+01	
1.189671e+02	1.113691e+02	1.205932e+02	1.205932e+02	2.024946e+01	1.107371e+02	5.228965e+01	1.262373e+01	4.567413e+01	-1.771820e+02	-4.471820e+02	-4.369168e+01	6.681660e+01	
1.200370e+02	1.119234e+02	1.193856e+02	1.193856e+02	1.986755e+01	1.111514e+02	5.126676e+01	1.253511e+01	4.586828e+01	-1.773477e+02	-4.473477e+02	-4.271702e+01	6.822327e+01	
1.210297e+02	1.124582e+02	1.184419e+02	1.184419e+02	1.963905e+01	1.115404e+02	5.037699e+01	1.249233e+01	4.606000e+01	-1.775445e+02	-4.475445e+02	-4.178986e+01	6.956166e+01	
1.219507e+02	1.129610e+02	1.178577e+02	1.178577e+02	1.960053e+01	1.118461e+02	4.966308e+01	1.249870e+01	4.628572e+01	-1.777621e+02	-4.477621e+02	-4.090448e+01	7.077794e+01	
1.228070e+02	1.134403e+02	1.176848e+02	1.176848e+02	1.977469e+01	1.120268e+02	4.915613e+01	1.255511e+01	4.657254e+01	-1.779960e+02	-4.479960e+02	-4.005170e+01	7.183845e+01	
1.236078e+02	1.139390e+02	1.178671e+02	1.178671e+02	2.012991e+01	1.121106e+02	4.884046e+01	1.265369e+01	4.689538e+01	-1.782646e+02	-4.482646e+02	-3.921142e+01	7.279262e+01	
1.243633e+02	1.145018e+02	1.183322e+02	1.183322e+02	2.062143e+01	1.121442e+02	4.868760e+01	1.278479e+01	4.721478e+01	-1.785932e+02	-4.485932e+02	-3.836016e+01	7.371120e+01	
1.250844e+02	1.151672e+02	1.190171e+02	1.190171e+02	2.120476e+01	1.121754e+02	4.866738e+01	1.293937e+01	4.749039e+01	-1.790084e+02	-4.490084e+02	-3.747328e+01	7.466423e+01	
1.257854e+02	1.159611e+02	1.198685e+02	1.198685e+02	2.183848e+01	1.122482e+02	4.874735e+01	1.310722e+01	4.768718e+01	-1.795346e+02	-4.495346e+02	-3.652615e+01	7.571323e+01	
1.264997e+02	1.168632e+02	1.208492e+02	1.208492e+02	2.250141e+01	1.123827e+02	4.889104e+01	1.326673e+01	4.780986e+01	1.722630e-01	-1.798523e+01	-3.550395e+01	7.687740e+01	
1.272676e+02	1.178393e+02	1.219237e+02	1.219237e+02	2.318056e+01	1.125888e+02	4.905988e+01	1.339131e+01	4.787934e+01	9.110562e-01	-1.806673e+01	-3.439692e+01	7.815234e+01	
1.281281e+02	1.188601e+02	1.230542e+02	1.230542e+02	2.386291e+01	1.128767e+02	4.921421e+01	1.345383e+01	4.791677e+01	1.738781e+00	-1.809258e+01	-3.319683e+01	7.951895e+01	
1.291152e+02	1.199071e+02	1.242004e+02	1.242004e+02	2.453269e+01	1.132555e+02	4.931204e+01	1.342804e+01	4.794264e+01	2.639107e+00	-1.806488e+01	-3.190072e+01	8.092761e+01	
1.302190e+02	1.210136e+02	1.252983e+02	1.252983e+02	2.514207e+01	1.137230e+02	4.929804e+01	1.330649e+01	4.796527e+01	3.570833e+00	-1.797277e+01	-3.054528e+01	8.224536e+01	
