StressAxial	StressAP	StressDV	NetBendFemMag	NetBendFemAng	PeakTensStress	PeakCompStress	FemShear	
-1.540287e+03	3.460132e+05	2.340408e+05	4.177322e+05	3.407414e+01	4.161919e+05	-4.192725e+05	-3.325294e+05	
-2.192203e+03	4.221651e+05	2.272833e+05	4.794592e+05	2.829694e+01	4.772669e+05	-4.816514e+05	-3.933782e+05	
-2.841201e+03	5.056485e+05	2.174147e+05	5.504085e+05	2.326636e+01	5.475673e+05	-5.532497e+05	-4.615177e+05	
-3.328688e+03	5.964022e+05	2.047494e+05	6.305695e+05	1.894774e+01	6.272408e+05	-6.338982e+05	-5.353394e+05	
-3.560592e+03	6.979977e+05	1.909550e+05	7.236468e+05	1.530035e+01	7.200862e+05	-7.272074e+05	-6.175835e+05	
-3.461279e+03	8.140168e+05	1.764110e+05	8.329130e+05	1.222786e+01	8.294518e+05	-8.363743e+05	-7.105667e+05	
-3.038605e+03	9.486917e+05	1.629034e+05	9.625765e+05	9.743452e+00	9.595379e+05	-9.656151e+05	-8.179332e+05	
-2.346989e+03	1.100924e+06	1.493952e+05	1.111014e+06	7.727826e+00	1.108667e+06	-1.113361e+06	-9.385244e+05	
-1.414484e+03	1.270280e+06	1.354773e+05	1.277484e+06	6.087672e+00	1.276070e+06	-1.278899e+06	-1.071755e+06	
-3.295790e+02	1.452581e+06	1.199802e+05	1.457528e+06	4.721795e+00	1.457198e+06	-1.457857e+06	-1.213616e+06	
-8.381827e+02	1.647086e+06	1.048150e+05	1.650418e+06	3.641202e+00	1.649580e+06	-1.651256e+06	-1.363875e+06	
-2.055169e+03	1.849414e+06	9.257152e+04	1.851729e+06	2.865522e+00	1.849674e+06	-1.853784e+06	-1.519588e+06	
-3.323004e+03	2.053792e+06	8.873526e+04	2.055708e+06	2.473959e+00	2.052385e+06	-2.059031e+06	-1.677721e+06	
-4.588142e+03	2.251569e+06	9.610362e+04	2.253619e+06	2.444070e+00	2.249031e+06	-2.258208e+06	-1.832555e+06	
