FQuads	FAdd	FRet	Faext	QuadsBMom	AddBMom	RetBMom	
0.000000e+00	0.000000e+00	0.000000e+00	-1.940849e-01	0.000000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	0.000000e+00	-2.008865e-01	0.000000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	0.000000e+00	-2.076196e-01	0.000000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	-8.216662e-03	0.000000e+00	-2.135946e-01	0.000000e+00	-0.000000e+00	0.000000e+00	
0.000000e+00	-2.119983e-02	0.000000e+00	-2.181815e-01	0.000000e+00	-0.000000e+00	0.000000e+00	
1.207791e-02	-3.704587e-02	0.000000e+00	-2.207811e-01	1.650436e-05	-0.000000e+00	0.000000e+00	
4.100206e-02	-5.586181e-02	0.000000e+00	-2.209180e-01	5.602896e-05	-0.000000e+00	0.000000e+00	
7.198394e-02	-7.750178e-02	0.000000e+00	-2.183740e-01	9.836542e-05	-0.000000e+00	0.000000e+00	
1.036469e-01	-1.017492e-01	0.000000e+00	-2.130877e-01	1.416325e-04	-0.000000e+00	0.000000e+00	
1.344171e-01	-1.282005e-01	0.000000e+00	-2.051880e-01	1.836797e-04	-0.000000e+00	0.000000e+00	
1.631544e-01	-1.559058e-01	0.000000e+00	-1.951774e-01	2.229490e-04	-0.000000e+00	0.000000e+00	
1.885879e-01	-1.838376e-01	0.000000e+00	-1.836983e-01	2.577037e-04	-0.000000e+00	0.000000e+00	
2.091935e-01	-2.111641e-01	0.000000e+00	-1.713908e-01	2.858610e-04	-0.000000e+00	0.000000e+00	
2.238295e-01	-2.370857e-01	0.000000e+00	-1.589105e-01	3.058611e-04	-0.000000e+00	0.000000e+00	
2.326775e-01	-2.609431e-01	0.000000e+00	-1.461684e-01	3.179518e-04	-0.000000e+00	0.000000e+00	
2.365116e-01	-2.824425e-01	0.000000e+00	-1.326783e-01	3.231911e-04	-0.000000e+00	0.000000e+00	
2.364615e-01	-3.015011e-01	0.000000e+00	-1.178814e-01	3.231225e-04	-0.000000e+00	0.000000e+00	
2.337794e-01	-3.181253e-01	0.000000e+00	-1.015010e-01	3.194574e-04	-0.000000e+00	0.000000e+00	
2.290468e-01	-3.324944e-01	0.000000e+00	-8.405547e-02	3.129904e-04	-0.000000e+00	0.000000e+00	
2.226590e-01	-3.449016e-01	0.000000e+00	-6.620333e-02	3.042615e-04	-0.000000e+00	0.000000e+00	
2.150307e-01	-3.555726e-01	0.000000e+00	-4.867599e-02	2.938375e-04	-0.000000e+00	0.000000e+00	
2.065365e-01	-3.648148e-01	0.000000e+00	-3.198047e-02	2.822303e-04	-0.000000e+00	0.000000e+00	
1.975968e-01	-3.731860e-01	0.000000e+00	-1.584319e-02	2.700142e-04	-0.000000e+00	0.000000e+00	
1.885045e-01	-3.811304e-01	0.000000e+00	0.000000e+00	2.575897e-04	-0.000000e+00	0.000000e+00	
1.673598e-01	-3.889949e-01	0.000000e+00	0.000000e+00	2.286957e-04	-0.000000e+00	0.000000e+00	
1.459543e-01	-3.971884e-01	0.000000e+00	0.000000e+00	1.994453e-04	-0.000000e+00	0.000000e+00	
1.238744e-01	-4.060000e-01	7.080633e-03	0.000000e+00	1.692732e-04	-0.000000e+00	1.309276e-05	
1.008170e-01	-4.155511e-01	1.819120e-02	0.000000e+00	1.377656e-04	-0.000000e+00	3.363725e-05	
7.636247e-02	-4.259962e-01	3.080990e-02	0.000000e+00	1.043486e-04	-0.000000e+00	5.697042e-05	
5.018852e-02	-4.373787e-01	4.519373e-02	0.000000e+00	6.858217e-05	-0.000000e+00	8.356748e-05	
2.245997e-02	-4.493524e-01	6.097923e-02	0.000000e+00	3.069135e-05	-0.000000e+00	1.127564e-04	
0.000000e+00	-4.615343e-01	7.691735e-02	0.000000e+00	0.000000e+00	-0.000000e+00	1.422275e-04	
0.000000e+00	-4.735927e-01	9.059958e-02	0.000000e+00	0.000000e+00	-0.000000e+00	1.675272e-04	
0.000000e+00	-4.850831e-01	1.041248e-01	0.000000e+00	0.000000e+00	-0.000000e+00	1.925367e-04	
0.000000e+00	-4.955536e-01	1.169364e-01	0.000000e+00	0.000000e+00	-0.000000e+00	2.162265e-04	
0.000000e+00	-5.046461e-01	1.284194e-01	0.000000e+00	0.000000e+00	-0.000000e+00	2.374595e-04	
0.000000e+00	-5.119628e-01	1.379396e-01	0.000000e+00	0.000000e+00	-0.000000e+00	2.550634e-04	
0.000000e+00	-5.192902e-01	1.407317e-01	0.000000e+00	0.000000e+00	-0.000000e+00	2.602263e-04	
0.000000e+00	-5.224523e-01	1.454090e-01	0.000000e+00	0.000000e+00	-0.000000e+00	2.688750e-04	
0.000000e+00	-5.237022e-01	1.482456e-01	0.000000e+00	0.000000e+00	-0.000000e+00	2.741202e-04	
0.000000e+00	-5.231936e-01	1.497027e-01	0.000000e+00	0.000000e+00	-0.000000e+00	2.768144e-04	
0.000000e+00	-5.211945e-01	1.502868e-01	0.000000e+00	0.000000e+00	-0.000000e+00	2.778945e-04	
0.000000e+00	-5.179327e-01	1.504672e-01	0.000000e+00	0.000000e+00	-0.000000e+00	2.782280e-04	
0.000000e+00	-5.135514e-01	1.507104e-01	0.000000e+00	0.000000e+00	-0.000000e+00	2.786777e-04	
0.000000e+00	-5.082737e-01	1.515328e-01	0.000000e+00	0.000000e+00	-0.000000e+00	2.801985e-04	
0.000000e+00	-5.024200e-01	1.533224e-01	0.000000e+00	0.000000e+00	-0.000000e+00	2.835075e-04	
0.000000e+00	-4.961565e-01	1.556995e-01	0.000000e+00	0.000000e+00	-0.000000e+00	2.879031e-04	
0.000000e+00	-4.895682e-01	1.580154e-01	-2.412913e-03	0.000000e+00	-0.000000e+00	2.921854e-04	
0.000000e+00	-4.828567e-01	1.595954e-01	-3.070924e-02	0.000000e+00	-0.000000e+00	2.951070e-04	
0.000000e+00	-4.762118e-01	1.598981e-01	-5.677298e-02	0.000000e+00	-0.000000e+00	2.956668e-04	
0.000000e+00	-4.698007e-01	1.589915e-01	-8.042146e-02	0.000000e+00	-0.000000e+00	2.939903e-04	
0.000000e+00	-4.639040e-01	1.571357e-01	-1.014416e-01	0.000000e+00	-0.000000e+00	2.905588e-04	
0.000000e+00	-4.588360e-01	1.546221e-01	-1.196447e-01	0.000000e+00	-0.000000e+00	2.859109e-04	
