FQuads	FAdd	FRet	Faext	QuadsBMom	AddBMom	RetBMom	
1.334298e-01	-2.360489e-02	0.000000e+00	-1.023310e-01	1.922272e-04	-0.000000e+00	0.000000e+00	
1.456949e-01	-1.722041e-02	0.000000e+00	-1.061282e-01	2.098971e-04	-0.000000e+00	0.000000e+00	
1.590005e-01	-1.087054e-02	0.000000e+00	-1.093493e-01	2.290659e-04	-0.000000e+00	0.000000e+00	
1.735005e-01	-4.528793e-03	0.000000e+00	-1.119083e-01	2.499555e-04	-0.000000e+00	0.000000e+00	
1.893315e-01	0.000000e+00	0.000000e+00	-1.137631e-01	2.727626e-04	0.000000e+00	0.000000e+00	
2.066908e-01	0.000000e+00	0.000000e+00	-1.149213e-01	2.977715e-04	0.000000e+00	0.000000e+00	
2.256463e-01	0.000000e+00	0.000000e+00	-1.154132e-01	3.250799e-04	0.000000e+00	0.000000e+00	
2.461255e-01	0.000000e+00	0.000000e+00	-1.152896e-01	3.545835e-04	0.000000e+00	0.000000e+00	
2.680760e-01	0.000000e+00	0.000000e+00	-1.146332e-01	3.862068e-04	0.000000e+00	0.000000e+00	
2.913779e-01	0.000000e+00	0.000000e+00	-1.135445e-01	4.197769e-04	0.000000e+00	0.000000e+00	
3.157878e-01	0.000000e+00	0.000000e+00	-1.122281e-01	4.549434e-04	0.000000e+00	0.000000e+00	
3.410284e-01	0.000000e+00	0.000000e+00	-1.109914e-01	4.913065e-04	0.000000e+00	0.000000e+00	
3.667863e-01	0.000000e+00	0.000000e+00	-1.101836e-01	5.284149e-04	0.000000e+00	0.000000e+00	
3.926135e-01	0.000000e+00	0.000000e+00	-1.101188e-01	5.656232e-04	0.000000e+00	0.000000e+00	
4.182243e-01	0.000000e+00	0.000000e+00	-1.107447e-01	6.025196e-04	0.000000e+00	0.000000e+00	
4.436676e-01	0.000000e+00	0.000000e+00	-1.116689e-01	6.391748e-04	0.000000e+00	0.000000e+00	
4.690541e-01	0.000000e+00	0.000000e+00	-1.124238e-01	6.757483e-04	0.000000e+00	0.000000e+00	
4.945652e-01	0.000000e+00	0.000000e+00	-1.124525e-01	7.125010e-04	0.000000e+00	0.000000e+00	
5.205724e-01	0.000000e+00	0.000000e+00	-1.113135e-01	7.499686e-04	0.000000e+00	0.000000e+00	
5.476120e-01	0.000000e+00	0.000000e+00	-1.087977e-01	7.889235e-04	0.000000e+00	0.000000e+00	
5.762746e-01	0.000000e+00	0.000000e+00	-1.046893e-01	8.302166e-04	0.000000e+00	0.000000e+00	
6.071887e-01	0.000000e+00	0.000000e+00	-9.880345e-02	8.747534e-04	0.000000e+00	0.000000e+00	
6.406131e-01	0.000000e+00	0.000000e+00	-9.119191e-02	9.229067e-04	0.000000e+00	0.000000e+00	
6.759038e-01	0.000000e+00	0.000000e+00	-8.225030e-02	9.737486e-04	0.000000e+00	0.000000e+00	
