Pct	FAxFem(N)	FAP(N)	FDV(N)	HipTorqAP(Nm)	HipTorqDV(Nm)	FemTorsion(Nm)	TKFlex(Nm)	FAxTib(N)	FMLTib(N)	TAnkFlex(Nm)	TibTorsion(Nm)	Rhip(m)	Rknee(m)	Rankle(m)	Fem-GRFang(deg)	Tib-GRFang(deg)	
0.000000e+00	-1.203160e-02	-1.904466e-02	-2.987080e-02	-3.544029e-04	3.506594e-04	-3.248204e-04	-3.981487e-05	-3.172913e-02	5.503307e-03	1.229572e-04	8.466474e-05	9.372693e-03	-1.064202e-03	3.286495e-03	1.087591e+02	1.480036e+02	
1.000000e+00	-1.149233e-02	-2.329115e-02	-3.000788e-02	-4.195367e-04	3.530241e-04	-3.799987e-04	-3.836326e-05	-3.166641e-02	5.457609e-03	1.376882e-04	9.832288e-05	8.895301e-03	-9.666559e-04	3.469390e-03	1.068327e+02	1.429312e+02	
2.000000e+00	-1.087079e-02	-2.773306e-02	-3.010289e-02	-4.850427e-04	3.543943e-04	-4.390437e-04	-3.697473e-05	-3.155050e-02	5.378086e-03	1.517021e-04	1.119656e-04	8.368320e-03	-8.730852e-04	3.582144e-03	1.048739e+02	1.381594e+02	
3.000000e+00	-1.020859e-02	-3.231401e-02	-3.022430e-02	-5.496018e-04	3.556753e-04	-5.013458e-04	-3.572885e-05	-3.146188e-02	5.279527e-03	1.646024e-04	1.252887e-04	7.832817e-03	-7.868344e-04	3.624936e-03	1.029922e+02	1.338574e+02	
4.000000e+00	-9.560019e-03	-3.696164e-02	-3.040774e-02	-6.118720e-04	3.570022e-04	-5.659255e-04	-3.427649e-05	-3.144804e-02	5.200521e-03	1.760602e-04	1.380405e-04	7.314470e-03	-7.022768e-04	3.607225e-03	1.012957e+02	1.301152e+02	
5.000000e+00	-8.988445e-03	-4.159118e-02	-3.067226e-02	-6.706307e-04	3.580889e-04	-6.315241e-04	-3.202483e-05	-3.153732e-02	5.193932e-03	1.858741e-04	1.500434e-04	6.826744e-03	-6.105335e-04	3.543574e-03	9.986689e+01	1.269588e+02	
6.000000e+00	-8.539165e-03	-4.614469e-02	-3.106475e-02	-7.253400e-04	3.592716e-04	-6.972611e-04	-2.871228e-05	-3.177926e-02	5.292842e-03	1.940518e-04	1.612233e-04	6.383817e-03	-5.101821e-04	3.448063e-03	9.872726e+01	1.243800e+02	
7.000000e+00	-8.274960e-03	-5.056473e-02	-3.161489e-02	-7.758256e-04	3.603420e-04	-7.621839e-04	-2.373276e-05	-3.220480e-02	5.552189e-03	2.008252e-04	1.716745e-04	5.985147e-03	-3.941922e-04	3.335631e-03	9.790000e+01	1.223378e+02	
8.000000e+00	-8.263793e-03	-5.478163e-02	-3.234755e-02	-8.219907e-04	3.608906e-04	-8.251915e-04	-1.635616e-05	-3.283657e-02	6.034429e-03	2.065498e-04	1.815743e-04	5.625416e-03	-2.549533e-04	3.219615e-03	9.740102e+01	1.207867e+02	
9.000000e+00	-8.527680e-03	-5.875417e-02	-3.330948e-02	-8.638608e-04	3.611839e-04	-8.857852e-04	-6.361858e-06	-3.371220e-02	6.762430e-03	2.114891e-04	1.910365e-04	5.305625e-03	-9.345275e-05	3.106677e-03	9.719625e+01	1.196841e+02	
1.000000e+01	-9.082303e-03	-6.245496e-02	-3.452858e-02	-9.015619e-04	3.611979e-04	-9.437082e-04	6.528701e-06	-3.485002e-02	7.758015e-03	2.159310e-04	2.002356e-04	5.020837e-03	9.075230e-05	3.001552e-03	9.725291e+01	1.189754e+02	
1.100000e+01	-9.948810e-03	-6.585994e-02	-3.601859e-02	-9.352859e-04	3.606296e-04	-9.987758e-04	2.270630e-05	-3.625503e-02	9.049335e-03	2.202268e-04	2.094276e-04	4.762536e-03	2.998633e-04	2.908353e-03	9.754971e+01	1.186064e+02	
1.200000e+01	-1.112603e-02	-6.896306e-02	-3.781183e-02	-9.651895e-04	3.596220e-04	-1.051133e-03	4.226554e-05	-3.795139e-02	1.064026e-02	2.245665e-04	2.187095e-04	4.527426e-03	5.320978e-04	2.827158e-03	9.805194e+01	1.185409e+02	
1.300000e+01	-1.262547e-02	-7.174014e-02	-3.992433e-02	-9.909132e-04	3.577718e-04	-1.100548e-03	6.560158e-05	-3.994992e-02	1.254425e-02	2.288894e-04	2.279136e-04	4.307066e-03	7.897501e-04	2.755504e-03	9.874247e+01	1.187469e+02	
1.400000e+01	-1.446019e-02	-7.415992e-02	-4.234837e-02	-1.011937e-03	3.542981e-04	-1.146540e-03	9.320218e-05	-4.224019e-02	1.477322e-02	2.330380e-04	2.367604e-04	4.090489e-03	1.076050e-03	2.690501e-03	9.961043e+01	1.191881e+02	
1.500000e+01	-1.660787e-02	-7.621844e-02	-4.509452e-02	-1.027907e-03	3.490663e-04	-1.189055e-03	1.250830e-04	-4.483229e-02	1.730327e-02	2.367274e-04	2.448644e-04	3.874072e-03	1.388219e-03	2.627292e-03	1.006216e+02	1.198391e+02	
1.600000e+01	-1.899471e-02	-7.790655e-02	-4.819177e-02	-1.038198e-03	3.427331e-04	-1.228312e-03	1.607521e-04	-4.774535e-02	2.009048e-02	2.397141e-04	2.522631e-04	3.663410e-03	1.718249e-03	2.562259e-03	1.017143e+02	1.206866e+02	
1.700000e+01	-2.150813e-02	-7.920381e-02	-5.168864e-02	-1.041915e-03	3.365340e-04	-1.264656e-03	1.993935e-04	-5.100666e-02	2.307892e-02	2.417590e-04	2.592746e-04	3.469688e-03	2.055761e-03	2.492552e-03	1.028119e+02	1.217277e+02	
1.800000e+01	-2.398753e-02	-8.011050e-02	-5.567695e-02	-1.038200e-03	3.326054e-04	-1.298950e-03	2.397240e-04	-5.468007e-02	2.618042e-02	2.424498e-04	2.661388e-04	3.310692e-03	2.386168e-03	2.413300e-03	1.038138e+02	1.229752e+02	
1.900000e+01	-2.628928e-02	-8.063279e-02	-6.023390e-02	-1.026532e-03	3.325982e-04	-1.331863e-03	2.808632e-04	-5.881087e-02	2.933480e-02	2.414120e-04	2.731483e-04	3.197336e-03	2.699996e-03	2.320744e-03	1.046388e+02	1.244274e+02	
2.000000e+01	-2.833580e-02	-8.078782e-02	-6.537653e-02	-1.007380e-03	3.370523e-04	-1.363267e-03	3.227067e-04	-6.338837e-02	3.254111e-02	2.384667e-04	2.806359e-04	3.128955e-03	2.995781e-03	2.213756e-03	1.052511e+02	1.260473e+02	
2.100000e+01	-3.003640e-02	-8.059163e-02	-7.113606e-02	-9.813486e-04	3.470584e-04	-1.392952e-03	3.649496e-04	-6.842059e-02	3.579311e-02	2.333294e-04	2.888287e-04	3.109471e-03	3.269768e-03	2.090516e-03	1.056114e+02	1.278078e+02	
2.200000e+01	-3.131393e-02	-8.003133e-02	-7.753277e-02	-9.490075e-04	3.636453e-04	-1.420332e-03	4.074316e-04	-7.391165e-02	3.910191e-02	2.257599e-04	2.979695e-04	3.141779e-03	3.520079e-03	1.950494e-03	1.056966e+02	1.296856e+02	
2.300000e+01	-3.215043e-02	-7.908025e-02	-8.455636e-02	-9.111638e-04	3.867469e-04	-1.445102e-03	4.504629e-04	-7.987544e-02	4.246579e-02	2.156788e-04	3.077707e-04	3.218746e-03	3.749029e-03	1.795012e-03	1.055201e+02	1.316649e+02	
2.400000e+01	-3.257093e-02	-7.772267e-02	-9.218075e-02	-8.688589e-04	4.154771e-04	-1.467568e-03	4.945996e-04	-8.635213e-02	4.584174e-02	2.031108e-04	3.173848e-04	3.326589e-03	3.960097e-03	1.626241e-03	1.051167e+02	1.337405e+02	
2.500000e+01	-3.263728e-02	-7.593483e-02	-1.003420e-01	-8.231672e-04	4.482921e-04	-1.487786e-03	5.405997e-04	-9.335699e-02	4.917508e-02	1.883004e-04	3.259432e-04	3.448420e-03	4.158482e-03	1.448473e-03	1.045401e+02	1.359007e+02	
