StressAxial	StressAP	StressDV	NetBendFemMag	NetBendFemAng	PeakTensStress	PeakCompStress	FemShear	
-2.801981e+05	-4.798462e+06	5.050285e+06	6.966392e+06	-4.646469e+01	6.686194e+06	-7.246590e+06	2.900000e+06	
-2.052719e+05	-4.538840e+06	5.393488e+06	7.049168e+06	-4.991804e+01	6.843896e+06	-7.254440e+06	2.923792e+06	
-1.310138e+05	-4.275633e+06	5.712694e+06	7.135538e+06	-5.318721e+01	7.004524e+06	-7.266552e+06	2.940751e+06	
-1.373725e+05	-4.113281e+06	5.520079e+06	6.884066e+06	-5.330842e+01	6.746693e+06	-7.021438e+06	2.944607e+06	
-1.430857e+05	-3.935467e+06	5.308161e+06	6.607910e+06	-5.344681e+01	6.464824e+06	-6.750996e+06	2.927322e+06	
-1.476659e+05	-3.738452e+06	5.075457e+06	6.303673e+06	-5.362561e+01	6.156007e+06	-6.451339e+06	2.882866e+06	
-1.508430e+05	-3.525518e+06	4.819711e+06	5.971507e+06	-5.381533e+01	5.820664e+06	-6.122350e+06	2.811670e+06	
-1.528512e+05	-3.296976e+06	4.539773e+06	5.610667e+06	-5.401127e+01	5.457816e+06	-5.763518e+06	2.702461e+06	
-1.532507e+05	-3.068040e+06	4.236302e+06	5.230595e+06	-5.408699e+01	5.077345e+06	-5.383846e+06	2.591969e+06	
-1.528599e+05	-2.830403e+06	3.914765e+06	4.830794e+06	-5.413282e+01	4.677934e+06	-4.983654e+06	2.467581e+06	
-1.522037e+05	-2.582126e+06	3.579785e+06	4.413869e+06	-5.419682e+01	4.261665e+06	-4.566072e+06	2.334155e+06	
-1.515810e+05	-2.321689e+06	3.240746e+06	3.986562e+06	-5.438199e+01	3.834981e+06	-4.138143e+06	2.195362e+06	
-1.508698e+05	-2.047902e+06	2.909506e+06	3.557967e+06	-5.485961e+01	3.407097e+06	-3.708837e+06	2.052516e+06	
-1.497641e+05	-1.761601e+06	2.596943e+06	3.138049e+06	-5.584955e+01	2.988285e+06	-3.287813e+06	1.904999e+06	
-1.476411e+05	-1.471568e+06	2.312251e+06	2.740806e+06	-5.752645e+01	2.593165e+06	-2.888447e+06	1.752961e+06	
-1.438837e+05	-1.195682e+06	2.057783e+06	2.379942e+06	-5.984115e+01	2.236059e+06	-2.523826e+06	1.602371e+06	
-1.380247e+05	-9.550455e+05	1.832951e+06	2.066838e+06	-6.247859e+01	1.928814e+06	-2.204863e+06	1.489677e+06	
-1.318383e+05	-7.388460e+05	1.629177e+06	1.788886e+06	-6.560532e+01	1.657048e+06	-1.920724e+06	1.371622e+06	
-1.244086e+05	-5.870284e+05	1.437876e+06	1.553091e+06	-6.779176e+01	1.428682e+06	-1.677499e+06	1.275476e+06	
-1.165885e+05	-5.001009e+05	1.255136e+06	1.351099e+06	-6.827554e+01	1.234510e+06	-1.467687e+06	1.207704e+06	
-1.088402e+05	-4.654486e+05	1.083321e+06	1.179079e+06	-6.674926e+01	1.070238e+06	-1.287919e+06	1.164192e+06	
-1.010978e+05	-4.697263e+05	9.289730e+05	1.040977e+06	-6.317702e+01	9.398795e+05	-1.142075e+06	1.134106e+06	
-9.296118e+04	-5.064918e+05	7.962665e+05	9.437024e+05	-5.754027e+01	8.507413e+05	-1.036664e+06	1.107748e+06	
-7.614307e+04	-7.115323e+05	6.901751e+05	9.912718e+05	-4.412709e+01	9.151288e+05	-1.067415e+06	1.141177e+06	
-6.556421e+04	-8.062076e+05	6.137463e+05	1.013240e+06	-3.728115e+01	9.476757e+05	-1.078804e+06	1.105142e+06	
