StressDVtot	StressDVm	StressDVexternal	StressDVFax	StressAPtot	StressAPm	StressAPexternal	StressAPFax	
5.172069e+06	-0.000000e+00	5.163735e+06	8.333164e+03	-3.604757e+05	1.596211e+06	-1.950422e+06	-6.264756e+03	
5.087076e+06	-0.000000e+00	5.078503e+06	8.572705e+03	-3.614522e+05	1.717166e+06	-2.072174e+06	-6.444839e+03	
5.001546e+06	-0.000000e+00	4.992822e+06	8.723176e+03	-3.597248e+05	1.852810e+06	-2.205977e+06	-6.557961e+03	
4.916429e+06	-0.000000e+00	4.907615e+06	8.814655e+03	-3.555583e+05	2.003960e+06	-2.352892e+06	-6.626734e+03	
4.832078e+06	-0.000000e+00	4.823204e+06	8.873976e+03	-3.493085e+05	2.173016e+06	-2.515654e+06	-6.671331e+03	
4.749274e+06	-0.000000e+00	4.740369e+06	8.904836e+03	-3.407770e+05	2.363381e+06	-2.697463e+06	-6.694531e+03	
4.667688e+06	-0.000000e+00	4.658749e+06	8.938661e+03	-3.301810e+05	2.577654e+06	-2.901115e+06	-6.719960e+03	
4.586140e+06	-0.000000e+00	4.577064e+06	9.075105e+03	-3.188054e+05	2.815591e+06	-3.127574e+06	-6.822537e+03	
4.503619e+06	-0.000000e+00	4.494205e+06	9.414642e+03	-3.077972e+05	3.076116e+06	-3.376836e+06	-7.077796e+03	
4.418457e+06	-0.000000e+00	4.408382e+06	1.007509e+04	-2.986128e+05	3.356624e+06	-3.647662e+06	-7.574314e+03	
4.327741e+06	-0.000000e+00	4.316561e+06	1.118032e+04	-2.932711e+05	3.651701e+06	-3.936567e+06	-8.405207e+03	
4.230221e+06	-0.000000e+00	4.217502e+06	1.271839e+04	-2.928202e+05	3.953612e+06	-4.236870e+06	-9.561505e+03	
4.127473e+06	-0.000000e+00	4.112852e+06	1.462056e+04	-2.981871e+05	4.252821e+06	-4.540016e+06	-1.099153e+04	
4.023345e+06	-0.000000e+00	4.006519e+06	1.682564e+04	-3.113891e+05	4.538353e+06	-4.837093e+06	-1.264928e+04	
3.923306e+06	-0.000000e+00	3.904052e+06	1.925468e+04	-3.340713e+05	4.801380e+06	-5.120976e+06	-1.447540e+04	
3.830929e+06	-0.000000e+00	3.809120e+06	2.180811e+04	-3.647512e+05	5.041142e+06	-5.389499e+06	-1.639503e+04	
3.747727e+06	-0.000000e+00	3.723352e+06	2.437485e+04	-4.007805e+05	5.260190e+06	-5.642646e+06	-1.832467e+04	
3.674074e+06	-0.000000e+00	3.647244e+06	2.683056e+04	-4.389734e+05	5.463278e+06	-5.882081e+06	-2.017084e+04	
3.609459e+06	-0.000000e+00	3.580413e+06	2.904673e+04	-4.751032e+05	5.658441e+06	-6.111708e+06	-2.183692e+04	
