"PercentStance"	"InterpV.N"	"InterpML.N"	"InterpHz.N"	"SquaredV.N"	"SquaredML.N"	"SquaredHz.N"	"NetGRF.N"	"APAngle"	"APAngle.Convert"	"MLAngle"	"MLAngle.Convert"	"InterpV.BW"	"InterpML.BW"	"InterpHz.BW"	"NetGRF.BW"
0	0.0388254021266191	-0.00401923784779323	-0.0084971092728131	0.00150741185029368	1.61542728771336e-05	7.22008659941264e-05	0.0399470523213533	102.344794524922	-12.3447945249224	95.9102541053893	-5.91025410538928	0.0671487411390853	-0.00695129340676795	-0.014695796044298	0.0690886411645682
1	0.0407510327754976	-0.00453447811665494	-0.00611821359006676	0.00166064667226968	2.05614917904225e-05	3.74325375336776e-05	0.0414564916701086	98.538408950101	-8.53840895010103	96.3493379713269	-6.34933797132693	0.0704791296705251	-0.00784240421420778	-0.0105814832066184	0.071699224611049
2	0.0426023315008578	-0.00491003900267573	-0.00361279074599259	0.00181495864930898	2.41084830077969e-05	1.30522569743297e-05	0.0430362566830702	94.8472367045022	-4.84723670450221	96.5744926490388	-6.5744926490388	0.0736809607417119	-0.00849193878013789	-0.00624834096505118	0.0744314366708237
3	0.0443767030253329	-0.00513993588204032	-0.00104051550980972	0.00196929177139859	2.64189408714856e-05	1.08267252615458e-06	0.0446854941205335	91.343187334299	-1.34318733429896	96.6068494870338	-6.60684948703384	0.0767497458065252	-0.0088895466655834	-0.00179957715290508	0.0772838016612478
4	0.0460936672856598	-0.00521507593970173	0.00153785304585828	0.0021246261638411	2.71970170568559e-05	2.36499199065559e-06	0.0464132327347343	88.0891124009586	1.91088759904136	96.4550423116405	-6.45504231164053	0.0797192447002072	-0.00901950179816972	0.00265972508795967	0.0802719348577211
5	0.0477633144162948	-0.00513855792080855	0.00406248560108467	0.00228133420402983	2.64047775055043e-05	1.65037892590203e-05	0.0482104010644421	85.1384359512687	4.86156404873132	96.1404787118294	-6.14047871182939	0.0826069083643978	-0.00888716347424516	0.00702609062795688	0.0833801471194087
6	0.0493762188495553	-0.00492801790375419	0.00647331517359877	0.00243801098787918	2.42853604597218e-05	4.19038093367441e-05	0.0500419839502357	82.5310127206791	7.46898727932088	95.6995588806505	-5.69955888065049	0.0853964352292551	-0.00852303338594637	0.0111956332992023	0.0865478795403592
7	0.050929478133761	-0.0046013475597574	0.00871531688649903	0.00259381174297724	2.11723993656854e-05	7.59567484320951e-05	0.0518742796651194	80.2893082396025	9.71069176039749	95.1625103826842	-5.16251038268425	0.0880828054890367	-0.00795805527457177	0.0150731872820806	0.0897168448030429
8	0.0524383648914303	-0.00417218615483812	0.0107490241670841	0.00274978211248679	1.74071373106229e-05	0.000115541520544558	0.0536910678823021	78.4157552390451	11.5842447609549	94.5490766859318	-4.54907668593184	0.0906924332262717	-0.00721581832382933	0.0185904949275062	0.0928589897653097
9	0.0539172283710031	-0.00366240575712493	0.0125488267266047	0.0029070675152109	1.34132159298218e-05	0.000157473052214348	0.0554793095068339	76.898090069081	13.101909930919	93.885929505735	-3.88592950573505	0.09325013554307	-0.00633415039281378	0.0217032631037785	0.0959517632425353
10	0.0553714130326346	-0.00310455811797191	0.0140980703365473	0.00306599338123062	9.63828110786529e-06	0.000198755587214235	0.0572222618353444	75.7154750333357	14.2845249666643	93.2090933838051	-3.20909338380514	0.0957651557119242	-0.00536934991001714	0.0243826882333921	0.098966208639475
11	0.0568186321993124	-0.00252797950949085	0.0153913681881899	0.00322835696500074	6.3906804004056e-06	0.000236894214704424	0.058920640357226	74.8431242075803	15.1568757924197	92.5475286923537	-2.54752869235367	0.0982681290199107	-0.00437215411534218	0.0266194538017812	0.101903563398869
12	0.0582972340314671	-0.00195198108421998	0.0164347514823654	0.00339856749571965	3.81023015315261e-06	0.000270101056287112	0.0606009800428996	74.2561626850613	15.7438373149387	91.9177326677461	-1.91773266774612	0.100825378816097	-0.00337596175063988	0.0284239908031224	0.104809719894326
13	0.0598413272744147	-0.00139672955911502	0.0172438089043341	0.00358098444996361	1.95085346130564e-06	0.000297348945529192	0.0622919276387728	73.9251947198798	16.0748052801202	91.3370723026856	-1.33707230268557	0.103495896358379	-0.00241565126100834	0.0298232599521517	0.107734222827348
14	0.0614669869641021	-0.000888058860477233	0.0178371025421754	0.0037781904864451	7.88648539672122e-07	0.00031816222710008	0.0640089162701951	73.8178018704652	16.1821981295348	90.8277367624256	-0.827736762425559	0.106307483507613	-0.00153590256049331	0.0308493644797222	0.11070376387097
15	0.0631934981585082	-0.00044493580054782	0.0182353071694341	0.00399341820950938	1.97967866609129e-07	0.000332526427563615	0.0657734186806464	73.903815572492	16.096184427508	90.4034041954093	-0.403404195409294	0.109293493874971	-0.000769518852555898	0.031538061517527	0.113755480250167
16	0.0650568962239422	-7.14972149230862e-05	0.0184610591552997	0.00423239974629278	5.11185174175798e-09	0.000340810705135475	0.0676255540700407	74.1577598592064	15.8422401407936	90.0629677597698	-0.0629677597698475	0.112516250819686	-0.000123654816539409	0.0319285007874433	0.116958758336286
17	0.067084419497847	0.00023124328266024	0.018538838183302	0.00450031933936312	5.34734557754837e-08	0.000343688521186656	0.0695992911889593	74.5518158689342	15.4481841310658	89.8024994214728	0.19750057852724	0.116022863192402	0.000399936497164026	0.0320630200333829	0.120372347265582
18	0.0692734418177994	0.000455407624565339	0.018489509594872	0.00479880974128404	2.07396104512245e-07	0.000341861965058864	0.0716999240058692	75.0557716653947	14.9442283346053	89.6233396483005	0.376660351699471	0.11980878903113	0.000787629928338532	0.0319777059752196	0.1240054029849
