"PercentStance"	"InterpV.N"	"InterpML.N"	"InterpHz.N"	"SquaredV.N"	"SquaredML.N"	"SquaredHz.N"	"NetGRF.N"	"APAngle"	"APAngle.Convert"	"MLAngle"	"MLAngle.Convert"	"InterpV.BW"	"InterpML.BW"	"InterpHz.BW"	"NetGRF.BW"
0	0.0597534532476427	-0.0180197438275102	-0.0579349075557767	0.00357047517501822	0.000324711167609092	0.00335645351349639	0.0851565608519021	134.114723830281	-44.1147238302813	106.781643131775	-16.7816431317745	0.0967823991701372	-0.029186497938954	-0.0938369089014848	0.137927698172825
1	0.0620832556233604	-0.0214649965440702	-0.0513213610656667	0.00385433062879551	0.000460746076636946	0.00263388210163253	0.0833604151085213	129.578967816269	-39.5789678162693	109.072588303342	-19.0725883033424	0.100555969587561	-0.0347667582508426	-0.0831249774306231	0.135018488999873
2	0.064214058172379	-0.0246624194036609	-0.0438060180131011	0.00412344526696568	0.00060823493084207	0.00191896721416414	0.0815515015923795	124.30131369232	-34.3013136923195	111.010071660751	-21.0100716607515	0.104007220881728	-0.0399456096593147	-0.0709524101281197	0.132088599922869
3	0.0661381964407415	-0.0275489873748171	-0.0356317520395624	0.00437426102843411	0.000758946705377832	0.00126962175340886	0.0800176823409726	118.313431773407	-28.3134317734067	112.613520622133	-22.6135206221328	0.107123738971075	-0.0446209708046924	-0.0577125883374836	0.129604279787776
4	0.0678919041020701	-0.0300663088827449	-0.0270465838911678	0.00460931064260468	0.000903982929832625	0.000731517700181977	0.0790241182970066	111.721207824458	-21.7212078244583	113.886425280524	-23.8864252805239	0.109964211373615	-0.0486982651162049	-0.0438072301444247	0.127995008579538
5	0.069503442829514	-0.03217722238741	-0.0183005149394499	0.00483072856515552	0.00103537364056884	0.000334908847049029	0.0787464986699307	104.751376504939	-14.7513765049394	114.842187185357	-24.8421871853569	0.112574413394095	-0.0521173022147878	-0.0296412616447196	0.127545349319616
6	0.0709887255436882	-0.0338681748609026	-0.00965274631496582	0.00503939915431709	0.00114705326840867	9.31755114210862e-05	0.0792441034661056	97.7433472370884	-7.74334723708844	115.50545039232	-25.5054503923199	0.114980119118381	-0.0548561303221616	-0.0156345097424131	0.128351317567388
7	0.0724079139671758	-0.035129843937873	-0.00135491367074976	0.00524290600507793	0.00123410593509931	1.83579105518459e-06	0.0804912897848732	91.072006799231	-1.07200679923103	115.881075617367	-25.8810756173672	0.117278772217648	-0.0568996500451458	-0.00219454757167114	0.130371379632124
8	0.0738613437572113	-0.0359575187286287	0.00638303822766672	0.00545549810162094	0.00129294315311968	4.07431770158547e-05	0.0823965074002319	85.0608159207603	4.93918407923971	115.957958199589	-25.9579581995886	0.119632885904132	-0.0582402311769172	0.0103385782761042	0.133457252024995
9	0.0754339353918091	-0.0363636500899559	0.0133741802528307	0.00569027860869563	0.00132231504786475	0.000178868697435207	0.0848024902582205	79.946129058706	10.053870941294	115.736836076083	-25.7368360760832	0.122180005493698	-0.0588980403141495	0.0216620995348732	0.137354211626531
