"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","Filename","Appendage","Variable"
-0.7010495,-0.8912336,-1.07601,-1.258443,-1.438329,-1.615571,-1.790401,-1.962511,-2.131097,-2.292754,-2.443472,-2.581375,-2.705394,-2.812841,-2.903133,-2.977862,-3.038608,-3.086646,-3.121537,-3.143862,-3.152089,-3.133946,-3.082672,-3.008371,-2.924176,-2.840897,-2.766648,-2.708142,-2.658057,-2.600644,-2.525166,-2.434369,-2.333505,-2.225837,-2.115574,-2.008622,-1.906347,-1.809259,-1.721489,-1.651368,-1.60472,-1.577647,-1.559648,-1.549848,-1.534902,-1.521912,-1.511645,-1.503633,-1.495754,-1.483945,-1.464823,-1.43704,-1.405095,-1.37376,-1.346879,-1.326036,-1.312612,-1.304074,-1.296117,-1.286737,-1.281069,-1.285193,-1.296754,-1.304991,-1.299029,-1.277928,-1.248515,-1.205013,-1.156545,-1.108056,-1.060017,-1.008249,-0.9500647,-0.888407,-0.8281386,-0.7713666,-0.7185316,-0.6691857,-0.6218679,-0.5752295,-0.5289833,-0.4865794,-0.4505198,-0.4205365,-0.3938594,-0.4065259,-0.3841056,-0.3655078,-0.3481956,-0.3308931,-0.314337,-0.2993175,-0.2883197,-0.2786587,-0.2698608,-0.2605203,-0.2971989,-0.2822635,-0.2667512,-0.25144,-0.2379672,"nal res","e/sal","StressAxial"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.683098,-3.640656,-3.602374,-3.571049,-3.548347,-3.53268,-3.521308,-3.511791,-3.501852,-3.485538,-3.454189,-3.40128,-3.328126,-3.23937,-3.139498,-3.026842,-2.897586,-2.749683,-2.59323,-2.445766,-2.321789,-2.223285,-2.144665,-2.081438,-2.034005,-2.002958,-1.98653,-1.978737,-1.979106,-1.977545,-1.969418,-1.954882,-1.934134,-1.90702,-1.881424,-1.842611,-1.798081,-1.747723,-1.69178,-1.631998,-1.577233,-1.513689,-1.449185,-1.382273,-1.311539,-1.236892,-1.16072,-1.085333,-1.011634,-0.940393,-0.8719612,-0.8066732,-0.7445574,-0.6856334,-0.6300966,-0.5766064,-0.5241199,-0.4726864,-0.423054,-0.3767787,-0.3347692,-0.2971858,-0.2635505,-0.232457,-0.203053,-0.1743232,-0.1462345,-0.1201127,-0.09657192,-0.08140615,-0.078261,-0.07408064,-0.06863236,-0.06980675,-0.06812053,-0.06155856,-0.05248866,-0.04681486,-0.04247804,-0.03756373,-0.03205328,-0.02605861,-0.02033962,-0.01413968,"nal res","e/sal","StressAxial"
-0.634317,-0.8961867,-1.170142,-1.436387,-1.678868,-1.888282,-2.071297,-2.242812,-2.40641,-2.553492,-2.67715,-2.780473,-2.867142,-2.936284,-2.985678,-3.0134,-3.018535,-3.000372,-2.962789,-2.918331,-2.883714,-2.858205,-2.82592,-2.778355,-2.718487,-2.646848,-2.549562,-2.41781,-2.274245,-2.148401,-2.0498,-1.978847,-1.933,-1.909864,-1.908275,-1.924409,-1.947145,-1.954055,-1.931676,-1.886703,-1.827317,-1.759407,-1.686268,-1.601666,-1.498222,-1.385375,-1.276518,-1.179024,-1.092035,-1.016094,-0.9502478,-0.8929063,-0.8428627,-0.7977993,-0.7566247,-0.7180401,-0.6794847,-0.6423192,-0.5958667,-0.5466336,-0.4969057,-0.4483491,-0.400876,-0.3547442,-0.3104562,-0.269438,-0.2318991,-0.1994198,-0.1650214,-0.1316473,-0.1011706,-0.09378079,-0.08999902,-0.08490971,-0.07993295,-0.07644811,-0.07781079,-0.08652024,-0.09328496,-0.09703895,-0.09660554,-0.09105091,-0.08133899,-0.07019465,-0.06083713,-0.05757856,-0.0536037,-0.05011007,-0.04772978,-0.04560827,-0.04399892,-0.04339255,-0.04407417,-0.04542823,-0.04624738,-0.04599753,-0.04464582,-0.04220922,-0.03861468,-0.03415851,-0.02962627,"nal res","e/sal","StressAxial"
-0.6585102,-0.8319952,-1.019946,-1.220167,-1.425436,-1.624616,-1.816158,-2.007903,-2.195426,-2.366768,-2.509033,-2.607169,-2.667275,-2.725937,-2.784044,-2.810942,-2.805569,-2.789421,-2.787806,-2.82455,-2.873548,-2.889027,-2.865788,-2.819698,-2.762412,-2.704907,-2.645376,-2.574992,-2.490657,-2.387622,-2.281337,-2.211061,-2.17397,-2.110322,-1.99418,-1.85566,-1.725265,-1.632284,-1.583933,-1.540307,-1.476264,-1.415563,-1.378374,-1.353415,-1.334307,-1.329485,-1.341353,-1.350669,-1.34054,-1.316208,-1.286068,-1.250969,-1.212,-1.168217,-1.117011,-1.063995,-1.018526,-0.9873045,-0.9725871,-0.9731787,-0.965015,-0.9515553,-0.9340866,-0.9094998,-0.8740173,-0.8294843,-0.7805399,-0.7287892,-0.6736894,-0.6196522,-0.5624833,-0.5109995,-0.464036,-0.4190106,-0.374787,-0.3307585,-0.289086,-0.251404,-0.2185465,-0.1927411,-0.1779061,-0.1729048,-0.1706298,-0.1667386,-0.1591418,-0.1480183,-0.1418673,-0.1249358,-0.1088087,-0.09484813,-0.08048414,-0.06781877,-0.0620491,-0.05637277,-0.04992743,-0.04243568,-0.03507128,-0.02824826,-0.02186164,-0.01750899,-0.01254069,"nal res","e/sal","StressAxial"
-0.5996578,-0.7593157,-0.9309501,-1.113009,-1.30387,-1.500991,-1.700497,-1.89614,-2.080595,-2.251095,-2.412458,-2.560472,-2.692908,-2.804085,-2.885805,-2.935557,-2.961169,-2.977909,-2.996507,-3.012567,-3.018127,-3.007053,-2.981348,-2.944336,-2.89977,-2.854107,-2.815187,-2.790875,-2.783579,-2.788281,-2.799877,-2.811979,-2.814796,-2.801211,-2.765472,-2.708619,-2.635575,-2.551046,-2.459301,-2.362156,-2.260954,-2.158737,-2.062606,-1.979963,-1.917213,-1.874101,-1.846708,-1.831027,-1.821413,-1.811605,-1.796417,-1.772184,-1.7392,-1.697962,-1.649562,-1.594827,-1.533756,-1.466292,-1.392969,-1.315255,-1.23528,-1.155316,-1.077473,-1.004126,-0.9370292,-0.875264,-0.8216378,-0.765006,-0.7096924,-0.6566561,-0.6061092,-0.5583469,-0.51748,-0.477432,-0.4426094,-0.4128317,-0.3872937,-0.3653977,-0.3461575,-0.3289599,-0.3135567,-0.2996571,-0.2882549,-0.28018,-0.275407,-0.2733409,-0.2727185,-0.2721839,-0.2711554,-0.2695109,-0.2837337,-0.2838011,-0.2856492,-0.2905035,-0.2995076,-0.3112298,-0.3228264,-0.3311292,-0.3813927,-0.3785614,-0.3626076,"nal res","e/sal","StressAxial"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.085058,-3.094595,-3.093135,-3.07602,-3.046055,-3.006745,-2.968479,-2.941153,-2.912242,-2.854208,-2.761335,-2.657027,-2.562078,-2.4752,-2.392132,-2.297749,-2.171897,-2.020472,-1.880524,-1.775433,-1.69299,-1.619863,-1.559768,-1.517483,-1.491281,-1.477341,-1.475393,-1.487418,-1.513002,-1.542092,-1.563124,-1.572458,-1.575658,-1.577132,-1.577705,-1.576888,-1.570154,-1.54998,-1.51341,-1.463339,-1.406454,-1.326179,-1.227242,-1.125024,-1.03661,-0.9664741,-0.893766,-0.8147559,-0.7326831,-0.654539,-0.5870765,-0.5352526,-0.4950463,-0.4544615,-0.4048741,-0.3508716,-0.29942,-0.2574611,-0.226542,-0.2015808,-0.1756379,-0.1464186,-0.1168834,-0.09758477,-0.09212601,-0.08824311,-0.08523445,-0.08130421,-0.07607379,-0.07046529,-0.0671237,-0.06222441,-0.05741076,-0.05281792,-0.04871141,-0.04489113,-0.04083517,-0.0364667,-0.03383768,-0.02938839,-0.02494944,-0.02046608,-0.01599704,-0.01179726,"nal res","e/sal","StressAxial"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.123912,-3.077224,-3.053121,-3.038475,-3.016968,-2.980184,-2.925554,-2.853328,-2.764244,-2.658715,-2.54083,-2.406628,-2.258029,-2.108859,-1.974386,-1.865672,-1.776848,-1.697641,-1.619915,-1.538575,-1.450622,-1.354268,-1.25365,-1.160389,-1.083415,-1.024825,-0.9800773,-0.9444888,-0.9133287,-0.8824872,-0.8501825,-0.8162435,-0.7804071,-0.7417968,-0.7001773,-0.6587986,-0.6204864,-0.5851813,-0.5552235,-0.5206949,-0.4862385,-0.4524194,-0.4190211,-0.3860649,-0.3536706,-0.3230968,-0.2955917,-0.2713053,-0.2489016,-0.2255613,-0.197631,-0.1651019,-0.1343227,-0.1276977,-0.1199492,-0.1118889,-0.1041974,-0.09724643,-0.09085001,-0.08481701,-0.07908885,-0.07381375,-0.06915069,-0.06514984,-0.06194379,-0.05902065,-0.05616822,-0.05328884,-0.05046593,-0.04778157,-0.04535335,-0.04325308,-0.04155773,-0.0402683,-0.03898105,-0.03720752,-0.03456726,-0.03115031,-0.0273641,-0.02263502,-0.01940482,-0.01653743,-0.01410687,-0.01218902,-0.01083191,-0.01000657,"nal res","e/sal","StressAxial"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.620498,-3.518788,-3.419178,-3.327749,-3.248181,-3.178672,-3.11313,-3.046918,-2.980248,-2.916351,-2.855473,-2.792703,-2.722778,-2.641533,-2.54629,-2.438334,-2.328975,-2.230508,-2.147218,-2.073971,-2.00713,-1.947679,-1.910982,-1.897316,-1.902556,-1.921972,-1.952708,-1.993436,-2.041958,-2.099319,-2.1533,-2.200779,-2.231439,-2.237465,-2.216581,-2.167932,-2.092131,-1.998189,-1.897855,-1.79812,-1.702637,-1.615813,-1.536598,-1.457082,-1.367285,-1.261592,-1.138326,-1.005069,-0.8738857,-0.7510065,-0.6259133,-0.4842255,-0.3182395,-0.229482,-0.2294953,-0.2292316,-0.2267925,-0.2203749,-0.2104152,-0.1973527,-0.1826037,-0.1687563,-0.1574656,-0.1490828,-0.1403213,-0.1311886,-0.1212704,-0.1103894,-0.09924119,-0.0882692,-0.07629963,-0.06244889,-0.05142821,-0.04242031,-0.03581399,-0.02984034,-0.02378836,-0.01791056,"nal res","e/sal","StressAxial"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.725307,-3.757484,-3.789693,-3.818443,-3.842578,-3.860769,-3.871103,-3.872002,-3.861896,-3.840282,-3.806744,-3.75972,-3.697666,-3.620751,-3.53297,-3.439899,-3.341459,-3.241633,-3.143084,-3.047852,-2.955833,-2.865987,-2.778117,-2.691904,-2.605304,-2.51909,-2.429322,-2.336282,-2.243927,-2.155934,-2.074898,-2.002265,-1.938041,-1.881033,-1.829664,-1.782062,-1.74299,-1.697758,-1.651977,-1.60409,-1.553771,-1.50271,-1.453956,-1.408686,-1.364284,-1.314968,-1.257371,-1.192132,-1.121618,-1.052903,-0.9809983,-0.9119959,-0.8475695,-0.7889471,-0.7358306,-0.68697,-0.6408372,-0.595121,-0.5467158,-0.4926544,-0.4307504,-0.3621787,-0.2899891,-0.2176278,-0.1778026,-0.1739984,-0.1684757,-0.1610887,-0.1538996,-0.1443172,-0.1341582,-0.1237737,-0.1140933,-0.1117053,-0.09511435,-0.08703349,-0.07896097,-0.07039439,-0.06125548,-0.05196728,-0.04312779,-0.0408714,-0.03624116,-0.0282644,-0.01828174,-0.01349891,"nal res","e/sal","StressAxial"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.10772,-3.118509,-3.125625,-3.129079,-3.129128,-3.12673,-3.123153,-3.11783,-3.109425,-3.096636,-3.077583,-3.052157,-3.021596,-2.986915,-2.949172,-2.908709,-2.865279,-2.818779,-2.76981,-2.719014,-2.666742,-2.613764,-2.560871,-2.509145,-2.460249,-2.415755,-2.376545,-2.34343,-2.316934,-2.296695,-2.282206,-2.273206,-2.269253,-2.270191,-2.275208,-2.282399,-2.28969,-2.295449,-2.298503,-2.297596,-2.291909,-2.280807,-2.264174,-2.242657,-2.217343,-2.188602,-2.155733,-2.118053,-2.074397,-2.023939,-1.966779,-1.902857,-1.832059,-1.754163,-1.668409,-1.574173,-1.471646,-1.361676,-1.245156,-1.123097,-0.9961419,-0.8653027,-0.7327085,-0.6008956,-0.4719624,-0.3476171,-0.2298225,-0.1763529,-0.1638169,-0.1509556,-0.1380717,-0.1255136,-0.1136144,-0.1025792,-0.09251228,-0.08349117,-0.07550155,-0.06843778,-0.06221923,-0.05675114,-0.0524772,-0.05037986,-0.04609908,-0.04197453,-0.03790757,-0.03386872,-0.02984563,-0.02587712,-0.02206698,-0.01849601,-0.01522717,"nal res","e/sal","StressAxial"
