File.name,Appendage,Species,Calib.File,Pixels.Per.mm,Group,5fPriorStart.x,5fPriorStart.y,5fPriorEnd.x,5fPriorEnd.y,CycleStart.x,CycleStart.y,CycleEnd.X,CycleEnd.y,5fPostStart.x,5fPostStart.y,5fPostEnd.x,5fPostEnd.y,PriorDistance.pixels,StanceDistance.pixels,PostDistance.pixels,PriorDuration.s,StanceDuration.frames,StanceDuration.s,PostDuration.s,PriorSpeed.cm.s,StanceSpeed.cm.s,PostSpeed.cm.s
pb03f39,Pec,pb,cal28,6.394590909,PF,390,415,394,415,397,414,591,414.333,605,416,629,412,4,194.0002858,24.33105012,0.05,30,0.3,0.05,1.251057357,10.11272853,7.609884813
pb04f02,Pec,pb,cal22,6.395727273,PF,445,429,446,427,446,426,607,427,607,427,607,427,2.236067977,161.0031056,0,0.05,42,0.42,0.05,0.699238064,5.993700344,0
pb04f04,Pec,pb,cal22,6.395727273,PF,443,413,451,413,453,413,636,414,637,414,639,414,8,183.0027322,2,0.05,29,0.29,0.05,2.501670149,9.866648112,0.625417537
pb04f05,Pec,pb,cal22,6.395727273,PF,391,416,395,419,397,419,600,413,605,415,609,417,5,203.0886506,4.472135955,0.05,30,0.3,0.05,1.563543843,10.58460031,1.398476128
pb04f06,Pec,pb,cal22,6.395727273,PF,325,421,332,421,335,420,525,420.333,531,422,533,423,7,190.0002918,2.236067977,0.05,24,0.24,0.05,2.18896138,12.37807444,0.699238064
pb04f09,Pec,pb,cal23,6.455681818,PF,490,413,495,414,498,414,687,403,690,404,693,407,5.099019514,189.3198352,4.242640687,0.05,27,0.27,0.05,1.579699761,10.86151075,1.314389651
pb04f10,Pec,pb,cal23,6.455681818,PF,386,405,390,406,394,406,484,396,491,396,510,396,4.123105626,90.55385138,19,0.05,41,0.41,0.05,1.277357138,3.421219607,5.886287625
pb04f12,Pec,pb,cal23,6.455681818,PF,533.667,423,542,423,545,422,714,411,718,413,721,415,8.333,169.3576098,3.605551275,0.05,35,0.35,0.05,2.581601831,7.49539551,1.117016413
pb04f14,Pec,pb,cal24,6.426022727,PF,477,421.667,479,420,479,420,649,412.333,652,414,651,414,2.603629966,170.172803,1,0.05,39,0.39,0.05,0.810339483,6.790211288,0.311234505
pb04f22,Pec,pb,cal28,6.394590909,PF,378,436,381,436,382,435,511,427,518,425,533.667,426.333,3,129.247824,15.72360576,0.05,28,0.28,0.05,0.938293018,7.218591117,4.917783164
pb04f27,Pec,pb,cal29,6.424886364,PF,423,421,423,421,423,421,559.667,407,563,409,566,411,0,137.3822,3.605551275,0.05,30,0.3,0.05,0,7.127607259,1.122370442
pb05f02,Pec,pb,cal27,6.457113636,PF,347,440,348,440,349,439,504,436,504,437,505,439,1,155.0290295,2.236067977,0.05,35,0.35,0.05,0.309735915,6.859722615,0.692590561
pb05f04,Pec,pb,cal28,6.394590909,PF,324,440,327,441,329,440,496,430,500,430,501,430,3.16227766,167.2991333,1,0.05,42,0.42,0.05,0.989047683,6.229190818,0.312764339
pb05f05,Pec,pb,cal28,6.394590909,PF,317.667,441,323,441,325,443,462,440,465,440,466,440,5.333,137.0328428,1,0.05,75,0.75,0.05,1.667972221,2.857265768,0.312764339
pb05f08,Pec,pb,cal29,6.424886364,PF,331,441,336,440,339,440,504,436,505,436,508,436,5.099019514,165.0484777,3,0.05,40,0.4,0.05,1.587271502,6.422233343,0.933868657
pb05f09,Pec,pb,cal29,6.424886364,PF,336.333,441,339,441,342,440,500,435,505,436,508.333,437,2.667,158.0790941,3.479782896,0.05,41,0.41,0.05,0.830209236,6.001020786,1.08322006
pb05f10,Pec,pb,cal29,6.424886364,PF,367,442,371,441,372,440,499.667,443,499.667,443,499.667,443,4.123105626,127.7022431,0,0.05,57,0.57,0.05,1.283479704,3.487050358,0
pb05f11,Pec,pb,cal29,6.424886364,PF,314.333,439.667,315,438,316,438,476,437,476,437,477,437,1.795488234,160.003125,1,0.05,31,0.31,0.05,0.558916729,8.033435669,0.311289552
pb05f12,Pec,pb,cal29,6.424886364,PF,541,441.667,544,440,547,438,694.333,441.667,694.333,441.667,691,441,3.432038607,147.3786273,3.399084877,0.05,32,0.32,0.05,1.068357762,7.168347955,1.05809961
pb05f13,Pec,pb,cal29,6.424886364,PF,348,439,351,440.333,353,439,531,443,531,443,529,441,3.282817235,178.0449381,2.828427125,0.05,35,0.35,0.05,1.021906708,7.917647013,0.880459814
pb05f16,Pec,pb,cal29,6.424886364,PF,385,442.333,388,442,388,440,563,439,565,439,565,439,3.01842492,175.0028571,0,0.05,38,0.38,0.05,0.939604142,7.167968559,0
