"ToeTip.X"	"ToeTip.Y"	"KneeElbow.X"	"KneeElbow.Y"	"HipShoulder.X"	"HipShoulder.Y"	"AnkleWrist.X"	"AnkleWrist.Y"	"MetaPhalJoint.X"	"MetaPhalJoint.Y"	"Costal1.X"	"Costal1.Y"	"Costal2.X"	"Costal2.Y"
520.874669142354	458.725457877435	412.944923985109	501.1123210628	421.567788434734	580.436309639326	421.050698504726	496.382439386953	461.298674293866	483.451338918291	422.265952207614	611.706289639732	352.84372693863	600.568993850917
521.260072063274	458.56432359365	413.123541871035	501.075784896316	422.18757630076	580.401601216706	421.057879480699	496.44898045654	461.126077339714	482.89045888508	422.928738592508	611.497743804119	353.595624593192	600.655040174984
521.572016574962	458.432411444353	413.318150738246	501.067523091977	422.873165083605	580.372064285802	421.095538386382	496.517030286287	460.970806708543	482.376248198084	423.651153730638	611.300018183534	354.360021187657	600.758392628777
521.814461155151	458.327026190229	413.529411407547	501.086454057058	423.622731464234	580.347090891303	421.161998461107	496.587990212354	460.83146535786	481.910062956036	424.431910907374	611.114126790428	355.136623918889	600.877821373627
521.991282190972	458.245524753176	413.757984244259	501.131567748976	424.434590657597	580.326069513705	421.255658350559	496.663169614223	460.70666681873	481.493259477037	425.269848624818	610.94106542285	355.92509344269	601.012115099611
522.105996439681	458.185492567628	414.004527618283	501.202167578457	425.30766478078	580.308373019194	421.375247047372	496.743475019314	460.595070943819	481.12719504022	426.16435394577	610.781750083554	356.724886523614	601.160143669206
522.162022203925	458.144577627094	414.269699353239	501.297642769231	426.241042100333	580.293369999279	421.519583982103	496.829702667653	460.495350267097	480.813227187818	427.114964110569	610.637074930017	357.535404107623	601.320799167171
522.16315094685	458.12019081505	414.554159343244	501.417057298443	427.233181146743	580.280445247253	421.687145809473	496.923066808129	460.406129258138	480.552712464872	428.120647159945	610.508016917208	358.356258703082	601.492889451856
522.114965103567	458.108605012895	414.858577419695	501.557914132546	428.279518052248	580.269061316346	421.874764042462	497.026787909923	460.325801702993	480.347002630443	429.177639279178	610.395950384032	359.188078205389	601.674818139637
522.023583761954	458.105752107319	415.183626391627	501.717248491589	429.374583307677	580.258704060033	422.078777238339	497.144687592699	460.252692264936	480.197448009504	430.281358071346	610.302368742832	360.031794763875	601.864867718483
521.895014114875	458.107764799663	415.529882944783	501.892140043916	430.512477123785	580.249080513423	422.295251066428	497.280562644522	460.184832483792	480.104850548248	431.426493230405	610.228622840797	360.888709629992	602.061513635784
521.734674148352	458.111832612117	415.897418057356	502.079902759854	431.685036897518	580.241061325296	422.518816016863	497.43807862387	460.118711844807	480.067127173523	432.603905724582	610.175313372866	361.762065602573	602.264246617407
521.547788768647	458.1154913811	416.286136990026	502.27792738917	432.883358514519	580.235898454063	422.743632279656	497.620858086026	460.050314510649	480.081249407621	433.803201870293	610.142795213317	362.655741714566	602.47289009025
521.339194870025	458.116550265404	416.695887400225	502.483856780956	434.098995412299	580.235113133295	422.964139815909	497.832404561559	459.975360799402	480.143555485046	435.014353011029	610.131458733323	363.573441235595	602.68737320147
521.111490408728	458.114394866457	417.126185017365	502.696788631046	435.326144475825	580.241779561711	423.17639498501	498.075534720766	459.888049824176	480.246731502371	436.229441607531	610.141900013225	364.517850808686	602.908234196028
520.866471791259	458.108975159135	417.57642673915	502.916341476853	436.559948955967	580.259527906437	423.377032824097	498.352819334915	459.782036099958	480.382156074597	437.441305909872	610.174788778158	365.491293120034	603.136229378599
520.605576057215	458.10050543901	418.045693442471	503.142624093437	437.796113680048	580.292163299659	423.562768567172	498.666463606599	459.651484540956	480.541444372791	438.643563152908	610.230972935444	366.495699044919	603.372153593508
520.327968357238	458.090871218738	418.531063427552	503.378849109331	439.033896182223	580.344595654506	423.730821227572	499.01635705738	459.49380031473	480.717721831274	439.834763154971	610.312429452788	367.530518355487	603.617044266132
520.03192626215	458.082610920776	419.028832629518	503.629441764144	440.273941965407	580.422166499069	423.878606634751	499.401484520344	459.30765448852	480.904703912849	441.015382792287	610.421576398332	368.594231508432	603.872033593229
519.715642492551	458.078391433995	419.535335533897	503.898689696297	441.517423156798	580.53027046457	424.00387539231	499.820398954638	459.09213069205	481.096552841021	442.186712822943	610.561051285297	369.685652365383	604.138314891256
519.376732259448	458.081765095867	420.047188017901	504.189901480542	442.769162274934	580.674665600032	424.106709642077	500.268655962591	458.849169443726	481.290537060364	443.355689069398	610.735014950885	370.805935473914	604.417506202146
519.012564843821	458.096661308431	420.561125788209	504.505968761487	444.035536342135	580.861264714425	424.18818440162	500.740534734751	458.581927855973	481.485247786623	444.531651281009	610.948276933407	371.957232152856	604.711406435392
518.620656333533	458.126877253991	421.074357516873	504.849379142719	445.323035363654	581.095762715113	424.250069391501	501.230504742498	458.29383496907	481.679404584969	445.72432905962	611.205428268507	373.141918979687	605.02194524053
518.199658039998	458.175183272471	421.587723304497	505.219526933481	446.638973495931	581.382175498128	424.299445065129	501.73453405013	457.990375093295	481.872675847074	446.94637983313	611.509362334288	374.364075382429	605.352051893692
517.748747625032	458.243873604707	422.103746976336	505.614372226185	447.991047016012	581.723740479974	424.34585421592	502.24928554984	457.67798547211	482.065169891361	448.211818526313	611.862185383948	375.628570321761	605.705119151401
517.267758064806	458.334811318326	422.625312422872	506.031876340546	449.386833067127	582.122997797663	424.399218172512	502.771687597851	457.363065774999	482.257085297636	449.534146561485	612.26543532356	376.940271670054	606.084323130865
