"ToeTip.X"	"ToeTip.Y"	"KneeElbow.X"	"KneeElbow.Y"	"HipShoulder.X"	"HipShoulder.Y"	"AnkleWrist.X"	"AnkleWrist.Y"	"MetaPhalJoint.X"	"MetaPhalJoint.Y"	"Costal1.X"	"Costal1.Y"	"Costal2.X"	"Costal2.Y"
228.555501022161	179.818304107217	172.45048696142	174.242780745116	170.357459001621	150.197738279344	179.071835555685	175.288072018943	204.16267157254	177.032365804217	169.963836712162	131.379975341053	143.525601752037	131.729389249347
228.555194792978	179.818816090887	172.451067795526	174.242896742728	170.370125757954	150.197581549655	179.071613308594	175.288071868638	204.162879282664	177.045785335375	169.972484425004	131.379807921511	143.528593211952	131.720669799119
228.555455505119	179.818579859807	172.451683916573	174.242430705334	170.374270822097	150.197569610889	179.071585119815	175.288071853007	204.161228435546	177.036641738212	169.976851577272	131.379795760545	143.532629581385	131.720049978153
228.555950196691	179.817965804306	172.451924465581	174.241850976439	170.370235292372	150.197667647192	179.07171209807	175.288071942738	204.159292627837	177.018757158073	169.975827206645	131.379901133272	143.535070356845	131.725298859529
228.55642332283	179.817188720053	172.451103682913	174.241645134789	170.352689525021	150.197899906759	179.072040528368	175.28807216474	204.158733259909	177.001934908587	169.964141718282	131.380149236295	143.531474446698	131.73779067122
228.55656607105	179.816570461299	172.44872495729	174.242287524113	170.320205691446	150.198249998131	179.072558089254	175.288072507236	204.161151317836	176.998743503829	169.939386909234	131.38052197241	143.518639673375	131.756419075549
228.555685315581	179.817205284675	172.445656338151	174.244157000637	170.299506637873	150.198408324337	179.072829627499	175.288072679361	204.167711912808	177.041701725978	169.919798843255	131.380688889829	143.502302331651	131.762181039546
228.5532487815	179.82013324251	172.443662582665	174.247175158677	170.327994537083	150.19799186584	179.072303528769	175.288072314159	204.177647663834	177.164425308403	169.932804936186	131.380241634947	143.494500598742	131.73152396503
228.550366135861	179.824653395682	172.447182861776	174.248790640914	170.452941617989	150.196733863151	179.070534546655	175.288071119385	204.179799650856	177.370029596716	170.020948721529	131.378897537568	143.527272565959	131.647597585293
228.549053034457	179.828781256742	172.460074950228	174.24567302117	170.712628416837	150.194661554495	179.06748077109	175.288069084633	204.160150195872	177.646844156236	170.224442120449	131.376689145019	143.636957130167	131.504216672367
228.553404567263	179.826203721611	172.476054179128	174.235210508463	171.062883254587	150.193461113989	179.065501714012	175.28806787659	204.110430641973	177.958017547764	170.532453033804	131.375425239316	143.840929981402	131.34950200852
228.566892175736	179.810376681835	172.48241328843	174.217316295826	171.431098295528	150.195427062973	179.06788710309	175.28806977975	204.027866325568	178.260521670457	170.913139259246	131.377561566	144.143669787596	131.246578163839
228.582030932247	179.786114407298	172.449027719112	174.208634494913	171.781095638607	150.202392570022	179.077630096008	175.288076633078	203.933422012936	178.541185504315	171.331719039853	131.385026963216	144.510456157456	131.206698400913
228.584714923254	179.766755915709	172.340822978834	174.232684845683	172.098534489567	150.21464569208	179.095653970487	175.288088915205	203.853857604488	178.800352353658	171.75270773868	131.398099666097	144.889360608856	131.215385530815
228.546670487159	179.794530190627	172.14785285631	174.306957165529	172.4143306118	150.221048783599	179.106330153945	175.288097198934	203.773505984565	179.03813797417	172.145779693534	131.404984184789	145.233101373572	131.239335569956
228.435653425271	179.922754072196	171.875452651921	174.440401149712	172.777596058299	150.205088149789	179.086033923765	175.288087322939	203.658611334634	179.254347636905	172.489374711276	131.388210122999	145.504223188499	131.237758566432
228.250900283107	180.169815078068	171.553651781514	174.58830841361	173.191060082888	150.154374841093	179.015075341489	175.288047982181	203.509431562941	179.44720580038	172.822300556803	131.33472478143	145.738208172282	131.189570086063
228.009930020661	180.528986941615	171.225299177156	174.679596163076	173.630397846676	150.061790750726	178.88025481526	175.287974500949	203.346706249689	179.613294817906	173.211429331276	131.237302549555	146.009470133688	131.088491071122
227.734802990028	180.934073109919	170.920477280599	174.688969781832	174.063886592675	149.953181987011	178.716259625255	175.287918773545	203.203644421827	179.740730600702	173.653835841758	131.126090609094	146.365039368778	130.968959707205
227.447720775772	181.286165640067	170.660995512928	174.623586929054	174.45983559548	149.872852016407	178.585674377792	175.287967369622	203.118508526897	179.813928571921	174.104843048694	131.052316422048	146.830492716423	130.88873005324
227.13656832996	181.549325038611	170.467432148474	174.533562864125	174.846173511104	149.83366435445	178.519599356554	175.28819224022	203.09401075744	179.839065993678	174.554884956132	131.03358538555	147.380964351894	130.874339950878
226.769312365654	181.732584215735	170.357806614625	174.496602127068	175.289635170867	149.825818472449	178.525877662529	175.28863331572	203.107338438233	179.837432696644	175.019492696422	131.062495782196	147.958848788452	130.927858071619
226.380622013433	181.847177763089	170.322590366964	174.553609354961	175.806065677476	149.835544580355	178.601333233879	175.289001128785	203.130031582133	179.82575143349	175.51167347178	131.115730235885	148.547331542714	131.017879939982
226.055708433431	181.905539048838	170.330980952226	174.712910482636	176.370979856907	149.846836730155	178.7334161588	175.2887535782	203.13033484659	179.816452654278	176.041625938973	131.159265974876	149.163299524171	131.087860067751
225.838730998088	181.923959491745	170.358543493294	174.924581810184	176.965962593534	149.853035213818	178.889577724039	175.287456178195	203.089740307307	179.813715112255	176.612066748106	131.18465779988	149.843434135091	131.095496611894
