"ToeTip_X"	"ToeTip_Y"	"KneeElbow_X"	"KneeElbow_Y"	"HipShoulder_X"	"HipShoulder_Y"	"AnkleWrist_X"	"AnkleWrist_Y"	"MetaPhalJoint_X"	"MetaPhalJoint_Y"	"Costal1_X"	"Costal1_Y"	"Costal2_X"	"Costal2_Y"
460.17984631996	459.155997949912	354.263866611795	512.718644608523	379.372936108722	592.686754322701	363.461560604073	506.621293674252	398.896172635088	487.188935320918	379.413617040318	625.973388966127	330.836385442212	624.104914217403
460.168754786413	459.136233208661	355.006271311102	512.965894977774	379.854939235288	592.737404867991	363.721501905902	506.898933319605	398.915210737427	487.175930497208	379.760866573974	625.804305881219	331.378170083764	624.064348493737
460.159363842243	459.099910339623	355.763102816458	513.211573295392	380.396568721243	592.830577851118	363.984859505684	507.134063643997	398.902446885453	487.162612763208	380.210574602818	625.704478054718	331.925020656578	624.033411962547
460.151978138307	459.049618268293	356.535743837218	513.455233145593	380.99690139038	592.962148608331	364.252164148711	507.329038245108	398.860845446744	487.14980679174	380.758540081089	625.669855030029	332.489187280752	624.01293132926
460.146896910566	458.987787651997	357.325465486306	513.696313676967	381.654870877463	593.128185144339	364.523735323686	507.485973439423	398.793087175363	487.138282517145	381.400765583488	625.696790149138	333.082445901307	624.003732576972
460.14440518621	458.916433849895	358.13324604585	513.93395375723	382.369035086999	593.325261028917	364.799338178695	507.606362913829	398.70110861905	487.128666239128	382.133787988018	625.782696327868	333.715328220382	624.006639793372
460.144786116401	458.837517388078	358.960025134648	514.167252607111	383.1379023147	593.550016583117	365.078664670565	507.691618147556	398.586748065743	487.12156529288	382.954214718356	625.925126380759	334.39820165899	624.022476815893
460.148359999766	458.754084549663	359.807507949383	514.396094502741	383.960963166816	593.797770376859	365.362856026228	507.744778424892	398.453789459078	487.117962532502	383.857256313699	626.118862968705	335.1446865912	624.052072437326
460.155512582693	458.671094544058	360.678748509756	514.621746859469	384.839438920101	594.061512270748	365.655606849496	507.771750956403	398.309444669797	487.119502414993	384.835662231266	626.353808194948	335.97413456233	624.096264180996
460.166620617013	458.593655572579	361.576921835825	514.845643266074	385.774817472696	594.334039644647	365.960825181154	507.778779900937	398.16127329251	487.127884423768	385.882003512536	626.61932189578	336.906283773157	624.155845019277
