"ToeTip_X"	"ToeTip_Y"	"KneeElbow_X"	"KneeElbow_Y"	"HipShoulder_X"	"HipShoulder_Y"	"AnkleWrist_X"	"AnkleWrist_Y"	"MetaPhalJoint_X"	"MetaPhalJoint_Y"	"Costal1_X"	"Costal1_Y"	"Costal2_X"	"Costal2_Y"
475.111972	335.312361266884	373.805401066862	348.248539694943	388.678586587016	289.335642708647	378.766932100967	355.157922973658	440.148563917084	332.479857341881	378.918017930324	250.259128194315	328.113374433918	263.358664628684
475.111972	334.656244321254	373.920864288112	347.940841961268	389.316139856475	289.328148319524	378.7461344359	354.829407452918	440.061474936919	333.751407920285	379.550296633257	250.092314305402	328.91027124808	263.33910665322
475.111972	334.142526255783	374.037993223631	347.678317167423	390.010730672125	289.323111818089	378.729309497644	354.57741297902	439.963495178464	334.836596657431	380.242365033554	249.967552501987	329.712899383835	263.331699333207
475.111972	333.757339015803	374.156508275447	347.45695561317	390.754667372814	289.320306314362	378.717916149248	354.392535240262	439.854854029538	335.75368745935	380.988249055808	249.878949588336	330.521610151701	263.333660689193
475.111972	333.486814546643	374.276129845586	347.27274759827	391.54025829739	289.319504918364	378.713413253764	354.265369924944	439.735780877962	336.52094423208	381.781974624611	249.820612368713	331.336754862194	263.342208741727
475.111972	333.317076086317	374.396608306735	347.121868085188	392.359892024335	289.320578030352	378.717392732467	354.186543886233	439.606337471997	337.157061498247	382.617543140991	249.786634187295	332.158146758812	263.354717773059
475.111972	333.234188986617	374.517893276516	347.001719674054	393.206490565214	289.324042836081	378.732331077723	354.146891161353	439.465471092117	337.683596519604	383.488792973319	249.771018905585	332.982022015518	263.369600893246
475.111972	333.224194985099	374.640015652976	346.910205770251	394.073193541481	289.330680372429	378.761065635805	354.137330306654	439.311674380311	338.123274390107	384.389495982057	249.767733881322	333.803157568519	263.385694994083
475.111972	333.273135749659	374.763006573929	346.845231256466	394.953141216505	289.341272454597	378.806434817453	354.148780127807	439.143438637451	338.498823648644	385.313423831478	249.770746364567	334.616326049489	263.401838217459
475.111972	333.367075238917	374.886820452302	346.804228278858	395.839268440193	289.356351834777	378.870936404349	354.172079648414	438.959684321681	338.83187045562	386.254410966181	249.774058063208	335.417677541665	263.4164686753
475.111972	333.492336541164	375.01051977423	346.779133421492	396.722122130956	289.373555907701	378.95310836536	354.197140425549	438.764320844419	339.131225821585	387.207021652054	249.77207125739	336.219375002749	263.423374131244
475.111972	333.635409925119	375.13259158921	346.758337744496	397.590708606242	289.388654095543	379.048933951409	354.213275650786	438.564476296619	339.397432918465	388.166291007425	249.759446660972	337.043912277186	263.413342124222
475.111972	333.782788445844	375.251513356126	346.730173215934	398.434008506813	289.397384687604	379.154353834787	354.209788542937	438.367332413891	339.630897120881	389.127261998164	249.730849295042	337.913955390872	263.37711018942
475.111972	333.921233485358	375.365800307072	346.68311236793	399.241723453879	289.395440296547	379.265400686072	354.176087184983	438.179933618767	339.832011167568	390.085159582933	249.681075309436	338.851398235429	263.305504891948
475.111972	334.043677945698	375.47483645794	346.608860706049	400.02013761887	289.377462972408	379.380223136436	354.103991535719	438.006166132953	340.000877171939	391.039394554587	249.607936815215	339.860375614291	263.19140048518
475.111972	334.149226248924	375.578874608418	346.502356709288	400.792117723438	289.337044202597	379.499085777646	353.987733429754	437.846757977332	340.137306622091	391.993563540176	249.512261884663	340.927263242693	263.029718910752
475.111972	334.237251144052	375.678205331406	346.35867942071	401.581251469683	289.267729797888	379.622345199755	353.821649565862	437.702299859706	340.241098370234	392.951445159541	249.395009718812	342.037664701604	262.815471140225
475.111972	334.307170273538	375.773184985338	346.172898151595	402.411042820431	289.163143164824	379.750379573773	353.600112728159	437.573385754787	340.312101301907	393.916884364283	249.257100016214	343.17727851716	262.543723502072
475.111972	334.361094886188	375.868117060947	345.939498306404	403.299971382347	289.021563456156	379.884861928009	353.319660821166	437.460805651742	340.353166302273	394.897706011549	249.097082326508	344.337499925616	262.212863739585
475.111972	334.405311320652	375.973423104018	345.652060234021	404.258729010038	288.848486231256	380.029472319588	352.980187686038	437.36565336215	340.371797355916	395.907903812083	248.909832468522	345.518554063904	261.826427789024
475.111972	334.446465063096	376.100050944646	345.30408642909	405.297337643956	288.650027815655	380.188063453275	352.581875846648	437.289048832848	340.375898714037	396.962002130702	248.689910241228	346.721425630307	261.388394441957
475.111972	334.491194192814	376.258947711399	344.889077480802	406.425795919071	288.432295844093	380.364480558477	352.124909721103	437.232108046907	340.373368344831	398.074511398786	248.431883215521	347.947101858652	260.902743308398
475.111972	334.543625860604	376.460822715858	344.399888030673	407.646201911881	288.198451772966	380.560034717784	351.610115871553	437.194603270317	340.369974277615	399.255218612404	248.132953644251	349.197429532508	260.373731451202
475.111972	334.601732109352	376.715802302307	343.827789290957	408.941286843158	287.944435010859	380.769824990178	351.039894965471	437.173012878516	340.366263364098	400.502332081067	247.796782248425	350.476362473304	259.80629606099
475.111972	334.662559123352	377.033925124398	343.163814292608	410.290868748397	287.665098617413	380.988016014723	350.416884449106	437.163319776044	340.361997080298	401.812318434599	247.428001239443	351.78817144559	259.205476634
475.111972	334.723153086901	377.425229835783	342.398996066584	411.674765663092	287.355295652266	381.208772430483	349.743721768708	437.161506867439	340.356936902232	403.181644302823	247.031242828707	353.137127213915	258.576312666474
475.111972	334.781491178392	377.895565444339	341.529522763383	413.076161729743	287.010728748223	381.427720711474	349.022009645043	437.163884308403	340.350077351445	404.6040809966	246.610772120688	354.524245512423	257.92476455207
