Pct	FAxFem(N)	FAP(N)	FDV(N)	HipTorqAP(Nm)	HipTorqDV(Nm)	FemTorsion(Nm)	TKFlex(Nm)	FAxTib(N)	FMLTib(N)	TAnkFlex(Nm)	TibTorsion(Nm)	Rhip(m)	Rknee(m)	Rankle(m)	Fem-GRFang(deg)	Tib-GRFang(deg)	
0.000000e+00	4.244444e-03	-5.906538e-03	3.623163e-03	-1.241769e-04	-2.921803e-05	-6.534089e-05	-1.425122e-05	5.353303e-03	-1.576313e-03	4.654258e-05	8.966917e-06	-3.595680e-03	-1.753808e-03	5.727702e-03	5.851088e+01	4.879180e+01	
1.000000e+00	2.241898e-03	-6.626980e-03	3.857639e-03	-1.323564e-04	-5.234895e-05	-7.300415e-05	6.085307e-06	4.452102e-03	2.937151e-04	4.518302e-05	3.114551e-06	-6.552617e-03	7.617094e-04	5.655644e-03	7.370266e+01	5.613225e+01	
2.000000e+00	1.592241e-04	-7.367295e-03	4.082240e-03	-1.402119e-04	-7.594525e-05	-8.081399e-05	2.705277e-05	3.440919e-03	2.202296e-03	4.330704e-05	-3.533414e-06	-9.015134e-03	3.211318e-03	5.140793e-03	8.891703e+01	6.589210e+01	
3.000000e+00	-1.991257e-03	-8.110686e-03	4.308959e-03	-1.471912e-04	-9.995495e-05	-8.861858e-05	4.846084e-05	2.326745e-03	4.137450e-03	4.060619e-05	-1.115095e-05	-1.063619e-02	5.156708e-03	4.320897e-03	1.022331e+02	7.566517e+01	
4.000000e+00	-4.203313e-03	-8.847272e-03	4.555868e-03	-1.528242e-04	-1.244749e-04	-9.635645e-05	7.019845e-05	1.120171e-03	6.096637e-03	3.676758e-05	-1.992013e-05	-1.152259e-02	6.498241e-03	3.403559e-03	1.128985e+02	8.404812e+01	
5.000000e+00	-6.472867e-03	-9.562890e-03	4.842420e-03	-1.565032e-04	-1.496107e-04	-1.039503e-04	9.215552e-05	-1.647154e-04	8.082074e-03	3.140854e-05	-3.002196e-05	-1.194800e-02	7.359596e-03	2.508306e-03	1.211264e+02	9.075374e+01	
6.000000e+00	-8.792087e-03	-1.023260e-02	5.181685e-03	-1.573981e-04	-1.752721e-04	-1.112252e-04	1.141078e-04	-1.511362e-03	1.009289e-02	2.406443e-05	-4.159953e-05	-1.212799e-02	7.895711e-03	1.665143e-03	1.274718e+02	9.600294e+01	
7.000000e+00	-1.114593e-02	-1.083435e-02	5.579646e-03	-1.548540e-04	-2.011545e-04	-1.180114e-04	1.356846e-04	-2.901462e-03	1.212212e-02	1.435198e-05	-5.471659e-05	-1.218006e-02	8.215807e-03	8.690238e-04	1.324460e+02	1.001186e+02	
8.000000e+00	-1.351440e-02	-1.136725e-02	6.043423e-03	-1.488387e-04	-2.269367e-04	-1.243231e-04	1.564586e-04	-4.314511e-03	1.416146e-02	2.159542e-06	-6.934947e-05	-1.215851e-02	8.382530e-03	1.157011e-04	1.363904e+02	1.033652e+02	
9.000000e+00	-1.587846e-02	-1.184318e-02	6.586051e-03	-1.397118e-04	-2.524230e-04	-1.303238e-04	1.760530e-04	-5.726535e-03	1.620828e-02	-1.240931e-05	-8.541040e-05	-1.209216e-02	8.433706e-03	-5.944601e-04	1.395214e+02	1.059219e+02	
1.000000e+01	-1.822758e-02	-1.226685e-02	7.205646e-03	-1.277247e-04	-2.772716e-04	-1.361076e-04	1.941501e-04	-7.116161e-03	1.826270e-02	-2.918507e-05	-1.026807e-04	-1.199152e-02	8.396652e-03	-1.262204e-03	1.420280e+02	1.079244e+02	
1.100000e+01	-2.055429e-02	-1.263749e-02	7.872835e-03	-1.131101e-04	-3.008152e-04	-1.416275e-04	2.104476e-04	-8.467700e-03	2.031646e-02	-4.788520e-05	-1.207827e-04	-1.185225e-02	8.291724e-03	-1.886697e-03	1.440811e+02	1.094893e+02	
1.200000e+01	-2.284871e-02	-1.296263e-02	8.542166e-03	-9.640650e-05	-3.222950e-04	-1.468035e-04	2.247347e-04	-9.767790e-03	2.235224e-02	-6.802219e-05	-1.392510e-04	-1.166739e-02	8.135611e-03	-2.462469e-03	1.458067e+02	1.107079e+02	
1.300000e+01	-2.510157e-02	-1.325640e-02	9.172216e-03	-7.828742e-05	-3.412204e-04	-1.515955e-04	2.370209e-04	-1.099569e-02	2.435803e-02	-8.905417e-05	-1.576968e-04	-1.143805e-02	7.945178e-03	-2.985185e-03	1.472915e+02	1.116285e+02	
1.400000e+01	-2.730354e-02	-1.353699e-02	9.718613e-03	-5.950145e-05	-3.572702e-04	-1.559538e-04	2.475135e-04	-1.212856e-02	2.632172e-02	-1.104117e-04	-1.757767e-04	-1.116914e-02	7.737876e-03	-3.451739e-03	1.486028e+02	1.122822e+02	
1.500000e+01	-2.943899e-02	-1.382074e-02	1.013720e-02	-4.079056e-05	-3.702104e-04	-1.597568e-04	2.564737e-04	-1.314766e-02	2.822333e-02	-1.315401e-04	-1.931655e-04	-1.086774e-02	7.528932e-03	-3.861434e-03	1.497914e+02	1.127032e+02	
1.600000e+01	-3.147991e-02	-1.411535e-02	1.042336e-02	-2.281617e-05	-3.802194e-04	-1.629328e-04	2.640635e-04	-1.403214e-02	3.004546e-02	-1.519542e-04	-2.096399e-04	-1.054996e-02	7.326979e-03	-4.216277e-03	1.508649e+02	1.129141e+02	
1.700000e+01	-3.340223e-02	-1.442574e-02	1.059731e-02	-6.173752e-06	-3.878317e-04	-1.655378e-04	2.705127e-04	-1.476208e-02	3.178196e-02	-1.712140e-04	-2.250338e-04	-1.023408e-02	7.138274e-03	-4.517986e-03	1.518137e+02	1.129260e+02	
1.800000e+01	-3.519458e-02	-1.475076e-02	1.069652e-02	8.767594e-06	-3.938169e-04	-1.677214e-04	2.761134e-04	-1.533603e-02	3.343471e-02	-1.890139e-04	-2.392792e-04	-9.936957e-03	6.967012e-03	-4.769279e-03	1.526286e+02	1.127658e+02	
