KneeAng	AnkAng	MPAng	DotMPAng	Yaw	  Pitch	FemTVAng	FemHZAng	FemHZAngP	TibPSAng	TibPSAngYaw	TibHZAng	TibHZAngP	
1.196018e+02	1.440704e+02	1.512141e+02	1.512141e+02	2.727779e+00	1.552181e+02	7.742419e+01	-4.665390e+01	5.043329e+01	-1.720052e+02	-4.420052e+02	-5.122975e+01	2.686815e+01	
1.205159e+02	1.436741e+02	1.520704e+02	1.520704e+02	2.669972e+00	1.552479e+02	7.722154e+01	-4.672340e+01	5.059639e+01	-1.723919e+02	-4.423919e+02	-5.291954e+01	2.856863e+01	
1.218407e+02	1.429889e+02	1.532542e+02	1.532542e+02	2.631072e+00	1.552711e+02	7.704086e+01	-4.676439e+01	5.072907e+01	-1.722948e+02	-4.422948e+02	-5.466045e+01	3.036816e+01	
1.235466e+02	1.420194e+02	1.546905e+02	1.546905e+02	2.614527e+00	1.552879e+02	7.688184e+01	-4.677719e+01	5.083400e+01	-1.717742e+02	-4.417742e+02	-5.645788e+01	3.227814e+01	
1.256045e+02	1.368427e+02	1.385121e+02	1.385121e+02	2.624102e+00	1.552988e+02	7.674446e+01	-4.676205e+01	5.091371e+01	-1.708896e+02	-4.408896e+02	-5.830139e+01	3.430520e+01	
1.279889e+02	1.353052e+02	1.401885e+02	1.401885e+02	2.666820e+00	1.553042e+02	7.663208e+01	-4.671858e+01	5.097011e+01	-1.696944e+02	-4.396944e+02	-6.016270e+01	3.645097e+01	
1.306754e+02	1.334206e+02	1.418603e+02	1.418603e+02	2.751823e+00	1.553044e+02	7.655019e+01	-4.664597e+01	5.100465e+01	-1.682409e+02	-4.382409e+02	-6.199381e+01	3.871182e+01	
1.336352e+02	1.311747e+02	1.434107e+02	1.434107e+02	2.888174e+00	1.552999e+02	7.650425e+01	-4.654339e+01	5.101871e+01	-1.665877e+02	-4.365877e+02	-6.372627e+01	4.107936e+01	
1.368158e+02	1.285838e+02	1.447737e+02	1.447737e+02	3.074620e+00	1.552909e+02	7.648922e+01	-4.641181e+01	5.101557e+01	-1.648294e+02	-4.348294e+02	-6.528756e+01	4.354789e+01	
1.401302e+02	1.257108e+02	1.459647e+02	1.459647e+02	3.293855e+00	1.552775e+02	7.648366e+01	-4.625499e+01	5.100144e+01	-1.631148e+02	-4.331148e+02	-6.663411e+01	4.612955e+01	
1.434784e+02	1.226187e+02	1.470050e+02	1.470050e+02	3.527153e+00	1.552598e+02	7.646462e+01	-4.607675e+01	5.098271e+01	-1.616086e+02	-4.316086e+02	-6.775745e+01	4.886036e+01	
1.467806e+02	1.193404e+02	1.479174e+02	1.479174e+02	3.757978e+00	1.552373e+02	7.641220e+01	-4.588134e+01	5.096561e+01	-1.604319e+02	-4.304319e+02	-6.863819e+01	5.178403e+01	
1.500884e+02	1.158205e+02	1.487369e+02	1.487369e+02	3.978758e+00	1.552079e+02	7.631911e+01	-4.567516e+01	5.095623e+01	-1.594878e+02	-4.294878e+02	-6.904040e+01	5.484624e+01	
1.534731e+02	1.120048e+02	1.495014e+02	1.495014e+02	4.184153e+00	1.551689e+02	7.618108e+01	-4.546504e+01	5.096071e+01	-1.586193e+02	-4.286193e+02	-6.861748e+01	5.789214e+01	
1.569812e+02	1.119831e+02	1.664137e+02	1.664137e+02	4.369410e+00	1.551175e+02	7.599431e+01	-4.525754e+01	5.098528e+01	-1.576691e+02	-4.276691e+02	-6.707463e+01	6.064943e+01	
1.605759e+02	1.076394e+02	1.668613e+02	1.668613e+02	4.536794e+00	1.550510e+02	7.576265e+01	-4.505755e+01	5.103423e+01	-1.565320e+02	-4.265320e+02	-6.435090e+01	6.273455e+01	
1.641217e+02	1.032103e+02	1.672373e+02	1.672373e+02	4.693121e+00	1.549667e+02	7.549497e+01	-4.486892e+01	5.111079e+01	-1.551454e+02	-4.251454e+02	-6.061787e+01	6.371549e+01	
1.673640e+02	9.885388e+01	1.675232e+02	1.675232e+02	4.845303e+00	1.548616e+02	7.520020e+01	-4.469549e+01	5.121842e+01	-1.534649e+02	-4.234649e+02	-5.615352e+01	6.327381e+01	
1.697417e+02	9.474416e+01	1.677131e+02	1.677131e+02	4.999945e+00	1.547341e+02	7.488751e+01	-4.453965e+01	5.135891e+01	-1.515684e+02	-4.215684e+02	-5.131994e+01	6.149438e+01	
1.704275e+02	9.102796e+01	1.678161e+02	1.678161e+02	5.163164e+00	1.545841e+02	7.456657e+01	-4.440149e+01	5.153115e+01	-1.496827e+02	-4.196827e+02	-4.650512e+01	5.887514e+01	
1.692916e+02	8.779939e+01	1.678344e+02	1.678344e+02	5.341119e+00	1.544116e+02	7.424735e+01	-4.428109e+01	5.173386e+01	-1.479977e+02	-4.179977e+02	-4.197876e+01	5.593653e+01	
1.671325e+02	8.509750e+01	1.677593e+02	1.677593e+02	5.536765e+00	1.542173e+02	7.393619e+01	-4.418003e+01	5.196751e+01	-1.466252e+02	-4.166252e+02	-3.788890e+01	5.304712e+01	
1.646897e+02	8.291802e+01	1.675695e+02	1.675695e+02	5.739931e+00	1.540051e+02	7.362386e+01	-4.410522e+01	5.223964e+01	-1.455619e+02	-4.155619e+02	-3.426120e+01	5.036981e+01	
1.623020e+02	8.123283e+01	1.672408e+02	1.672408e+02	5.937106e+00	1.537792e+02	7.329717e+01	-4.406492e+01	5.255963e+01	-1.447730e+02	-4.147730e+02	-3.107451e+01	4.796900e+01	
1.600878e+02	8.000322e+01	1.667503e+02	1.667503e+02	6.116398e+00	1.535444e+02	7.294454e+01	-4.406708e+01	5.293666e+01	-1.442190e+02	-4.142190e+02	-2.828893e+01	4.585896e+01	
1.580791e+02	7.919223e+01	1.660851e+02	1.660851e+02	6.285890e+00	1.533080e+02	7.257408e+01	-4.411490e+01	5.337501e+01	-1.438189e+02	-4.138189e+02	-2.583961e+01	4.399315e+01	
1.562681e+02	7.876873e+01	1.652539e+02	1.652539e+02	6.466782e+00	1.530791e+02	7.220700e+01	-4.420853e+01	5.387556e+01	-1.434780e+02	-4.134780e+02	-2.365817e+01	4.230203e+01	
1.546269e+02	7.870555e+01	1.642833e+02	1.642833e+02	6.680673e+00	1.528671e+02	7.186524e+01	-4.434794e+01	5.443874e+01	-1.431201e+02	-4.131201e+02	-2.168790e+01	4.072392e+01	
1.531166e+02	7.896261e+01	1.632099e+02	1.632099e+02	6.941249e+00	1.526798e+02	7.156255e+01	-4.453185e+01	5.506387e+01	-1.427318e+02	-4.127318e+02	-1.989669e+01	3.923699e+01	
1.516991e+02	7.947788e+01	1.620665e+02	1.620665e+02	7.249418e+00	1.525227e+02	7.129923e+01	-4.475699e+01	5.574879e+01	-1.423776e+02	-4.123776e+02	-1.827620e+01	3.786549e+01	
1.503468e+02	8.019131e+01	1.608796e+02	1.608796e+02	7.604674e+00	1.524013e+02	7.107436e+01	-4.501961e+01	5.649061e+01	-1.421206e+02	-4.121206e+02	-1.681515e+01	3.662615e+01	
1.490417e+02	8.105566e+01	1.596730e+02	1.596730e+02	7.997068e+00	1.523192e+02	7.087796e+01	-4.531548e+01	5.728575e+01	-1.419857e+02	-4.119857e+02	-1.549264e+01	3.551123e+01	
1.477733e+02	8.206629e+01	1.584733e+02	1.584733e+02	8.380066e+00	1.522722e+02	7.066413e+01	-4.563965e+01	5.813019e+01	-1.418673e+02	-4.118673e+02	-1.426531e+01	3.444891e+01	
1.465270e+02	8.323421e+01	1.573070e+02	1.573070e+02	8.697494e+00	1.522538e+02	7.037758e+01	-4.598675e+01	5.901975e+01	-1.416359e+02	-4.116359e+02	-1.309662e+01	3.336702e+01	
1.452801e+02	8.457602e+01	1.561963e+02	1.561963e+02	8.896265e+00	1.522574e+02	6.996621e+01	-4.635161e+01	5.995056e+01	-1.411750e+02	-4.111750e+02	-1.196292e+01	3.221086e+01	
1.440039e+02	8.611325e+01	1.551314e+02	1.551314e+02	8.963544e+00	1.522747e+02	6.941849e+01	-4.673394e+01	6.092522e+01	-1.404480e+02	-4.104480e+02	-1.086523e+01	3.097678e+01	
1.426693e+02	8.786929e+01	1.540798e+02	1.540798e+02	8.912810e+00	1.522964e+02	6.874944e+01	-4.713642e+01	6.195117e+01	-1.394678e+02	-4.094678e+02	-9.817725e+00	2.968976e+01	
