KneeAng	AnkAng	MPAng	DotMPAng	Yaw	  Pitch	FemTVAng	FemHZAng	FemHZAngP	TibPSAng	TibPSAngYaw	TibHZAng	TibHZAngP	
1.131209e+02	1.409728e+02	1.710732e+02	1.710732e+02	-2.272520e+00	1.556434e+02	7.570976e+01	-4.693968e+01	4.871853e+01	-1.463419e+02	-4.163419e+02	-1.558634e+01	-4.595670e+00	
1.145837e+02	1.408151e+02	1.728918e+02	1.728918e+02	-2.060792e+00	1.556427e+02	7.540630e+01	-4.699455e+01	4.908614e+01	-1.438404e+02	-4.138404e+02	-1.582289e+01	-3.728271e+00	
1.160976e+02	1.402611e+02	1.732285e+02	1.732285e+02	-1.969194e+00	1.555960e+02	7.500337e+01	-4.706636e+01	4.945236e+01	-1.411821e+02	-4.111821e+02	-1.596000e+01	-2.912165e+00	
1.176167e+02	1.393488e+02	1.721907e+02	1.721907e+02	-1.947574e+00	1.555102e+02	7.455156e+01	-4.716066e+01	4.982455e+01	-1.383885e+02	-4.083885e+02	-1.597180e+01	-2.164464e+00	
1.191136e+02	1.380605e+02	1.704735e+02	1.704735e+02	-1.942207e+00	1.553914e+02	7.410335e+01	-4.729169e+01	5.021898e+01	-1.354284e+02	-4.054284e+02	-1.582195e+01	-1.499757e+00	
1.204933e+02	1.365413e+02	1.686056e+02	1.686056e+02	-1.906990e+00	1.552477e+02	7.370735e+01	-4.745544e+01	5.063206e+01	-1.324297e+02	-4.024297e+02	-1.552069e+01	-9.349699e-01	
1.216102e+02	1.351845e+02	1.667995e+02	1.667995e+02	-1.813671e+00	1.550925e+02	7.340348e+01	-4.760666e+01	5.101429e+01	-1.297578e+02	-3.997578e+02	-1.517114e+01	-4.814127e-01	
1.224526e+02	1.341898e+02	1.650997e+02	1.650997e+02	-1.670347e+00	1.549364e+02	7.319273e+01	-4.770652e+01	5.132248e+01	-1.275677e+02	-3.975677e+02	-1.484259e+01	-1.339049e-01	
1.231034e+02	1.335388e+02	1.634627e+02	1.634627e+02	-1.535216e+00	1.547851e+02	7.301866e+01	-4.773546e+01	5.153563e+01	-1.257725e+02	-3.957725e+02	-1.453270e+01	1.202886e-01	
1.236444e+02	1.332106e+02	1.617902e+02	1.617902e+02	-1.417842e+00	1.546410e+02	7.286234e+01	-4.770782e+01	5.167291e+01	-1.242191e+02	-3.942191e+02	-1.422361e+01	3.085136e-01	
1.241442e+02	1.331861e+02	1.599426e+02	1.599426e+02	-1.271395e+00	1.545033e+02	7.274885e+01	-4.767370e+01	5.179703e+01	-1.227021e+02	-3.927021e+02	-1.388628e+01	4.734499e-01	
1.247229e+02	1.330632e+02	1.579649e+02	1.579649e+02	-1.103138e+00	1.543731e+02	7.265065e+01	-4.767539e+01	5.196315e+01	-1.208889e+02	-3.908889e+02	-1.345580e+01	6.809502e-01	
1.255043e+02	1.321959e+02	1.561183e+02	1.561183e+02	-9.691502e-01	1.542534e+02	7.249488e+01	-4.774234e+01	5.221239e+01	-1.184130e+02	-3.884130e+02	-1.285072e+01	1.008917e+00	
1.264847e+02	1.303794e+02	1.546239e+02	1.546239e+02	-9.351030e-01	1.541531e+02	7.221768e+01	-4.784955e+01	5.252059e+01	-1.152957e+02	-3.852957e+02	-1.209213e+01	1.499439e+00	
1.275885e+02	1.277741e+02	1.536093e+02	1.536093e+02	-1.052747e+00	1.540835e+02	7.178093e+01	-4.794378e+01	5.282705e+01	-1.118516e+02	-3.818516e+02	-1.128549e+01	2.157239e+00	
1.286844e+02	1.250379e+02	1.529120e+02	1.529120e+02	-1.230000e+00	1.540497e+02	7.128497e+01	-4.801684e+01	5.311782e+01	-1.085970e+02	-3.785970e+02	-1.060813e+01	2.956401e+00	
1.297283e+02	1.228122e+02	1.522456e+02	1.522456e+02	-1.329784e+00	1.540520e+02	7.087138e+01	-4.808390e+01	5.340417e+01	-1.059177e+02	-3.759177e+02	-1.020932e+01	3.887815e+00	
1.307348e+02	1.213187e+02	1.514012e+02	1.514012e+02	-1.325045e+00	1.540797e+02	7.056652e+01	-4.817173e+01	5.371202e+01	-1.038736e+02	-3.738736e+02	-1.009368e+01	4.939058e+00	
1.317025e+02	1.205501e+02	1.502690e+02	1.502690e+02	-1.235805e+00	1.541182e+02	7.034693e+01	-4.830450e+01	5.406724e+01	-1.024276e+02	-3.724276e+02	-1.020155e+01	6.083800e+00	
1.325595e+02	1.200267e+02	1.490381e+02	1.490381e+02	-1.121735e+00	1.541505e+02	7.014668e+01	-4.848156e+01	5.447318e+01	-1.013998e+02	-3.713998e+02	-1.034435e+01	7.214225e+00	
1.331737e+02	1.193476e+02	1.479266e+02	1.479266e+02	-1.013152e+00	1.541610e+02	6.992565e+01	-4.869842e+01	5.493252e+01	-1.006480e+02	-3.706480e+02	-1.034035e+01	8.188908e+00	
1.334567e+02	1.184442e+02	1.470027e+02	1.470027e+02	-8.369826e-01	1.541391e+02	6.973902e+01	-4.895621e+01	5.546055e+01	-1.001407e+02	-3.701407e+02	-1.013320e+01	8.939081e+00	
1.334063e+02	1.174184e+02	1.462145e+02	1.462145e+02	-5.831352e-01	1.540819e+02	6.958225e+01	-4.924778e+01	5.606311e+01	-9.988488e+01	-3.698849e+02	-9.752919e+00	9.469604e+00	
1.331471e+02	1.165849e+02	1.453257e+02	1.453257e+02	-3.953891e-01	1.540005e+02	6.930646e+01	-4.954845e+01	5.672178e+01	-9.993355e+01	-3.699336e+02	-9.329670e+00	9.878482e+00	
1.328398e+02	1.161147e+02	1.442490e+02	1.442490e+02	-3.331545e-01	1.539076e+02	6.885562e+01	-4.983044e+01	5.740792e+01	-1.002948e+02	-3.702948e+02	-8.996413e+00	1.028187e+01	
1.326619e+02	1.159748e+02	1.431436e+02	1.431436e+02	-3.108695e-01	1.538157e+02	6.832953e+01	-5.006629e+01	5.808312e+01	-1.009532e+02	-3.709532e+02	-8.884102e+00	1.080296e+01	
1.327142e+02	1.161334e+02	1.420788e+02	1.420788e+02	-2.594222e-01	1.537321e+02	6.781278e+01	-5.024746e+01	5.872599e+01	-1.018586e+02	-3.718586e+02	-9.050115e+00	1.151238e+01	
1.330030e+02	1.166021e+02	1.410085e+02	1.410085e+02	-1.417506e-01	1.536592e+02	6.735733e+01	-5.038764e+01	5.933857e+01	-1.029483e+02	-3.729483e+02	-9.482385e+00	1.241737e+01	
1.334470e+02	1.173504e+02	1.398970e+02	1.398970e+02	3.522192e-02	1.535960e+02	6.695836e+01	-5.052845e+01	5.996492e+01	-1.041633e+02	-3.741633e+02	-1.012638e+01	1.348293e+01	
1.338921e+02	1.182995e+02	1.387261e+02	1.387261e+02	2.317340e-01	1.535404e+02	6.656847e+01	-5.072660e+01	6.067742e+01	-1.054328e+02	-3.754328e+02	-1.088454e+01	1.463119e+01	
1.343400e+02	1.193396e+02	1.375413e+02	1.375413e+02	4.177079e-01	1.534965e+02	6.615967e+01	-5.098688e+01	6.148433e+01	-1.067936e+02	-3.767936e+02	-1.173064e+01	1.587591e+01	
1.348943e+02	1.203303e+02	1.364236e+02	1.364236e+02	5.749926e-01	1.534733e+02	6.572169e+01	-5.128465e+01	6.235422e+01	-1.083527e+02	-3.783527e+02	-1.268395e+01	1.729238e+01	
