Pct	FAxFem(N)	FAP(N)	FDV(N)	HipTorqAP(Nm)	HipTorqDV(Nm)	FemTorsion(Nm)	TKFlex(Nm)	FAxTib(N)	FMLTib(N)	TAnkFlex(Nm)	TibTorsion(Nm)	Rhip(m)	Rknee(m)	Rankle(m)	Fem-GRFang(deg)	Tib-GRFang(deg)	
6.900000e+01	-1.090210e-01	-1.740225e-02	2.075408e-02	-1.115732e-04	1.262828e-04	4.139756e-05	-3.634436e-04	-6.183655e-02	9.215509e-02	-1.080258e-04	-3.301865e-05	1.124162e-03	-3.235354e-03	-9.616396e-04	1.660483e+02	1.233990e+02	
7.000000e+01	-1.097621e-01	-1.723694e-02	1.847374e-02	-9.878809e-05	1.471460e-04	3.973441e-05	-3.579292e-04	-6.529826e-02	9.013955e-02	-1.188303e-04	-4.031135e-05	1.306424e-03	-3.177846e-03	-1.055025e-03	1.670368e+02	1.254327e+02	
7.100000e+01	-1.103219e-01	-1.717140e-02	1.593493e-02	-8.342445e-05	1.687541e-04	3.831610e-05	-3.501563e-04	-6.873276e-02	8.775342e-02	-1.334817e-04	-4.973574e-05	1.496290e-03	-3.104726e-03	-1.183540e-03	1.680118e+02	1.275485e+02	
7.200000e+01	-1.106888e-01	-1.698456e-02	1.326363e-02	-6.679395e-05	1.896575e-04	3.710564e-05	-3.402748e-04	-7.189499e-02	8.520005e-02	-1.479090e-04	-5.886343e-05	1.681852e-03	-3.017502e-03	-1.311633e-03	1.689830e+02	1.296096e+02	
7.300000e+01	-1.108654e-01	-1.637703e-02	1.070677e-02	-5.119237e-05	2.084636e-04	3.573809e-05	-3.298119e-04	-7.463612e-02	8.267546e-02	-1.560716e-04	-6.426977e-05	1.851713e-03	-2.929609e-03	-1.386332e-03	1.699912e+02	1.315266e+02	
7.400000e+01	-1.108282e-01	-1.530398e-02	8.364020e-03	-3.887695e-05	2.250324e-04	3.400812e-05	-3.197513e-04	-7.696844e-02	8.017916e-02	-1.551476e-04	-6.436948e-05	2.005779e-03	-2.850036e-03	-1.382876e-03	1.710571e+02	1.333177e+02	
7.500000e+01	-1.105171e-01	-1.394116e-02	6.094079e-03	-3.018895e-05	2.402325e-04	3.196873e-05	-3.092764e-04	-7.900377e-02	7.752149e-02	-1.469747e-04	-6.030736e-05	2.153401e-03	-2.772299e-03	-1.317455e-03	1.721614e+02	1.350867e+02	
7.600000e+01	-1.098693e-01	-1.240651e-02	3.759236e-03	-2.427398e-05	2.545358e-04	2.957289e-05	-2.972030e-04	-8.080730e-02	7.453571e-02	-1.338548e-04	-5.362837e-05	2.300755e-03	-2.686424e-03	-1.209916e-03	1.732708e+02	1.369216e+02	
7.700000e+01	-1.088329e-01	-1.070126e-02	1.282947e-03	-1.867501e-05	2.679412e-04	2.656613e-05	-2.825467e-04	-8.237269e-02	7.114059e-02	-1.182155e-04	-4.618843e-05	2.449966e-03	-2.583514e-03	-1.080924e-03	1.743444e+02	1.388674e+02	
7.800000e+01	-1.073568e-01	-8.761625e-03	-1.347927e-03	-1.068326e-05	2.802801e-04	2.274014e-05	-2.648716e-04	-8.363472e-02	6.732407e-02	-1.018868e-04	-3.944159e-05	2.601880e-03	-2.458841e-03	-9.458300e-04	1.752797e+02	1.409315e+02	
7.900000e+01	-1.053877e-01	-6.586116e-03	-4.047303e-03	2.557081e-07	2.908298e-04	1.818499e-05	-2.443364e-04	-8.439591e-02	6.324767e-02	-8.529341e-05	-3.370038e-05	2.752225e-03	-2.312242e-03	-8.071617e-04	1.758049e+02	1.430032e+02	
8.000000e+01	-1.028952e-01	-4.246100e-03	-6.696198e-03	1.327985e-05	2.984260e-04	1.317915e-05	-2.210916e-04	-8.444173e-02	5.917639e-02	-6.838661e-05	-2.872419e-05	2.891719e-03	-2.142356e-03	-6.626597e-04	1.755936e+02	1.449083e+02	
