"ToeTip.X"	"ToeTip.Y"	"KneeElbow.X"	"KneeElbow.Y"	"HipShoulder.X"	"HipShoulder.Y"	"AnkleWrist.X"	"AnkleWrist.Y"	"MetaPhalJoint.X"	"MetaPhalJoint.Y"	"Costal1.X"	"Costal1.Y"	"Costal2.X"	"Costal2.Y"
232.853281781031	248.228405947225	159.333694507728	232.211493936795	130.539799463071	220.428119137881	187.120697927618	244.652537997101	203.906944999988	246.438688000003	126.121273216721	200.078384453228	108.298880876244	206.667419133578
233.275427861726	248.369121483494	161.110658830373	232.136173590127	132.030024833834	220.224375070719	187.261413562491	244.652538034262	203.906944999569	246.438688000058	127.724967452382	200.142517823923	109.816942118088	206.643464828808
233.581115729216	248.471017448024	162.755283928	232.088623207802	133.489505546385	220.036550157695	187.363309791692	244.652538045977	203.906944999498	246.438688000064	129.175167179961	200.051653361416	111.259117446788	206.473789932599
233.786764198591	248.539566830058	164.286867907292	232.060125097396	134.928392992636	219.856415565656	187.431859536498	244.652538039724	203.906944999671	246.438688000037	130.508138812147	199.822664949369	112.643183262622	206.172469519801
233.908808636259	248.580248135993	165.724708938237	232.041928637166	136.356848287871	219.67573593935	187.472541235307	244.652538022935	203.906944999986	246.438687999991	131.760205324974	199.472432425249	113.986920842576	205.753536818344
233.965004214513	248.598979811158	167.088110238878	232.022657413529	137.785807891597	219.485755849597	187.491273262873	244.652537999682	203.906945000349	246.43868799994	132.972200068981	199.018310384401	115.308500333514	205.227688172796
233.975365748318	248.602433521339	168.396383670039	231.9864393887	139.227535731933	219.276829447462	187.494727209992	244.652537968286	203.906945000684	246.438687999898	134.192678617196	198.478466256219	116.62675766731	204.5999068421
233.960129782096	248.597354842753	169.668841940623	231.916961387747	140.694425996041	219.039223510773	187.489648577459	244.652537926498	203.906945000918	246.438687999878	135.470954292637	197.871147230165	117.960594106587	203.874615483564
233.938870807594	248.590268665566	170.924795227287	231.799227408611	142.198483936074	218.763465701432	187.482562181311	244.65253787376	203.906945000973	246.438687999894	136.854077884461	197.214362343466	119.328715845627	203.057910631371
233.920960496507	248.584298911788	172.183514682486	231.638540253715	143.745720970051	218.444104136727	187.476591889355	244.652537835493	203.906945000688	246.438687999962	138.354232524433	196.522450495746	120.746822902239	202.181684749888
233.907761881395	248.579899934968	173.464240826875	231.456136143798	145.337443693759	218.078842764999	187.472192016577	244.652537857512	203.906944999841	246.438688000097	139.95623219696	195.806869735311	122.228255615007	201.298078655885
233.900422860027	248.577454376464	174.786213358253	231.273679316468	146.974832318097	217.665470309172	187.469745166194	244.65253798618	203.906944998207	246.438688000314	141.644155673421	195.07900072262	123.786290934824	200.459777094385
233.899633713231	248.577192242456	176.165082794672	231.111467194166	148.661820885621	217.20392377184	187.469481465173	244.652538248689	203.906944995772	246.438688000603	143.404317245234	194.349981633113	125.432047144452	199.708415046282
